exp_0922 Q-27 interface loss, first pass, GMM rho_c=0.7, 4x4, DFT pilots, n=2000, seed 20260922
 Tp  SNR | nu_q meas  closed  RouteA | Pmap ex Pmap iso w_true ex w_true iso | NMSE exact D13 1shot  D13+D14 LMMSE(I)  oracle
  4    6 |    0.0628  0.0628  0.0628 |   0.952    0.952     0.932      0.932 |     0.0485    0.0485   0.0485   0.0580  0.0481
  4   12 |    0.0158  0.0158  0.0158 |   0.977    0.977     0.966      0.966 |     0.0148    0.0148   0.0148   0.0158  0.0148
  4   18 |    0.0040  0.0040  0.0040 |   0.983    0.983     0.972      0.972 |     0.0039    0.0039   0.0039   0.0040  0.0039
  3    6 |    0.4171  0.4171  0.4171 |   0.892    0.727     0.853      0.677 |     0.2084    0.2918   0.2267   0.2949  0.1994
  3   12 |    0.3544  0.3544  0.3544 |   0.943    0.764     0.914      0.714 |     0.1757    0.2689   0.1929   0.2599  0.1719
  3   18 |    0.3386  0.3386  0.3386 |   0.953    0.771     0.931      0.718 |     0.1705    0.2677   0.1871   0.2554  0.1688
  2    6 |    1.1256  1.1256  1.1256 |   0.767    0.402     0.676      0.389 |     0.4163    0.5865   0.4707   0.5189  0.3725
  2   12 |    1.0315  1.0315  1.0315 |   0.821    0.407     0.750      0.397 |     0.3847    0.5772   0.4506   0.5101  0.3588
  2   18 |    1.0079  1.0079  1.0079 |   0.841    0.447     0.777      0.423 |     0.3777    0.5779   0.4504   0.5052  0.3421
read: Tp=4 -> all columns should coincide (lossless interface). Tp<4 -> 'closed' floor ~ (1-kappa)/kappa, Pmap iso << Pmap ex, NMSE D13+D14 > exact.
