
# ===== 2026-09-21 04:36:04 KST  HPO attempt 10  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'adm', 'param': 'vp', 'domain': 'pixel', 'lr': 7.579831109254122e-05, 'ema': 0.9995, 'batch': 512, 'emb': 128, 'width': 48, 'depth': 8, 'heads': 2, 'attn_at': 8}  params=3362354
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.848253e-01 | val 9.905689e-01 |   1.106 s | best 9.905689e-01 @1 *
epoch    2 | train 9.436709e-01 | val 9.902107e-01 |   0.955 s | best 9.902107e-01 @2 *
epoch    3 | train 8.970421e-01 | val 9.896466e-01 |   0.963 s | best 9.896466e-01 @3 *
epoch    4 | train 8.738319e-01 | val 9.889094e-01 |   0.966 s | best 9.889094e-01 @4 *
epoch    5 | train 8.503013e-01 | val 9.880266e-01 |   0.967 s | best 9.880266e-01 @5 *
epoch    6 | train 8.332552e-01 | val 9.870148e-01 |   0.965 s | best 9.870148e-01 @6 *
epoch    7 | train 8.105287e-01 | val 9.858758e-01 |   0.967 s | best 9.858758e-01 @7 *
epoch    8 | train 7.969227e-01 | val 9.846164e-01 |   0.816 s | best 9.846164e-01 @8 *
epoch    9 | train 7.911745e-01 | val 9.832491e-01 |   0.962 s | best 9.832491e-01 @9 *
epoch   10 | train 7.770232e-01 | val 9.817839e-01 |   0.968 s | best 9.817839e-01 @10 *
epoch   11 | train 7.767083e-01 | val 9.802286e-01 |   0.967 s | best 9.802286e-01 @11 *
epoch   12 | train 7.727872e-01 | val 9.785910e-01 |   0.975 s | best 9.785910e-01 @12 *
epoch   13 | train 7.723877e-01 | val 9.768803e-01 |   0.935 s | best 9.768803e-01 @13 *
epoch   14 | train 7.644228e-01 | val 9.751039e-01 |   0.776 s | best 9.751039e-01 @14 *
epoch   15 | train 7.644493e-01 | val 9.732649e-01 |   0.971 s | best 9.732649e-01 @15 *
epoch   16 | train 7.603064e-01 | val 9.713704e-01 |   0.968 s | best 9.713704e-01 @16 *
epoch   17 | train 7.559506e-01 | val 9.694259e-01 |   0.973 s | best 9.694259e-01 @17 *
epoch   18 | train 7.572935e-01 | val 9.674329e-01 |   0.969 s | best 9.674329e-01 @18 *
epoch   19 | train 7.536768e-01 | val 9.653962e-01 |   0.967 s | best 9.653962e-01 @19 *
epoch   20 | train 7.506081e-01 | val 9.633192e-01 |   0.970 s | best 9.633192e-01 @20 *
epoch   21 | train 7.555564e-01 | val 9.612067e-01 |   0.958 s | best 9.612067e-01 @21 *
epoch   22 | train 7.543280e-01 | val 9.590601e-01 |   0.719 s | best 9.590601e-01 @22 *
epoch   23 | train 7.496521e-01 | val 9.568819e-01 |   0.970 s | best 9.568819e-01 @23 *
epoch   24 | train 7.453837e-01 | val 9.546752e-01 |   0.967 s | best 9.546752e-01 @24 *
epoch   25 | train 7.507965e-01 | val 9.524414e-01 |   0.972 s | best 9.524414e-01 @25 *
epoch   26 | train 7.514287e-01 | val 9.501841e-01 |   0.968 s | best 9.501841e-01 @26 *
epoch   27 | train 7.454665e-01 | val 9.479029e-01 |   0.967 s | best 9.479029e-01 @27 *
epoch   28 | train 7.472703e-01 | val 9.456021e-01 |   0.966 s | best 9.456021e-01 @28 *
epoch   29 | train 7.443147e-01 | val 9.432798e-01 |   0.969 s | best 9.432798e-01 @29 *
epoch   30 | train 7.457159e-01 | val 9.409424e-01 |   0.966 s | best 9.409424e-01 @30 *
epoch   31 | train 7.414804e-01 | val 9.385894e-01 |   0.973 s | best 9.385894e-01 @31 *
epoch   32 | train 7.453368e-01 | val 9.362226e-01 |   0.966 s | best 9.362226e-01 @32 *
epoch   33 | train 7.476102e-01 | val 9.338422e-01 |   0.972 s | best 9.338422e-01 @33 *
epoch   34 | train 7.454210e-01 | val 9.314516e-01 |   0.971 s | best 9.314516e-01 @34 *
epoch   35 | train 7.464094e-01 | val 9.290508e-01 |   0.968 s | best 9.290508e-01 @35 *
epoch   36 | train 7.411506e-01 | val 9.266432e-01 |   0.969 s | best 9.266432e-01 @36 *
epoch   37 | train 7.470573e-01 | val 9.242265e-01 |   0.972 s | best 9.242265e-01 @37 *
epoch   38 | train 7.387144e-01 | val 9.218013e-01 |   0.969 s | best 9.218013e-01 @38 *
epoch   39 | train 7.439482e-01 | val 9.193730e-01 |   0.970 s | best 9.193730e-01 @39 *
epoch   40 | train 7.444954e-01 | val 9.169463e-01 |   0.976 s | best 9.169463e-01 @40 *
epoch   41 | train 7.446140e-01 | val 9.145157e-01 |   0.972 s | best 9.145157e-01 @41 *
epoch   42 | train 7.431129e-01 | val 9.120844e-01 |   0.972 s | best 9.120844e-01 @42 *
epoch   43 | train 7.396610e-01 | val 9.096525e-01 |   0.970 s | best 9.096525e-01 @43 *
epoch   44 | train 7.370269e-01 | val 9.072239e-01 |   0.969 s | best 9.072239e-01 @44 *
epoch   45 | train 7.390544e-01 | val 9.047960e-01 |   0.976 s | best 9.047960e-01 @45 *
epoch   46 | train 7.383747e-01 | val 9.023662e-01 |   0.968 s | best 9.023662e-01 @46 *
epoch   47 | train 7.379111e-01 | val 8.999466e-01 |   0.974 s | best 8.999466e-01 @47 *
epoch   48 | train 7.441540e-01 | val 8.975298e-01 |   0.970 s | best 8.975298e-01 @48 *
epoch   49 | train 7.366171e-01 | val 8.951202e-01 |   0.750 s | best 8.951202e-01 @49 *
epoch   50 | train 7.381498e-01 | val 8.927190e-01 |   0.963 s | best 8.927190e-01 @50 *
epoch   51 | train 7.368650e-01 | val 8.903263e-01 |   0.969 s | best 8.903263e-01 @51 *
epoch   52 | train 7.382397e-01 | val 8.879424e-01 |   0.970 s | best 8.879424e-01 @52 *
epoch   53 | train 7.333208e-01 | val 8.855650e-01 |   0.968 s | best 8.855650e-01 @53 *
epoch   54 | train 7.354748e-01 | val 8.832080e-01 |   0.972 s | best 8.832080e-01 @54 *
epoch   55 | train 7.367944e-01 | val 8.808544e-01 |   0.972 s | best 8.808544e-01 @55 *
epoch   56 | train 7.411340e-01 | val 8.785095e-01 |   0.986 s | best 8.785095e-01 @56 *
epoch   57 | train 7.385884e-01 | val 8.761728e-01 |   0.987 s | best 8.761728e-01 @57 *
epoch   58 | train 7.381733e-01 | val 8.738511e-01 |   0.982 s | best 8.738511e-01 @58 *
epoch   59 | train 7.398350e-01 | val 8.715483e-01 |   0.972 s | best 8.715483e-01 @59 *
epoch   60 | train 7.319830e-01 | val 8.692571e-01 |   1.006 s | best 8.692571e-01 @60 *
epoch   61 | train 7.354567e-01 | val 8.669886e-01 |   0.968 s | best 8.669886e-01 @61 *
epoch   62 | train 7.348266e-01 | val 8.647358e-01 |   0.999 s | best 8.647358e-01 @62 *
epoch   63 | train 7.332399e-01 | val 8.624917e-01 |   1.006 s | best 8.624917e-01 @63 *
epoch   64 | train 7.287663e-01 | val 8.602704e-01 |   1.007 s | best 8.602704e-01 @64 *
