
# ===== 2026-09-21 04:54:37 KST  HPO attempt 13  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'adm', 'param': 've', 'domain': 'pixel', 'lr': 0.004084051247428312, 'ema': 0.999, 'batch': 256, 'emb': 64, 'width': 48, 'depth': 5, 'heads': 2, 'attn_at': 8}  params=2822450
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.955383e-01 | val 9.774809e-01 |   1.243 s | best 9.774809e-01 @1 *
epoch    2 | train 1.003458e+00 | val 9.623774e-01 |   1.499 s | best 9.623774e-01 @2 *
epoch    3 | train 1.000047e+00 | val 9.507367e-01 |   1.503 s | best 9.507367e-01 @3 *
epoch    4 | train 9.984912e-01 | val 9.513676e-01 |   1.493 s | best 9.507367e-01 @3
epoch    5 | train 9.991200e-01 | val 9.620649e-01 |   1.497 s | best 9.507367e-01 @3
epoch    6 | train 9.978436e-01 | val 9.705877e-01 |   1.506 s | best 9.507367e-01 @3
epoch    7 | train 1.002178e+00 | val 9.760820e-01 |   1.519 s | best 9.507367e-01 @3
epoch    8 | train 9.994838e-01 | val 9.791842e-01 |   1.502 s | best 9.507367e-01 @3
epoch    9 | train 1.000558e+00 | val 9.811153e-01 |   1.496 s | best 9.507367e-01 @3
epoch   10 | train 1.003077e+00 | val 9.826298e-01 |   1.494 s | best 9.507367e-01 @3
epoch   11 | train 1.001722e+00 | val 9.865131e-01 |   1.493 s | best 9.507367e-01 @3
epoch   12 | train 9.992388e-01 | val 9.897844e-01 |   1.492 s | best 9.507367e-01 @3
epoch   13 | train 1.000529e+00 | val 9.909469e-01 |   1.494 s | best 9.507367e-01 @3
epoch   14 | train 1.001194e+00 | val 9.913434e-01 |   1.493 s | best 9.507367e-01 @3
epoch   15 | train 9.980900e-01 | val 9.914605e-01 |   1.494 s | best 9.507367e-01 @3
epoch   16 | train 1.002868e+00 | val 9.920569e-01 |   1.496 s | best 9.507367e-01 @3
epoch   17 | train 1.002024e+00 | val 9.924268e-01 |   1.493 s | best 9.507367e-01 @3
epoch   18 | train 1.002315e+00 | val 9.925742e-01 |   1.495 s | best 9.507367e-01 @3
# done        : 18 epochs, stopped_by=patience, aborted=False, best val 9.507367e-01 @ epoch 3, wall 29.4 s, 1.633 s/epoch
