
# ===== 2026-09-21 05:17:43 KST  HPO attempt 15  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'adm', 'param': 'vp', 'domain': 'pixel', 'lr': 0.004848213220508992, 'ema': 0.9999, 'batch': 128, 'emb': 128, 'width': 128, 'depth': 2, 'heads': 2, 'attn_at': 8}  params=20000898
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 1.076155e+00 | val 9.876985e-01 |   3.073 s | best 9.876985e-01 @1 *
epoch    2 | train 1.002365e+00 | val 9.849536e-01 |   2.915 s | best 9.849536e-01 @2 *
epoch    3 | train 1.002389e+00 | val 9.819652e-01 |   2.930 s | best 9.819652e-01 @3 *
epoch    4 | train 1.003176e+00 | val 9.797784e-01 |   2.956 s | best 9.797784e-01 @4 *
epoch    5 | train 1.001831e+00 | val 9.818224e-01 |   2.930 s | best 9.797784e-01 @4
epoch    6 | train 1.002767e+00 | val 9.853345e-01 |   2.931 s | best 9.797784e-01 @4
epoch    7 | train 1.006339e+00 | val 9.876737e-01 |   2.926 s | best 9.797784e-01 @4
epoch    8 | train 1.000496e+00 | val 9.890074e-01 |   2.930 s | best 9.797784e-01 @4
epoch    9 | train 1.000904e+00 | val 9.897847e-01 |   2.937 s | best 9.797784e-01 @4
epoch   10 | train 1.000656e+00 | val 9.902562e-01 |   2.929 s | best 9.797784e-01 @4
epoch   11 | train 1.001979e+00 | val 9.905484e-01 |   2.931 s | best 9.797784e-01 @4
epoch   12 | train 1.000338e+00 | val 9.907348e-01 |   2.925 s | best 9.797784e-01 @4
epoch   13 | train 1.003426e+00 | val 9.908538e-01 |   2.932 s | best 9.797784e-01 @4
epoch   14 | train 9.989677e-01 | val 9.909248e-01 |   2.938 s | best 9.797784e-01 @4
epoch   15 | train 1.000787e+00 | val 9.909770e-01 |   2.925 s | best 9.797784e-01 @4
epoch   16 | train 9.990170e-01 | val 9.909101e-01 |   2.928 s | best 9.797784e-01 @4
epoch   17 | train 9.985951e-01 | val 9.908913e-01 |   2.954 s | best 9.797784e-01 @4
epoch   18 | train 9.989449e-01 | val 9.908739e-01 |   2.932 s | best 9.797784e-01 @4
epoch   19 | train 9.978215e-01 | val 9.908392e-01 |   2.943 s | best 9.797784e-01 @4
# done        : 19 epochs, stopped_by=patience, aborted=False, best val 9.797784e-01 @ epoch 4, wall 69.2 s, 3.642 s/epoch
