
# ===== 2026-09-21 03:47:39 KST  HPO attempt 12  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'conv', 'param': 'vp', 'domain': 'angle', 'lr': 0.0002740548708431802, 'ema': 0.9999, 'batch': 256, 'emb': 64, 'width': 96, 'depth': 8}  params=1347746
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.245901e-01 | val 9.903181e-01 |   0.993 s | best 9.903181e-01 @1 *
epoch    2 | train 8.686413e-01 | val 9.899428e-01 |   1.266 s | best 9.899428e-01 @2 *
epoch    3 | train 8.265083e-01 | val 9.896658e-01 |   1.263 s | best 9.896658e-01 @3 *
epoch    4 | train 8.070022e-01 | val 9.894411e-01 |   1.265 s | best 9.894411e-01 @4 *
epoch    5 | train 7.949686e-01 | val 9.892400e-01 |   1.266 s | best 9.892400e-01 @5 *
epoch    6 | train 7.673582e-01 | val 9.890286e-01 |   1.263 s | best 9.890286e-01 @6 *
epoch    7 | train 7.631773e-01 | val 9.887913e-01 |   1.264 s | best 9.887913e-01 @7 *
epoch    8 | train 7.596818e-01 | val 9.885387e-01 |   1.265 s | best 9.885387e-01 @8 *
epoch    9 | train 7.534587e-01 | val 9.882719e-01 |   1.261 s | best 9.882719e-01 @9 *
epoch   10 | train 7.526378e-01 | val 9.880019e-01 |   1.263 s | best 9.880019e-01 @10 *
epoch   11 | train 7.574786e-01 | val 9.877233e-01 |   1.265 s | best 9.877233e-01 @11 *
epoch   12 | train 7.503888e-01 | val 9.874353e-01 |   1.261 s | best 9.874353e-01 @12 *
epoch   13 | train 7.528187e-01 | val 9.871371e-01 |   1.263 s | best 9.871371e-01 @13 *
epoch   14 | train 7.499119e-01 | val 9.868324e-01 |   1.266 s | best 9.868324e-01 @14 *
epoch   15 | train 7.522928e-01 | val 9.865239e-01 |   1.256 s | best 9.865239e-01 @15 *
epoch   16 | train 7.496897e-01 | val 9.862117e-01 |   1.266 s | best 9.862117e-01 @16 *
epoch   17 | train 7.497982e-01 | val 9.858974e-01 |   1.264 s | best 9.858974e-01 @17 *
epoch   18 | train 7.516748e-01 | val 9.855781e-01 |   1.258 s | best 9.855781e-01 @18 *
epoch   19 | train 7.506457e-01 | val 9.852529e-01 |   1.264 s | best 9.852529e-01 @19 *
epoch   20 | train 7.506310e-01 | val 9.849236e-01 |   1.265 s | best 9.849236e-01 @20 *
epoch   21 | train 7.482861e-01 | val 9.845906e-01 |   1.255 s | best 9.845906e-01 @21 *
