
# ===== 2026-09-21 04:07:28 KST  HPO attempt 15  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'conv', 'param': 'edm', 'domain': 'pixel', 'lr': 0.0009624153251619571, 'ema': 0.9999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 5}  params=392258
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.170666e-01 | val 9.902251e-01 |   0.229 s | best 9.902251e-01 @1 *
epoch    2 | train 8.890298e-01 | val 9.896412e-01 |   0.371 s | best 9.896412e-01 @2 *
epoch    3 | train 8.842932e-01 | val 9.890563e-01 |   0.416 s | best 9.890563e-01 @3 *
epoch    4 | train 8.811720e-01 | val 9.884796e-01 |   0.434 s | best 9.884796e-01 @4 *
epoch    5 | train 8.786760e-01 | val 9.879225e-01 |   0.437 s | best 9.879225e-01 @5 *
epoch    6 | train 8.744006e-01 | val 9.873883e-01 |   0.439 s | best 9.873883e-01 @6 *
epoch    7 | train 8.623966e-01 | val 9.868798e-01 |   0.434 s | best 9.868798e-01 @7 *
epoch    8 | train 8.533185e-01 | val 9.863748e-01 |   0.433 s | best 9.863748e-01 @8 *
epoch    9 | train 8.558927e-01 | val 9.858645e-01 |   0.427 s | best 9.858645e-01 @9 *
epoch   10 | train 8.497692e-01 | val 9.853571e-01 |   0.436 s | best 9.853571e-01 @10 *
epoch   11 | train 8.468358e-01 | val 9.848476e-01 |   0.435 s | best 9.848476e-01 @11 *
epoch   12 | train 8.458173e-01 | val 9.843407e-01 |   0.422 s | best 9.843407e-01 @12 *
epoch   13 | train 8.485431e-01 | val 9.838423e-01 |   0.434 s | best 9.838423e-01 @13 *
epoch   14 | train 8.455417e-01 | val 9.833457e-01 |   0.437 s | best 9.833457e-01 @14 *
