
# ===== 2026-09-21 04:17:35 KST  HPO attempt 18  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'conv', 'param': 'edm', 'domain': 'pixel', 'lr': 0.004170811989502172, 'ema': 0.999, 'batch': 256, 'emb': 64, 'width': 128, 'depth': 4}  params=1210242
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 8.290863e+01 | val 9.844943e-01 |   0.234 s | best 9.844943e-01 @1 *
epoch    2 | train 1.081283e+02 | val 9.765708e-01 |   0.328 s | best 9.765708e-01 @2 *
epoch    3 | train 2.424966e+00 | val 9.688607e-01 |   0.368 s | best 9.688607e-01 @3 *
epoch    4 | train 1.102970e+00 | val 9.619238e-01 |   0.374 s | best 9.619238e-01 @4 *
epoch    5 | train 1.023621e+00 | val 9.584059e-01 |   0.366 s | best 9.584059e-01 @5 *
epoch    6 | train 9.943166e-01 | val 9.645991e-01 |   0.354 s | best 9.584059e-01 @5
epoch    7 | train 9.847240e-01 | val 9.914669e-01 |   0.374 s | best 9.584059e-01 @5
epoch    8 | train 9.776221e-01 | val 1.053532e+00 |   0.377 s | best 9.584059e-01 @5
epoch    9 | train 9.842698e-01 | val 1.169263e+00 |   0.375 s | best 9.584059e-01 @5
epoch   10 | train 1.008628e+00 | val 1.370804e+00 |   0.375 s | best 9.584059e-01 @5
epoch   11 | train 9.813839e-01 | val 1.729251e+00 |   0.376 s | best 9.584059e-01 @5
epoch   12 | train 9.973558e-01 | val 2.392326e+00 |   0.378 s | best 9.584059e-01 @5
epoch   13 | train 1.059909e+00 | val 3.625771e+00 |   0.370 s | best 9.584059e-01 @5
epoch   14 | train 1.000505e+00 | val 5.816592e+00 |   0.367 s | best 9.584059e-01 @5
epoch   15 | train 1.092161e+00 | val 9.392241e+00 |   0.377 s | best 9.584059e-01 @5
epoch   16 | train 9.566807e-01 | val 1.471255e+01 |   0.377 s | best 9.584059e-01 @5
epoch   17 | train 1.046827e+00 | val 2.185747e+01 |   0.378 s | best 9.584059e-01 @5
epoch   18 | train 9.681163e-01 | val 3.055612e+01 |   0.374 s | best 9.584059e-01 @5
epoch   19 | train 1.103170e+00 | val 4.038473e+01 |   0.375 s | best 9.584059e-01 @5
epoch   20 | train 9.389004e-01 | val 5.077320e+01 |   0.375 s | best 9.584059e-01 @5
# done        : 20 epochs, stopped_by=patience, aborted=False, best val 9.584059e-01 @ epoch 5, wall 8.7 s, 0.433 s/epoch
