
# ===== 2026-09-21 04:24:49 KST  HPO attempt 21  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'conv', 'param': 'edm', 'domain': 'angle', 'lr': 0.0010671027641617045, 'ema': 0.99, 'batch': 512, 'emb': 256, 'width': 64, 'depth': 3}  params=244546
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.973624e-01 | val 9.905958e-01 |   0.282 s | best 9.905958e-01 @1 *
epoch    2 | train 9.965420e-01 | val 9.906065e-01 |   0.335 s | best 9.905958e-01 @1
epoch    3 | train 9.833139e-01 | val 9.904380e-01 |   0.355 s | best 9.904380e-01 @3 *
epoch    4 | train 9.386283e-01 | val 9.890027e-01 |   0.344 s | best 9.890027e-01 @4 *
epoch    5 | train 9.043290e-01 | val 9.845836e-01 |   0.336 s | best 9.845836e-01 @5 *
epoch    6 | train 8.698436e-01 | val 9.756373e-01 |   0.336 s | best 9.756373e-01 @6 *
epoch    7 | train 8.622413e-01 | val 9.623227e-01 |   0.335 s | best 9.623227e-01 @7 *
epoch    8 | train 8.559205e-01 | val 9.461054e-01 |   0.335 s | best 9.461054e-01 @8 *
epoch    9 | train 8.537832e-01 | val 9.289629e-01 |   0.361 s | best 9.289629e-01 @9 *
epoch   10 | train 8.492108e-01 | val 9.119390e-01 |   0.338 s | best 9.119390e-01 @10 *
epoch   11 | train 8.442862e-01 | val 8.962162e-01 |   0.335 s | best 8.962162e-01 @11 *
epoch   12 | train 8.477437e-01 | val 8.825387e-01 |   0.336 s | best 8.825387e-01 @12 *
epoch   13 | train 8.433038e-01 | val 8.709756e-01 |   0.335 s | best 8.709756e-01 @13 *
epoch   14 | train 8.454155e-01 | val 8.614764e-01 |   0.340 s | best 8.614764e-01 @14 *
epoch   15 | train 8.454451e-01 | val 8.539777e-01 |   0.354 s | best 8.539777e-01 @15 *
epoch   16 | train 8.462211e-01 | val 8.479865e-01 |   0.334 s | best 8.479865e-01 @16 *
epoch   17 | train 8.436530e-01 | val 8.433505e-01 |   0.335 s | best 8.433505e-01 @17 *
epoch   18 | train 8.421845e-01 | val 8.396839e-01 |   0.335 s | best 8.396839e-01 @18 *
epoch   19 | train 8.371752e-01 | val 8.369599e-01 |   0.335 s | best 8.369599e-01 @19 *
epoch   20 | train 8.388482e-01 | val 8.347381e-01 |   0.352 s | best 8.347381e-01 @20 *
epoch   21 | train 8.462048e-01 | val 8.330358e-01 |   0.347 s | best 8.330358e-01 @21 *
epoch   22 | train 8.426899e-01 | val 8.316718e-01 |   0.335 s | best 8.316718e-01 @22 *
epoch   23 | train 8.451216e-01 | val 8.306973e-01 |   0.336 s | best 8.306973e-01 @23 *
epoch   24 | train 8.405331e-01 | val 8.299170e-01 |   0.336 s | best 8.299170e-01 @24 *
epoch   25 | train 8.452784e-01 | val 8.292557e-01 |   0.335 s | best 8.292557e-01 @25 *
epoch   26 | train 8.415993e-01 | val 8.286456e-01 |   0.358 s | best 8.286456e-01 @26 *
epoch   27 | train 8.417816e-01 | val 8.282847e-01 |   0.340 s | best 8.282847e-01 @27 *
epoch   28 | train 8.423835e-01 | val 8.280744e-01 |   0.335 s | best 8.280744e-01 @28 *
epoch   29 | train 8.392787e-01 | val 8.277849e-01 |   0.335 s | best 8.277849e-01 @29 *
epoch   30 | train 8.372056e-01 | val 8.275396e-01 |   0.335 s | best 8.275396e-01 @30 *
epoch   31 | train 8.387284e-01 | val 8.273638e-01 |   0.338 s | best 8.273638e-01 @31 *
epoch   32 | train 8.438402e-01 | val 8.271552e-01 |   0.358 s | best 8.271552e-01 @32 *
epoch   33 | train 8.396339e-01 | val 8.269565e-01 |   0.335 s | best 8.269565e-01 @33 *
epoch   34 | train 8.396756e-01 | val 8.268013e-01 |   0.335 s | best 8.268013e-01 @34 *
epoch   35 | train 8.391872e-01 | val 8.266080e-01 |   0.336 s | best 8.266080e-01 @35 *
epoch   36 | train 8.412388e-01 | val 8.265465e-01 |   0.335 s | best 8.265465e-01 @36 *
epoch   37 | train 8.368542e-01 | val 8.264722e-01 |   0.352 s | best 8.264722e-01 @37 *
epoch   38 | train 8.342810e-01 | val 8.262758e-01 |   0.344 s | best 8.262758e-01 @38 *
epoch   39 | train 8.414019e-01 | val 8.261276e-01 |   0.335 s | best 8.261276e-01 @39 *
epoch   40 | train 8.389176e-01 | val 8.261177e-01 |   0.335 s | best 8.261177e-01 @40 *
epoch   41 | train 8.403611e-01 | val 8.259856e-01 |   0.336 s | best 8.259856e-01 @41 *
epoch   42 | train 8.409866e-01 | val 8.259057e-01 |   0.334 s | best 8.259057e-01 @42 *
epoch   43 | train 8.387551e-01 | val 8.258528e-01 |   0.360 s | best 8.258528e-01 @43 *
epoch   44 | train 8.378922e-01 | val 8.257101e-01 |   0.338 s | best 8.257101e-01 @44 *
epoch   45 | train 8.373278e-01 | val 8.255728e-01 |   0.357 s | best 8.255728e-01 @45 *
epoch   46 | train 8.393662e-01 | val 8.254455e-01 |   0.361 s | best 8.254455e-01 @46 *
epoch   47 | train 8.384259e-01 | val 8.253465e-01 |   0.360 s | best 8.253465e-01 @47 *
epoch   48 | train 8.383080e-01 | val 8.252759e-01 |   0.352 s | best 8.252759e-01 @48 *
epoch   49 | train 8.402209e-01 | val 8.252097e-01 |   0.352 s | best 8.252097e-01 @49 *
epoch   50 | train 8.384429e-01 | val 8.251362e-01 |   0.348 s | best 8.251362e-01 @50 *
epoch   51 | train 8.414443e-01 | val 8.250982e-01 |   0.342 s | best 8.250982e-01 @51 *
epoch   52 | train 8.371071e-01 | val 8.250821e-01 |   0.353 s | best 8.250821e-01 @52 *
