
# ===== 2026-09-21 04:30:06 KST  HPO attempt 24  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'conv', 'param': 'edm', 'domain': 'angle', 'lr': 0.0005657331380452341, 'ema': 0.999, 'batch': 512, 'emb': 128, 'width': 32, 'depth': 3}  params=61858
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 1.000190e+00 | val 9.906757e-01 |   0.304 s | best 9.906757e-01 @1 *
epoch    2 | train 1.005358e+00 | val 9.906793e-01 |   0.351 s | best 9.906757e-01 @1
epoch    3 | train 1.001185e+00 | val 9.906823e-01 |   0.346 s | best 9.906757e-01 @1
epoch    4 | train 1.002681e+00 | val 9.906790e-01 |   0.352 s | best 9.906757e-01 @1
epoch    5 | train 9.804898e-01 | val 9.906797e-01 |   0.352 s | best 9.906757e-01 @1
epoch    6 | train 9.522351e-01 | val 9.906957e-01 |   0.346 s | best 9.906757e-01 @1
epoch    7 | train 9.331897e-01 | val 9.907405e-01 |   0.352 s | best 9.906757e-01 @1
epoch    8 | train 9.199965e-01 | val 9.908146e-01 |   0.346 s | best 9.906757e-01 @1
epoch    9 | train 9.144250e-01 | val 9.909104e-01 |   0.346 s | best 9.906757e-01 @1
epoch   10 | train 9.058514e-01 | val 9.910325e-01 |   0.353 s | best 9.906757e-01 @1
epoch   11 | train 9.000389e-01 | val 9.911779e-01 |   0.353 s | best 9.906757e-01 @1
epoch   12 | train 8.913353e-01 | val 9.913562e-01 |   0.346 s | best 9.906757e-01 @1
epoch   13 | train 8.797886e-01 | val 9.915727e-01 |   0.352 s | best 9.906757e-01 @1
epoch   14 | train 8.708820e-01 | val 9.918279e-01 |   0.355 s | best 9.906757e-01 @1
epoch   15 | train 8.640113e-01 | val 9.921125e-01 |   0.348 s | best 9.906757e-01 @1
epoch   16 | train 8.628274e-01 | val 9.924278e-01 |   0.348 s | best 9.906757e-01 @1
# done        : 16 epochs, stopped_by=patience, aborted=False, best val 9.906757e-01 @ epoch 1, wall 6.2 s, 0.388 s/epoch
