
# ===== 2026-09-21 04:39:15 KST  HPO attempt 26  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'conv', 'param': 've', 'domain': 'angle', 'lr': 0.0026116703619685467, 'ema': 0.999, 'batch': 256, 'emb': 64, 'width': 128, 'depth': 6}  params=1800578
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 5.394317e+03 | val 9.826866e-01 |   0.936 s | best 9.826866e-01 @1 *
epoch    2 | train 1.684689e+03 | val 9.767208e-01 |   0.989 s | best 9.767208e-01 @2 *
epoch    3 | train 3.688439e+00 | val 9.717728e-01 |   0.968 s | best 9.717728e-01 @3 *
epoch    4 | train 1.695403e+00 | val 9.676308e-01 |   0.979 s | best 9.676308e-01 @4 *
epoch    5 | train 1.441447e+00 | val 9.644549e-01 |   0.974 s | best 9.644549e-01 @5 *
epoch    6 | train 1.336243e+00 | val 9.630152e-01 |   0.975 s | best 9.630152e-01 @6 *
epoch    7 | train 1.251465e+00 | val 9.650820e-01 |   0.979 s | best 9.630152e-01 @6
epoch    8 | train 1.189345e+00 | val 9.737724e-01 |   0.966 s | best 9.630152e-01 @6
epoch    9 | train 1.158895e+00 | val 9.940662e-01 |   0.995 s | best 9.630152e-01 @6
epoch   10 | train 1.155435e+00 | val 1.034640e+00 |   0.965 s | best 9.630152e-01 @6
epoch   11 | train 1.143596e+00 | val 1.112302e+00 |   0.993 s | best 9.630152e-01 @6
epoch   12 | train 1.112609e+00 | val 1.258992e+00 |   0.964 s | best 9.630152e-01 @6
epoch   13 | train 1.106936e+00 | val 1.527834e+00 |   0.974 s | best 9.630152e-01 @6
epoch   14 | train 1.085211e+00 | val 1.992408e+00 |   0.837 s | best 9.630152e-01 @6
epoch   15 | train 1.068789e+00 | val 2.724752e+00 |   0.963 s | best 9.630152e-01 @6
epoch   16 | train 1.054866e+00 | val 3.752968e+00 |   0.970 s | best 9.630152e-01 @6
epoch   17 | train 1.055609e+00 | val 5.018786e+00 |   0.961 s | best 9.630152e-01 @6
epoch   18 | train 1.047618e+00 | val 6.399305e+00 |   0.971 s | best 9.630152e-01 @6
epoch   19 | train 1.045108e+00 | val 7.738074e+00 |   0.960 s | best 9.630152e-01 @6
epoch   20 | train 1.031607e+00 | val 8.959891e+00 |   0.971 s | best 9.630152e-01 @6
epoch   21 | train 1.035282e+00 | val 1.009130e+01 |   0.970 s | best 9.630152e-01 @6
# done        : 21 epochs, stopped_by=patience, aborted=False, best val 9.630152e-01 @ epoch 6, wall 22.5 s, 1.070 s/epoch
