
# ===== 2026-09-21 04:43:38 KST  HPO attempt 28  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'conv', 'param': 've', 'domain': 'pixel', 'lr': 0.0029264057459623817, 'ema': 0.999, 'batch': 512, 'emb': 128, 'width': 16, 'depth': 2}  params=12210
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 8.974159e-01 | val 9.882683e-01 |   0.066 s | best 9.882683e-01 @1 *
epoch    2 | train 8.145428e-01 | val 9.845907e-01 |   0.063 s | best 9.845907e-01 @2 *
epoch    3 | train 8.069944e-01 | val 9.807501e-01 |   0.063 s | best 9.807501e-01 @3 *
epoch    4 | train 7.920903e-01 | val 9.770876e-01 |   0.063 s | best 9.770876e-01 @4 *
epoch    5 | train 7.858418e-01 | val 9.736465e-01 |   0.063 s | best 9.736465e-01 @5 *
epoch    6 | train 7.832843e-01 | val 9.703128e-01 |   0.063 s | best 9.703128e-01 @6 *
epoch    7 | train 7.817267e-01 | val 9.670577e-01 |   0.063 s | best 9.670577e-01 @7 *
epoch    8 | train 7.812218e-01 | val 9.638395e-01 |   0.062 s | best 9.638395e-01 @8 *
epoch    9 | train 7.879858e-01 | val 9.606715e-01 |   0.061 s | best 9.606715e-01 @9 *
epoch   10 | train 7.863318e-01 | val 9.575784e-01 |   0.057 s | best 9.575784e-01 @10 *
epoch   11 | train 7.822663e-01 | val 9.545317e-01 |   0.057 s | best 9.545317e-01 @11 *
epoch   12 | train 7.848148e-01 | val 9.515188e-01 |   0.061 s | best 9.515188e-01 @12 *
epoch   13 | train 7.822865e-01 | val 9.485698e-01 |   0.061 s | best 9.485698e-01 @13 *
epoch   14 | train 7.798116e-01 | val 9.456829e-01 |   0.054 s | best 9.456829e-01 @14 *
epoch   15 | train 7.834573e-01 | val 9.428167e-01 |   0.051 s | best 9.428167e-01 @15 *
epoch   16 | train 7.842821e-01 | val 9.399763e-01 |   0.050 s | best 9.399763e-01 @16 *
epoch   17 | train 7.818539e-01 | val 9.371668e-01 |   0.051 s | best 9.371668e-01 @17 *
epoch   18 | train 7.802153e-01 | val 9.344004e-01 |   0.051 s | best 9.344004e-01 @18 *
epoch   19 | train 7.762276e-01 | val 9.316722e-01 |   0.051 s | best 9.316722e-01 @19 *
epoch   20 | train 7.754691e-01 | val 9.289795e-01 |   0.052 s | best 9.289795e-01 @20 *
epoch   21 | train 7.803710e-01 | val 9.263176e-01 |   0.052 s | best 9.263176e-01 @21 *
epoch   22 | train 7.782846e-01 | val 9.236889e-01 |   0.052 s | best 9.236889e-01 @22 *
epoch   23 | train 7.775227e-01 | val 9.211036e-01 |   0.052 s | best 9.211036e-01 @23 *
epoch   24 | train 7.733977e-01 | val 9.185522e-01 |   0.052 s | best 9.185522e-01 @24 *
epoch   25 | train 7.727117e-01 | val 9.160268e-01 |   0.052 s | best 9.160268e-01 @25 *
epoch   26 | train 7.726179e-01 | val 9.135214e-01 |   0.051 s | best 9.135214e-01 @26 *
epoch   27 | train 7.718992e-01 | val 9.110388e-01 |   0.052 s | best 9.110388e-01 @27 *
epoch   28 | train 7.710295e-01 | val 9.085885e-01 |   0.052 s | best 9.085885e-01 @28 *
epoch   29 | train 7.682088e-01 | val 9.061415e-01 |   0.053 s | best 9.061415e-01 @29 *
epoch   30 | train 7.688580e-01 | val 9.037368e-01 |   0.052 s | best 9.037368e-01 @30 *
epoch   31 | train 7.666185e-01 | val 9.013599e-01 |   0.052 s | best 9.013599e-01 @31 *
epoch   32 | train 7.643334e-01 | val 8.989944e-01 |   0.052 s | best 8.989944e-01 @32 *
epoch   33 | train 7.655289e-01 | val 8.966444e-01 |   0.052 s | best 8.966444e-01 @33 *
epoch   34 | train 7.676950e-01 | val 8.943172e-01 |   0.052 s | best 8.943172e-01 @34 *
epoch   35 | train 7.631496e-01 | val 8.919991e-01 |   0.052 s | best 8.919991e-01 @35 *
epoch   36 | train 7.611458e-01 | val 8.896946e-01 |   0.052 s | best 8.896946e-01 @36 *
epoch   37 | train 7.606939e-01 | val 8.874005e-01 |   0.052 s | best 8.874005e-01 @37 *
epoch   38 | train 7.581632e-01 | val 8.851190e-01 |   0.052 s | best 8.851190e-01 @38 *
epoch   39 | train 7.646660e-01 | val 8.828364e-01 |   0.052 s | best 8.828364e-01 @39 *
epoch   40 | train 7.604361e-01 | val 8.805743e-01 |   0.047 s | best 8.805743e-01 @40 *
epoch   41 | train 7.569476e-01 | val 8.782931e-01 |   0.043 s | best 8.782931e-01 @41 *
epoch   42 | train 7.588307e-01 | val 8.760408e-01 |   0.042 s | best 8.760408e-01 @42 *
epoch   43 | train 7.543068e-01 | val 8.738105e-01 |   0.051 s | best 8.738105e-01 @43 *
epoch   44 | train 7.612107e-01 | val 8.715678e-01 |   0.056 s | best 8.715678e-01 @44 *
epoch   45 | train 7.586880e-01 | val 8.693320e-01 |   0.063 s | best 8.693320e-01 @45 *
epoch   46 | train 7.596984e-01 | val 8.671015e-01 |   0.063 s | best 8.671015e-01 @46 *
epoch   47 | train 7.575227e-01 | val 8.648810e-01 |   0.055 s | best 8.648810e-01 @47 *
epoch   48 | train 7.597392e-01 | val 8.626696e-01 |   0.050 s | best 8.626696e-01 @48 *
epoch   49 | train 7.519566e-01 | val 8.604802e-01 |   0.051 s | best 8.604802e-01 @49 *
epoch   50 | train 7.563605e-01 | val 8.582963e-01 |   0.060 s | best 8.582963e-01 @50 *
epoch   51 | train 7.532441e-01 | val 8.561319e-01 |   0.060 s | best 8.561319e-01 @51 *
epoch   52 | train 7.566973e-01 | val 8.539943e-01 |   0.060 s | best 8.539943e-01 @52 *
epoch   53 | train 7.567919e-01 | val 8.518687e-01 |   0.060 s | best 8.518687e-01 @53 *
epoch   54 | train 7.568306e-01 | val 8.497466e-01 |   0.061 s | best 8.497466e-01 @54 *
epoch   55 | train 7.573015e-01 | val 8.476560e-01 |   0.062 s | best 8.476560e-01 @55 *
