
# ===== 2026-09-21 03:25:29 KST  HPO attempt 4  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.001347583137763633, 'ema': 0.999, 'batch': 512, 'emb': 64, 'width': 64, 'depth': 4, 'heads': 8, 'patch': 1}  params=317762
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 8.916622e-01 | val 9.877043e-01 |   0.416 s | best 9.877043e-01 @1 *
epoch    2 | train 8.311236e-01 | val 9.835261e-01 |   0.486 s | best 9.835261e-01 @2 *
epoch    3 | train 8.270137e-01 | val 9.796144e-01 |   0.499 s | best 9.796144e-01 @3 *
epoch    4 | train 8.182155e-01 | val 9.762814e-01 |   0.503 s | best 9.762814e-01 @4 *
epoch    5 | train 8.144527e-01 | val 9.736556e-01 |   0.488 s | best 9.736556e-01 @5 *
epoch    6 | train 8.035092e-01 | val 9.716130e-01 |   0.485 s | best 9.716130e-01 @6 *
epoch    7 | train 7.977837e-01 | val 9.699278e-01 |   0.491 s | best 9.699278e-01 @7 *
epoch    8 | train 7.970886e-01 | val 9.684816e-01 |   0.502 s | best 9.684816e-01 @8 *
epoch    9 | train 8.010995e-01 | val 9.671498e-01 |   0.493 s | best 9.671498e-01 @9 *
epoch   10 | train 7.955277e-01 | val 9.659368e-01 |   0.485 s | best 9.659368e-01 @10 *
epoch   11 | train 7.958615e-01 | val 9.648128e-01 |   0.486 s | best 9.648128e-01 @11 *
epoch   12 | train 7.947911e-01 | val 9.636970e-01 |   0.500 s | best 9.636970e-01 @12 *
epoch   13 | train 7.946422e-01 | val 9.626556e-01 |   0.503 s | best 9.626556e-01 @13 *
epoch   14 | train 7.917906e-01 | val 9.616126e-01 |   0.494 s | best 9.616126e-01 @14 *
epoch   15 | train 7.949200e-01 | val 9.605954e-01 |   0.497 s | best 9.605954e-01 @15 *
epoch   16 | train 7.899930e-01 | val 9.595898e-01 |   0.497 s | best 9.595898e-01 @16 *
epoch   17 | train 7.953338e-01 | val 9.585843e-01 |   0.497 s | best 9.585843e-01 @17 *
epoch   18 | train 7.949390e-01 | val 9.575948e-01 |   0.497 s | best 9.575948e-01 @18 *
epoch   19 | train 7.906437e-01 | val 9.565668e-01 |   0.497 s | best 9.565668e-01 @19 *
epoch   20 | train 7.969137e-01 | val 9.554746e-01 |   0.496 s | best 9.554746e-01 @20 *
epoch   21 | train 7.923996e-01 | val 9.543716e-01 |   0.495 s | best 9.543716e-01 @21 *
epoch   22 | train 7.904844e-01 | val 9.532869e-01 |   0.483 s | best 9.532869e-01 @22 *
epoch   23 | train 7.872217e-01 | val 9.521965e-01 |   0.483 s | best 9.521965e-01 @23 *
epoch   24 | train 7.940735e-01 | val 9.510783e-01 |   0.490 s | best 9.510783e-01 @24 *
epoch   25 | train 7.919272e-01 | val 9.498603e-01 |   0.484 s | best 9.498603e-01 @25 *
epoch   26 | train 7.937843e-01 | val 9.486600e-01 |   0.482 s | best 9.486600e-01 @26 *
epoch   27 | train 7.922063e-01 | val 9.474436e-01 |   0.491 s | best 9.474436e-01 @27 *
epoch   28 | train 7.886669e-01 | val 9.462317e-01 |   0.483 s | best 9.462317e-01 @28 *
epoch   29 | train 7.926639e-01 | val 9.450065e-01 |   0.483 s | best 9.450065e-01 @29 *
epoch   30 | train 7.817877e-01 | val 9.437459e-01 |   0.490 s | best 9.437459e-01 @30 *
epoch   31 | train 7.831817e-01 | val 9.424396e-01 |   0.483 s | best 9.424396e-01 @31 *
epoch   32 | train 7.862310e-01 | val 9.411110e-01 |   0.484 s | best 9.411110e-01 @32 *
epoch   33 | train 7.825856e-01 | val 9.397582e-01 |   0.480 s | best 9.397582e-01 @33 *
epoch   34 | train 7.885063e-01 | val 9.383709e-01 |   0.248 s | best 9.383709e-01 @34 *
epoch   35 | train 7.800125e-01 | val 9.369389e-01 |   0.464 s | best 9.369389e-01 @35 *
epoch   36 | train 7.766120e-01 | val 9.355153e-01 |   0.484 s | best 9.355153e-01 @36 *
epoch   37 | train 7.783740e-01 | val 9.340391e-01 |   0.484 s | best 9.340391e-01 @37 *
epoch   38 | train 7.798080e-01 | val 9.325439e-01 |   0.490 s | best 9.325439e-01 @38 *
epoch   39 | train 7.762830e-01 | val 9.309747e-01 |   0.483 s | best 9.309747e-01 @39 *
epoch   40 | train 7.758491e-01 | val 9.293429e-01 |   0.484 s | best 9.293429e-01 @40 *
epoch   41 | train 7.723776e-01 | val 9.276531e-01 |   0.491 s | best 9.276531e-01 @41 *
epoch   42 | train 7.733026e-01 | val 9.259240e-01 |   0.483 s | best 9.259240e-01 @42 *
epoch   43 | train 7.719253e-01 | val 9.241456e-01 |   0.483 s | best 9.241456e-01 @43 *
epoch   44 | train 7.711482e-01 | val 9.222533e-01 |   0.490 s | best 9.222533e-01 @44 *
epoch   45 | train 7.719620e-01 | val 9.202622e-01 |   0.481 s | best 9.202622e-01 @45 *
epoch   46 | train 7.743052e-01 | val 9.182082e-01 |   0.484 s | best 9.182082e-01 @46 *
epoch   47 | train 7.758009e-01 | val 9.160972e-01 |   0.483 s | best 9.160972e-01 @47 *
epoch   48 | train 7.697531e-01 | val 9.138982e-01 |   0.490 s | best 9.138982e-01 @48 *
epoch   49 | train 7.762073e-01 | val 9.115849e-01 |   0.483 s | best 9.115849e-01 @49 *
epoch   50 | train 7.664650e-01 | val 9.091661e-01 |   0.483 s | best 9.091661e-01 @50 *
epoch   51 | train 7.657661e-01 | val 9.066459e-01 |   0.490 s | best 9.066459e-01 @51 *
epoch   52 | train 7.741523e-01 | val 9.040690e-01 |   0.482 s | best 9.040690e-01 @52 *
epoch   53 | train 7.628227e-01 | val 9.014296e-01 |   0.482 s | best 9.014296e-01 @53 *
epoch   54 | train 7.682206e-01 | val 8.986933e-01 |   0.486 s | best 8.986933e-01 @54 *
epoch   55 | train 7.652896e-01 | val 8.958421e-01 |   0.485 s | best 8.958421e-01 @55 *
epoch   56 | train 7.634795e-01 | val 8.928677e-01 |   0.484 s | best 8.928677e-01 @56 *
epoch   57 | train 7.645834e-01 | val 8.898571e-01 |   0.483 s | best 8.898571e-01 @57 *
epoch   58 | train 7.570802e-01 | val 8.867943e-01 |   0.489 s | best 8.867943e-01 @58 *
epoch   59 | train 7.614472e-01 | val 8.836592e-01 |   0.483 s | best 8.836592e-01 @59 *
epoch   60 | train 7.593060e-01 | val 8.804743e-01 |   0.483 s | best 8.804743e-01 @60 *
epoch   61 | train 7.611008e-01 | val 8.772228e-01 |   0.490 s | best 8.772228e-01 @61 *
epoch   62 | train 7.586557e-01 | val 8.738663e-01 |   0.482 s | best 8.738663e-01 @62 *
epoch   63 | train 7.553420e-01 | val 8.705418e-01 |   0.482 s | best 8.705418e-01 @63 *
epoch   64 | train 7.547520e-01 | val 8.672029e-01 |   0.483 s | best 8.672029e-01 @64 *
epoch   65 | train 7.635631e-01 | val 8.637935e-01 |   0.488 s | best 8.637935e-01 @65 *
epoch   66 | train 7.582063e-01 | val 8.603646e-01 |   0.483 s | best 8.603646e-01 @66 *
epoch   67 | train 7.583345e-01 | val 8.569018e-01 |   0.483 s | best 8.569018e-01 @67 *
epoch   68 | train 7.605973e-01 | val 8.535160e-01 |   0.491 s | best 8.535160e-01 @68 *
epoch   69 | train 7.550199e-01 | val 8.501385e-01 |   0.483 s | best 8.501385e-01 @69 *
epoch   70 | train 7.572918e-01 | val 8.468094e-01 |   0.483 s | best 8.468094e-01 @70 *
epoch   71 | train 7.577957e-01 | val 8.434623e-01 |   0.491 s | best 8.434623e-01 @71 *
epoch   72 | train 7.538748e-01 | val 8.401992e-01 |   0.483 s | best 8.401992e-01 @72 *
epoch   73 | train 7.534217e-01 | val 8.370111e-01 |   0.483 s | best 8.370111e-01 @73 *
epoch   74 | train 7.580050e-01 | val 8.339017e-01 |   0.483 s | best 8.339017e-01 @74 *
epoch   75 | train 7.574714e-01 | val 8.308110e-01 |   0.491 s | best 8.308110e-01 @75 *
epoch   76 | train 7.556033e-01 | val 8.278618e-01 |   0.483 s | best 8.278618e-01 @76 *
epoch   77 | train 7.559544e-01 | val 8.249954e-01 |   0.482 s | best 8.249954e-01 @77 *
epoch   78 | train 7.529903e-01 | val 8.222280e-01 |   0.490 s | best 8.222280e-01 @78 *
epoch   79 | train 7.499484e-01 | val 8.194765e-01 |   0.482 s | best 8.194765e-01 @79 *
epoch   80 | train 7.559887e-01 | val 8.168405e-01 |   0.483 s | best 8.168405e-01 @80 *
