
# ===== 2026-09-21 03:42:46 KST  HPO attempt 8  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'edm', 'domain': 'angle', 'lr': 0.0033997151011349266, 'ema': 0.9995, 'batch': 128, 'emb': 128, 'width': 64, 'depth': 3, 'heads': 4, 'patch': 2}  params=246408
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.714339e-01 | val 9.904176e-01 |   1.001 s | best 9.904176e-01 @1 *
epoch    2 | train 9.220473e-01 | val 9.929413e-01 |   1.592 s | best 9.904176e-01 @1
epoch    3 | train 9.000158e-01 | val 9.976199e-01 |   1.598 s | best 9.904176e-01 @1
epoch    4 | train 8.940662e-01 | val 1.003903e+00 |   1.601 s | best 9.904176e-01 @1
epoch    5 | train 8.900010e-01 | val 1.011571e+00 |   1.591 s | best 9.904176e-01 @1
epoch    6 | train 8.877718e-01 | val 1.020384e+00 |   1.591 s | best 9.904176e-01 @1
epoch    7 | train 8.792266e-01 | val 1.030103e+00 |   1.590 s | best 9.904176e-01 @1
epoch    8 | train 8.745321e-01 | val 1.040248e+00 |   1.589 s | best 9.904176e-01 @1
epoch    9 | train 8.698386e-01 | val 1.050102e+00 |   1.591 s | best 9.904176e-01 @1
epoch   10 | train 8.668689e-01 | val 1.059273e+00 |   1.591 s | best 9.904176e-01 @1
epoch   11 | train 8.665962e-01 | val 1.067198e+00 |   1.598 s | best 9.904176e-01 @1
epoch   12 | train 8.599421e-01 | val 1.073578e+00 |   1.597 s | best 9.904176e-01 @1
epoch   13 | train 8.644086e-01 | val 1.077933e+00 |   1.594 s | best 9.904176e-01 @1
epoch   14 | train 8.599642e-01 | val 1.079623e+00 |   1.592 s | best 9.904176e-01 @1
epoch   15 | train 8.580521e-01 | val 1.078261e+00 |   1.631 s | best 9.904176e-01 @1
epoch   16 | train 8.568810e-01 | val 1.073764e+00 |   1.696 s | best 9.904176e-01 @1
# done        : 16 epochs, stopped_by=patience, aborted=False, best val 9.904176e-01 @ epoch 1, wall 25.9 s, 1.622 s/epoch
