
# ===== 2026-09-21 03:43:49 KST  HPO attempt 9  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'pixel', 'lr': 0.00017605434622979769, 'ema': 0.9999, 'batch': 512, 'emb': 128, 'width': 256, 'depth': 7, 'heads': 2, 'patch': 2}  params=8521224
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.447302e-01 | val 9.905772e-01 |   0.575 s | best 9.905772e-01 @1 *
epoch    2 | train 8.572113e-01 | val 9.902906e-01 |   0.708 s | best 9.902906e-01 @2 *
epoch    3 | train 8.321869e-01 | val 9.899440e-01 |   0.706 s | best 9.899440e-01 @3 *
epoch    4 | train 8.214238e-01 | val 9.895777e-01 |   0.705 s | best 9.895777e-01 @4 *
epoch    5 | train 8.114880e-01 | val 9.891984e-01 |   0.705 s | best 9.891984e-01 @5 *
epoch    6 | train 8.075835e-01 | val 9.888148e-01 |   0.711 s | best 9.888148e-01 @6 *
epoch    7 | train 8.002231e-01 | val 9.884299e-01 |   0.707 s | best 9.884299e-01 @7 *
epoch    8 | train 8.014704e-01 | val 9.880435e-01 |   0.723 s | best 9.880435e-01 @8 *
epoch    9 | train 7.980373e-01 | val 9.876552e-01 |   0.714 s | best 9.876552e-01 @9 *
epoch   10 | train 7.968876e-01 | val 9.872665e-01 |   0.715 s | best 9.872665e-01 @10 *
epoch   11 | train 7.987863e-01 | val 9.868759e-01 |   0.713 s | best 9.868759e-01 @11 *
epoch   12 | train 7.936720e-01 | val 9.864818e-01 |   0.712 s | best 9.864818e-01 @12 *
epoch   13 | train 7.888582e-01 | val 9.860850e-01 |   0.714 s | best 9.860850e-01 @13 *
epoch   14 | train 7.947198e-01 | val 9.856862e-01 |   0.717 s | best 9.856862e-01 @14 *
epoch   15 | train 7.923602e-01 | val 9.852858e-01 |   0.718 s | best 9.852858e-01 @15 *
epoch   16 | train 7.926316e-01 | val 9.848835e-01 |   0.713 s | best 9.848835e-01 @16 *
epoch   17 | train 7.903209e-01 | val 9.844794e-01 |   0.713 s | best 9.844794e-01 @17 *
epoch   18 | train 7.911996e-01 | val 9.840735e-01 |   0.712 s | best 9.840735e-01 @18 *
epoch   19 | train 7.906068e-01 | val 9.836658e-01 |   0.712 s | best 9.836658e-01 @19 *
epoch   20 | train 7.937211e-01 | val 9.832562e-01 |   0.717 s | best 9.832562e-01 @20 *
epoch   21 | train 7.925504e-01 | val 9.828449e-01 |   0.714 s | best 9.828449e-01 @21 *
epoch   22 | train 7.927124e-01 | val 9.824313e-01 |   0.714 s | best 9.824313e-01 @22 *
epoch   23 | train 7.866277e-01 | val 9.820153e-01 |   0.713 s | best 9.820153e-01 @23 *
epoch   24 | train 7.867013e-01 | val 9.815977e-01 |   0.712 s | best 9.815977e-01 @24 *
epoch   25 | train 7.888051e-01 | val 9.811775e-01 |   0.712 s | best 9.811775e-01 @25 *
epoch   26 | train 7.927167e-01 | val 9.807556e-01 |   0.714 s | best 9.807556e-01 @26 *
epoch   27 | train 7.855176e-01 | val 9.803310e-01 |   0.713 s | best 9.803310e-01 @27 *
epoch   28 | train 7.891659e-01 | val 9.799042e-01 |   0.713 s | best 9.799042e-01 @28 *
epoch   29 | train 7.872992e-01 | val 9.794761e-01 |   0.715 s | best 9.794761e-01 @29 *
epoch   30 | train 7.924798e-01 | val 9.790463e-01 |   0.713 s | best 9.790463e-01 @30 *
epoch   31 | train 7.900520e-01 | val 9.786153e-01 |   0.714 s | best 9.786153e-01 @31 *
epoch   32 | train 7.863292e-01 | val 9.781830e-01 |   0.716 s | best 9.781830e-01 @32 *
epoch   33 | train 7.911477e-01 | val 9.777490e-01 |   0.714 s | best 9.777490e-01 @33 *
epoch   34 | train 7.853878e-01 | val 9.773136e-01 |   0.714 s | best 9.773136e-01 @34 *
epoch   35 | train 7.885872e-01 | val 9.768775e-01 |   0.712 s | best 9.768775e-01 @35 *
epoch   36 | train 7.867399e-01 | val 9.764400e-01 |   0.712 s | best 9.764400e-01 @36 *
epoch   37 | train 7.874481e-01 | val 9.760017e-01 |   0.715 s | best 9.760017e-01 @37 *
epoch   38 | train 7.900850e-01 | val 9.755617e-01 |   0.711 s | best 9.755617e-01 @38 *
epoch   39 | train 7.863592e-01 | val 9.751195e-01 |   0.713 s | best 9.751195e-01 @39 *
epoch   40 | train 7.901014e-01 | val 9.746757e-01 |   0.712 s | best 9.746757e-01 @40 *
epoch   41 | train 7.937530e-01 | val 9.742309e-01 |   0.714 s | best 9.742309e-01 @41 *
epoch   42 | train 7.930808e-01 | val 9.737848e-01 |   0.714 s | best 9.737848e-01 @42 *
