
# ===== 2026-09-21 03:53:17 KST  HPO attempt 11  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 've', 'domain': 'angle', 'lr': 7.767787346508023e-05, 'ema': 0.9995, 'batch': 512, 'emb': 128, 'width': 192, 'depth': 6, 'heads': 2, 'patch': 2}  params=4139336
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.807272e-01 | val 9.904634e-01 |   0.625 s | best 9.904634e-01 @1 *
epoch    2 | train 9.346588e-01 | val 9.898125e-01 |   0.650 s | best 9.898125e-01 @2 *
epoch    3 | train 8.934943e-01 | val 9.887841e-01 |   0.645 s | best 9.887841e-01 @3 *
epoch    4 | train 8.623011e-01 | val 9.874673e-01 |   0.645 s | best 9.874673e-01 @4 *
epoch    5 | train 8.432925e-01 | val 9.859703e-01 |   0.645 s | best 9.859703e-01 @5 *
epoch    6 | train 8.317473e-01 | val 9.843855e-01 |   0.648 s | best 9.843855e-01 @6 *
epoch    7 | train 8.213861e-01 | val 9.827939e-01 |   0.650 s | best 9.827939e-01 @7 *
epoch    8 | train 8.256608e-01 | val 9.812434e-01 |   0.646 s | best 9.812434e-01 @8 *
epoch    9 | train 8.206924e-01 | val 9.797495e-01 |   0.643 s | best 9.797495e-01 @9 *
epoch   10 | train 8.240623e-01 | val 9.783066e-01 |   0.645 s | best 9.783066e-01 @10 *
epoch   11 | train 8.171166e-01 | val 9.769143e-01 |   0.646 s | best 9.769143e-01 @11 *
epoch   12 | train 8.174135e-01 | val 9.755697e-01 |   0.647 s | best 9.755697e-01 @12 *
epoch   13 | train 8.186720e-01 | val 9.742704e-01 |   0.645 s | best 9.742704e-01 @13 *
epoch   14 | train 8.205582e-01 | val 9.730147e-01 |   0.649 s | best 9.730147e-01 @14 *
epoch   15 | train 8.181133e-01 | val 9.718038e-01 |   0.646 s | best 9.718038e-01 @15 *
epoch   16 | train 8.188480e-01 | val 9.706403e-01 |   0.646 s | best 9.706403e-01 @16 *
epoch   17 | train 8.141080e-01 | val 9.695240e-01 |   0.647 s | best 9.695240e-01 @17 *
epoch   18 | train 8.188271e-01 | val 9.684573e-01 |   0.648 s | best 9.684573e-01 @18 *
epoch   19 | train 8.166132e-01 | val 9.674377e-01 |   0.646 s | best 9.674377e-01 @19 *
epoch   20 | train 8.159162e-01 | val 9.664643e-01 |   0.651 s | best 9.664643e-01 @20 *
epoch   21 | train 8.153217e-01 | val 9.655376e-01 |   0.645 s | best 9.655376e-01 @21 *
epoch   22 | train 8.145116e-01 | val 9.646565e-01 |   0.647 s | best 9.646565e-01 @22 *
epoch   23 | train 8.097407e-01 | val 9.638196e-01 |   0.646 s | best 9.638196e-01 @23 *
epoch   24 | train 8.093925e-01 | val 9.630250e-01 |   0.646 s | best 9.630250e-01 @24 *
epoch   25 | train 8.103489e-01 | val 9.622752e-01 |   0.647 s | best 9.622752e-01 @25 *
epoch   26 | train 8.067105e-01 | val 9.615685e-01 |   0.646 s | best 9.615685e-01 @26 *
epoch   27 | train 8.057619e-01 | val 9.609041e-01 |   0.647 s | best 9.609041e-01 @27 *
epoch   28 | train 8.054147e-01 | val 9.602895e-01 |   0.646 s | best 9.602895e-01 @28 *
epoch   29 | train 8.071931e-01 | val 9.597215e-01 |   0.645 s | best 9.597215e-01 @29 *
epoch   30 | train 7.943943e-01 | val 9.591946e-01 |   0.644 s | best 9.591946e-01 @30 *
epoch   31 | train 8.005119e-01 | val 9.587120e-01 |   0.646 s | best 9.587120e-01 @31 *
epoch   32 | train 7.975273e-01 | val 9.582635e-01 |   0.646 s | best 9.582635e-01 @32 *
epoch   33 | train 7.938660e-01 | val 9.578465e-01 |   0.649 s | best 9.578465e-01 @33 *
epoch   34 | train 7.969718e-01 | val 9.574536e-01 |   0.647 s | best 9.574536e-01 @34 *
epoch   35 | train 7.914423e-01 | val 9.570766e-01 |   0.644 s | best 9.570766e-01 @35 *
epoch   36 | train 7.957042e-01 | val 9.567168e-01 |   0.642 s | best 9.567168e-01 @36 *
epoch   37 | train 7.911260e-01 | val 9.563742e-01 |   0.643 s | best 9.563742e-01 @37 *
epoch   38 | train 7.874870e-01 | val 9.560441e-01 |   0.645 s | best 9.560441e-01 @38 *
epoch   39 | train 7.951954e-01 | val 9.557193e-01 |   0.644 s | best 9.557193e-01 @39 *
epoch   40 | train 7.906366e-01 | val 9.553993e-01 |   0.645 s | best 9.553993e-01 @40 *
epoch   41 | train 7.869293e-01 | val 9.550858e-01 |   0.645 s | best 9.550858e-01 @41 *
epoch   42 | train 7.837692e-01 | val 9.547725e-01 |   0.645 s | best 9.547725e-01 @42 *
epoch   43 | train 7.842377e-01 | val 9.544592e-01 |   0.645 s | best 9.544592e-01 @43 *
epoch   44 | train 7.864570e-01 | val 9.541479e-01 |   0.645 s | best 9.541479e-01 @44 *
epoch   45 | train 7.862624e-01 | val 9.538405e-01 |   0.645 s | best 9.538405e-01 @45 *
epoch   46 | train 7.797708e-01 | val 9.535347e-01 |   0.649 s | best 9.535347e-01 @46 *
epoch   47 | train 7.847433e-01 | val 9.532297e-01 |   0.645 s | best 9.532297e-01 @47 *
epoch   48 | train 7.833473e-01 | val 9.529210e-01 |   0.644 s | best 9.529210e-01 @48 *
epoch   49 | train 7.867723e-01 | val 9.526008e-01 |   0.645 s | best 9.526008e-01 @49 *
epoch   50 | train 7.882280e-01 | val 9.522735e-01 |   0.646 s | best 9.522735e-01 @50 *
epoch   51 | train 7.773631e-01 | val 9.519405e-01 |   0.643 s | best 9.519405e-01 @51 *
epoch   52 | train 7.819549e-01 | val 9.516014e-01 |   0.644 s | best 9.516014e-01 @52 *
epoch   53 | train 7.832589e-01 | val 9.512543e-01 |   0.644 s | best 9.512543e-01 @53 *
epoch   54 | train 7.819086e-01 | val 9.508987e-01 |   0.643 s | best 9.508987e-01 @54 *
epoch   55 | train 7.819863e-01 | val 9.505345e-01 |   0.645 s | best 9.505345e-01 @55 *
epoch   56 | train 7.774023e-01 | val 9.501634e-01 |   0.644 s | best 9.501634e-01 @56 *
epoch   57 | train 7.803392e-01 | val 9.497822e-01 |   0.644 s | best 9.497822e-01 @57 *
epoch   58 | train 7.758839e-01 | val 9.493902e-01 |   0.647 s | best 9.493902e-01 @58 *
epoch   59 | train 7.793410e-01 | val 9.489856e-01 |   0.687 s | best 9.489856e-01 @59 *
epoch   60 | train 7.733204e-01 | val 9.485725e-01 |   0.644 s | best 9.485725e-01 @60 *
epoch   61 | train 7.749462e-01 | val 9.481441e-01 |   0.643 s | best 9.481441e-01 @61 *
epoch   62 | train 7.778316e-01 | val 9.477032e-01 |   0.644 s | best 9.477032e-01 @62 *
epoch   63 | train 7.752294e-01 | val 9.472488e-01 |   0.645 s | best 9.472488e-01 @63 *
epoch   64 | train 7.751867e-01 | val 9.467839e-01 |   0.644 s | best 9.467839e-01 @64 *
epoch   65 | train 7.701236e-01 | val 9.463004e-01 |   0.645 s | best 9.463004e-01 @65 *
epoch   66 | train 7.687060e-01 | val 9.457970e-01 |   0.647 s | best 9.457970e-01 @66 *
epoch   67 | train 7.678585e-01 | val 9.452751e-01 |   0.646 s | best 9.452751e-01 @67 *
epoch   68 | train 7.745875e-01 | val 9.447353e-01 |   0.646 s | best 9.447353e-01 @68 *
epoch   69 | train 7.655839e-01 | val 9.441779e-01 |   0.644 s | best 9.441779e-01 @69 *
epoch   70 | train 7.665715e-01 | val 9.436005e-01 |   0.647 s | best 9.436005e-01 @70 *
epoch   71 | train 7.673944e-01 | val 9.430022e-01 |   0.643 s | best 9.430022e-01 @71 *
epoch   72 | train 7.597257e-01 | val 9.423832e-01 |   0.642 s | best 9.423832e-01 @72 *
