
# ===== 2026-09-21 03:59:30 KST  HPO attempt 12  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'edm', 'domain': 'angle', 'lr': 5.514573610166747e-05, 'ema': 0.9999, 'batch': 512, 'emb': 64, 'width': 128, 'depth': 7, 'heads': 4, 'patch': 1}  params=2140418
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.974014e-01 | val 9.906697e-01 |   0.433 s | best 9.906697e-01 @1 *
epoch    2 | train 9.929052e-01 | val 9.906448e-01 |   0.782 s | best 9.906448e-01 @2 *
epoch    3 | train 9.854671e-01 | val 9.906112e-01 |   0.768 s | best 9.906112e-01 @3 *
epoch    4 | train 9.833966e-01 | val 9.905781e-01 |   0.786 s | best 9.905781e-01 @4 *
epoch    5 | train 9.809434e-01 | val 9.905499e-01 |   0.786 s | best 9.905499e-01 @5 *
epoch    6 | train 9.769843e-01 | val 9.905266e-01 |   0.765 s | best 9.905266e-01 @6 *
epoch    7 | train 9.772176e-01 | val 9.905119e-01 |   0.787 s | best 9.905119e-01 @7 *
epoch    8 | train 9.671704e-01 | val 9.905090e-01 |   0.787 s | best 9.905090e-01 @8 *
epoch    9 | train 9.619757e-01 | val 9.905203e-01 |   0.769 s | best 9.905090e-01 @8
epoch   10 | train 9.549746e-01 | val 9.905471e-01 |   0.787 s | best 9.905090e-01 @8
epoch   11 | train 9.523473e-01 | val 9.905874e-01 |   0.788 s | best 9.905090e-01 @8
epoch   12 | train 9.466034e-01 | val 9.906387e-01 |   0.770 s | best 9.905090e-01 @8
epoch   13 | train 9.386622e-01 | val 9.906997e-01 |   0.780 s | best 9.905090e-01 @8
epoch   14 | train 9.268553e-01 | val 9.907699e-01 |   0.773 s | best 9.905090e-01 @8
epoch   15 | train 9.235411e-01 | val 9.908499e-01 |   0.764 s | best 9.905090e-01 @8
epoch   16 | train 9.180051e-01 | val 9.909375e-01 |   0.764 s | best 9.905090e-01 @8
epoch   17 | train 9.142903e-01 | val 9.910319e-01 |   0.765 s | best 9.905090e-01 @8
epoch   18 | train 9.124437e-01 | val 9.911321e-01 |   0.764 s | best 9.905090e-01 @8
epoch   19 | train 9.115893e-01 | val 9.912384e-01 |   0.765 s | best 9.905090e-01 @8
epoch   20 | train 9.129795e-01 | val 9.913504e-01 |   0.758 s | best 9.905090e-01 @8
epoch   21 | train 9.070376e-01 | val 9.914680e-01 |   0.760 s | best 9.905090e-01 @8
epoch   22 | train 9.064119e-01 | val 9.915912e-01 |   0.764 s | best 9.905090e-01 @8
epoch   23 | train 9.045751e-01 | val 9.917199e-01 |   0.763 s | best 9.905090e-01 @8
# done        : 23 epochs, stopped_by=patience, aborted=False, best val 9.905090e-01 @ epoch 8, wall 20.1 s, 0.873 s/epoch
