
# ===== 2026-09-21 04:00:28 KST  HPO attempt 13  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'pixel', 'lr': 5.4211340518538896e-05, 'ema': 0.9995, 'batch': 256, 'emb': 256, 'width': 256, 'depth': 5, 'heads': 8, 'patch': 2}  params=6187016
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.654859e-01 | val 9.900080e-01 |   1.070 s | best 9.900080e-01 @1 *
epoch    2 | train 8.927057e-01 | val 9.881614e-01 |   1.088 s | best 9.881614e-01 @2 *
epoch    3 | train 8.429068e-01 | val 9.856779e-01 |   1.136 s | best 9.856779e-01 @3 *
epoch    4 | train 8.209494e-01 | val 9.830464e-01 |   1.085 s | best 9.830464e-01 @4 *
epoch    5 | train 8.165325e-01 | val 9.804735e-01 |   1.083 s | best 9.804735e-01 @5 *
epoch    6 | train 8.048584e-01 | val 9.779355e-01 |   1.081 s | best 9.779355e-01 @6 *
epoch    7 | train 8.073285e-01 | val 9.754582e-01 |   1.080 s | best 9.754582e-01 @7 *
epoch    8 | train 8.016599e-01 | val 9.730468e-01 |   1.098 s | best 9.730468e-01 @8 *
epoch    9 | train 7.990856e-01 | val 9.706820e-01 |   1.131 s | best 9.706820e-01 @9 *
epoch   10 | train 7.988822e-01 | val 9.683502e-01 |   1.112 s | best 9.683502e-01 @10 *
epoch   11 | train 7.946058e-01 | val 9.660464e-01 |   1.112 s | best 9.660464e-01 @11 *
epoch   12 | train 7.932441e-01 | val 9.637559e-01 |   1.115 s | best 9.637559e-01 @12 *
epoch   13 | train 7.956771e-01 | val 9.614689e-01 |   1.123 s | best 9.614689e-01 @13 *
epoch   14 | train 7.893074e-01 | val 9.591790e-01 |   1.117 s | best 9.591790e-01 @14 *
epoch   15 | train 7.903741e-01 | val 9.568792e-01 |   1.116 s | best 9.568792e-01 @15 *
epoch   16 | train 7.940046e-01 | val 9.545664e-01 |   1.116 s | best 9.545664e-01 @16 *
epoch   17 | train 7.940876e-01 | val 9.522362e-01 |   1.116 s | best 9.522362e-01 @17 *
epoch   18 | train 7.874125e-01 | val 9.498842e-01 |   1.121 s | best 9.498842e-01 @18 *
epoch   19 | train 7.885603e-01 | val 9.475077e-01 |   1.119 s | best 9.475077e-01 @19 *
epoch   20 | train 7.911733e-01 | val 9.450977e-01 |   1.116 s | best 9.450977e-01 @20 *
epoch   21 | train 7.903590e-01 | val 9.426546e-01 |   1.116 s | best 9.426546e-01 @21 *
epoch   22 | train 7.874442e-01 | val 9.401746e-01 |   1.115 s | best 9.401746e-01 @22 *
epoch   23 | train 7.943009e-01 | val 9.376543e-01 |   1.115 s | best 9.376543e-01 @23 *
epoch   24 | train 7.878551e-01 | val 9.350947e-01 |   1.118 s | best 9.350947e-01 @24 *
epoch   25 | train 7.884893e-01 | val 9.324915e-01 |   1.116 s | best 9.324915e-01 @25 *
epoch   26 | train 7.872977e-01 | val 9.298389e-01 |   1.125 s | best 9.298389e-01 @26 *
epoch   27 | train 7.889500e-01 | val 9.271464e-01 |   1.125 s | best 9.271464e-01 @27 *
epoch   28 | train 7.887017e-01 | val 9.244088e-01 |   1.116 s | best 9.244088e-01 @28 *
epoch   29 | train 7.889219e-01 | val 9.216364e-01 |   1.117 s | best 9.216364e-01 @29 *
epoch   30 | train 7.875855e-01 | val 9.188323e-01 |   1.118 s | best 9.188323e-01 @30 *
epoch   31 | train 7.925272e-01 | val 9.159907e-01 |   1.118 s | best 9.159907e-01 @31 *
epoch   32 | train 7.883638e-01 | val 9.131200e-01 |   1.115 s | best 9.131200e-01 @32 *
epoch   33 | train 7.897694e-01 | val 9.102257e-01 |   1.167 s | best 9.102257e-01 @33 *
epoch   34 | train 7.900325e-01 | val 9.073054e-01 |   1.111 s | best 9.073054e-01 @34 *
epoch   35 | train 7.908527e-01 | val 9.043638e-01 |   1.113 s | best 9.043638e-01 @35 *
epoch   36 | train 7.889565e-01 | val 9.014257e-01 |   1.115 s | best 9.014257e-01 @36 *
epoch   37 | train 7.869900e-01 | val 8.984752e-01 |   1.113 s | best 8.984752e-01 @37 *
epoch   38 | train 7.890316e-01 | val 8.955263e-01 |   1.115 s | best 8.955263e-01 @38 *
epoch   39 | train 7.892620e-01 | val 8.925822e-01 |   1.113 s | best 8.925822e-01 @39 *
epoch   40 | train 7.848767e-01 | val 8.896515e-01 |   1.118 s | best 8.896515e-01 @40 *
epoch   41 | train 7.893410e-01 | val 8.867172e-01 |   1.114 s | best 8.867172e-01 @41 *
epoch   42 | train 7.882665e-01 | val 8.838103e-01 |   1.113 s | best 8.838103e-01 @42 *
epoch   43 | train 7.862921e-01 | val 8.809277e-01 |   1.112 s | best 8.809277e-01 @43 *
epoch   44 | train 7.878038e-01 | val 8.780637e-01 |   1.115 s | best 8.780637e-01 @44 *
epoch   45 | train 7.882481e-01 | val 8.752224e-01 |   1.115 s | best 8.752224e-01 @45 *
epoch   46 | train 7.895107e-01 | val 8.724118e-01 |   1.116 s | best 8.724118e-01 @46 *
epoch   47 | train 7.873389e-01 | val 8.696365e-01 |   1.113 s | best 8.696365e-01 @47 *
epoch   48 | train 7.854804e-01 | val 8.668954e-01 |   1.106 s | best 8.668954e-01 @48 *
epoch   49 | train 7.872598e-01 | val 8.641901e-01 |   1.112 s | best 8.641901e-01 @49 *
epoch   50 | train 7.860041e-01 | val 8.615077e-01 |   1.119 s | best 8.615077e-01 @50 *
epoch   51 | train 7.862577e-01 | val 8.588811e-01 |   1.119 s | best 8.588811e-01 @51 *
epoch   52 | train 7.853436e-01 | val 8.563000e-01 |   1.117 s | best 8.563000e-01 @52 *
epoch   53 | train 7.895096e-01 | val 8.537566e-01 |   1.114 s | best 8.537566e-01 @53 *
epoch   54 | train 7.902068e-01 | val 8.512633e-01 |   1.111 s | best 8.512633e-01 @54 *
epoch   55 | train 7.920662e-01 | val 8.488181e-01 |   1.115 s | best 8.488181e-01 @55 *
epoch   56 | train 7.868899e-01 | val 8.464170e-01 |   1.113 s | best 8.464170e-01 @56 *
epoch   57 | train 7.821159e-01 | val 8.440754e-01 |   1.115 s | best 8.440754e-01 @57 *
epoch   58 | train 7.881114e-01 | val 8.417780e-01 |   1.116 s | best 8.417780e-01 @58 *
epoch   59 | train 7.871705e-01 | val 8.395197e-01 |   1.117 s | best 8.395197e-01 @59 *
epoch   60 | train 7.870651e-01 | val 8.373123e-01 |   1.121 s | best 8.373123e-01 @60 *
epoch   61 | train 7.874384e-01 | val 8.351560e-01 |   1.118 s | best 8.351560e-01 @61 *
epoch   62 | train 7.864870e-01 | val 8.330550e-01 |   1.173 s | best 8.330550e-01 @62 *
epoch   63 | train 7.854532e-01 | val 8.310113e-01 |   1.170 s | best 8.310113e-01 @63 *
epoch   64 | train 7.830770e-01 | val 8.290181e-01 |   1.118 s | best 8.290181e-01 @64 *
epoch   65 | train 7.873424e-01 | val 8.270550e-01 |   1.116 s | best 8.270550e-01 @65 *
epoch   66 | train 7.876702e-01 | val 8.251516e-01 |   1.175 s | best 8.251516e-01 @66 *
epoch   67 | train 7.883641e-01 | val 8.233076e-01 |   1.118 s | best 8.233076e-01 @67 *
epoch   68 | train 7.863844e-01 | val 8.214985e-01 |   1.121 s | best 8.214985e-01 @68 *
epoch   69 | train 7.908133e-01 | val 8.197488e-01 |   1.120 s | best 8.197488e-01 @69 *
epoch   70 | train 7.882000e-01 | val 8.180376e-01 |   1.114 s | best 8.180376e-01 @70 *
epoch   71 | train 7.905737e-01 | val 8.163897e-01 |   1.124 s | best 8.163897e-01 @71 *
epoch   72 | train 7.916422e-01 | val 8.147986e-01 |   1.119 s | best 8.147986e-01 @72 *
epoch   73 | train 7.861457e-01 | val 8.132308e-01 |   1.118 s | best 8.132308e-01 @73 *
epoch   74 | train 7.839756e-01 | val 8.117207e-01 |   1.125 s | best 8.117207e-01 @74 *
epoch   75 | train 7.852653e-01 | val 8.102682e-01 |   1.121 s | best 8.102682e-01 @75 *
