
# ===== 2026-09-21 05:15:37 KST  HPO attempt 23  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 've', 'domain': 'angle', 'lr': 0.00017341169904252156, 'ema': 0.9995, 'batch': 512, 'emb': 128, 'width': 256, 'depth': 7, 'heads': 8, 'patch': 2}  params=8521224
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.408449e-01 | val 9.900275e-01 |   0.233 s | best 9.900275e-01 @1 *
epoch    2 | train 8.560236e-01 | val 9.883553e-01 |   0.205 s | best 9.883553e-01 @2 *
epoch    3 | train 8.301790e-01 | val 9.863446e-01 |   0.206 s | best 9.863446e-01 @3 *
epoch    4 | train 8.261177e-01 | val 9.843513e-01 |   0.206 s | best 9.843513e-01 @4 *
epoch    5 | train 8.208200e-01 | val 9.824697e-01 |   0.206 s | best 9.824697e-01 @5 *
epoch    6 | train 8.200191e-01 | val 9.806936e-01 |   0.206 s | best 9.806936e-01 @6 *
epoch    7 | train 8.257088e-01 | val 9.790189e-01 |   0.206 s | best 9.790189e-01 @7 *
epoch    8 | train 8.147530e-01 | val 9.774358e-01 |   0.206 s | best 9.774358e-01 @8 *
epoch    9 | train 8.166221e-01 | val 9.759385e-01 |   0.206 s | best 9.759385e-01 @9 *
epoch   10 | train 8.175917e-01 | val 9.745226e-01 |   0.206 s | best 9.745226e-01 @10 *
epoch   11 | train 8.146697e-01 | val 9.731854e-01 |   0.206 s | best 9.731854e-01 @11 *
epoch   12 | train 8.151053e-01 | val 9.719368e-01 |   0.206 s | best 9.719368e-01 @12 *
epoch   13 | train 8.106960e-01 | val 9.707764e-01 |   0.206 s | best 9.707764e-01 @13 *
epoch   14 | train 8.111929e-01 | val 9.697067e-01 |   0.206 s | best 9.697067e-01 @14 *
epoch   15 | train 8.021032e-01 | val 9.687462e-01 |   0.201 s | best 9.687462e-01 @15 *
epoch   16 | train 8.044574e-01 | val 9.679009e-01 |   0.206 s | best 9.679009e-01 @16 *
epoch   17 | train 7.958880e-01 | val 9.671628e-01 |   0.206 s | best 9.671628e-01 @17 *
epoch   18 | train 8.058034e-01 | val 9.665197e-01 |   0.206 s | best 9.665197e-01 @18 *
epoch   19 | train 8.017030e-01 | val 9.659591e-01 |   0.206 s | best 9.659591e-01 @19 *
epoch   20 | train 7.940578e-01 | val 9.654511e-01 |   0.206 s | best 9.654511e-01 @20 *
epoch   21 | train 7.924109e-01 | val 9.649767e-01 |   0.206 s | best 9.649767e-01 @21 *
epoch   22 | train 7.880078e-01 | val 9.645267e-01 |   0.206 s | best 9.645267e-01 @22 *
epoch   23 | train 7.898954e-01 | val 9.641050e-01 |   0.206 s | best 9.641050e-01 @23 *
epoch   24 | train 7.889880e-01 | val 9.637032e-01 |   0.206 s | best 9.637032e-01 @24 *
epoch   25 | train 7.831157e-01 | val 9.633135e-01 |   0.206 s | best 9.633135e-01 @25 *
epoch   26 | train 7.820953e-01 | val 9.629262e-01 |   0.726 s | best 9.629262e-01 @26 *
epoch   27 | train 7.860177e-01 | val 9.625470e-01 |   0.710 s | best 9.625470e-01 @27 *
epoch   28 | train 7.812274e-01 | val 9.621692e-01 |   0.710 s | best 9.621692e-01 @28 *
epoch   29 | train 7.799573e-01 | val 9.617922e-01 |   0.711 s | best 9.617922e-01 @29 *
epoch   30 | train 7.825150e-01 | val 9.614103e-01 |   0.710 s | best 9.614103e-01 @30 *
epoch   31 | train 7.764319e-01 | val 9.610193e-01 |   0.712 s | best 9.610193e-01 @31 *
epoch   32 | train 7.804192e-01 | val 9.606158e-01 |   0.711 s | best 9.606158e-01 @32 *
epoch   33 | train 7.808949e-01 | val 9.602085e-01 |   0.711 s | best 9.602085e-01 @33 *
epoch   34 | train 7.808747e-01 | val 9.597911e-01 |   0.711 s | best 9.597911e-01 @34 *
epoch   35 | train 7.773413e-01 | val 9.593695e-01 |   0.709 s | best 9.593695e-01 @35 *
epoch   36 | train 7.824076e-01 | val 9.589429e-01 |   0.716 s | best 9.589429e-01 @36 *
epoch   37 | train 7.700023e-01 | val 9.585031e-01 |   0.711 s | best 9.585031e-01 @37 *
epoch   38 | train 7.744780e-01 | val 9.580488e-01 |   0.710 s | best 9.580488e-01 @38 *
epoch   39 | train 7.770713e-01 | val 9.575856e-01 |   0.710 s | best 9.575856e-01 @39 *
epoch   40 | train 7.691001e-01 | val 9.571060e-01 |   0.710 s | best 9.571060e-01 @40 *
epoch   41 | train 7.670005e-01 | val 9.566090e-01 |   0.711 s | best 9.566090e-01 @41 *
epoch   42 | train 7.664892e-01 | val 9.560866e-01 |   0.710 s | best 9.560866e-01 @42 *
epoch   43 | train 7.641524e-01 | val 9.555427e-01 |   0.711 s | best 9.555427e-01 @43 *
epoch   44 | train 7.584026e-01 | val 9.549757e-01 |   0.692 s | best 9.549757e-01 @44 *
epoch   45 | train 7.606790e-01 | val 9.543875e-01 |   0.716 s | best 9.543875e-01 @45 *
epoch   46 | train 7.605807e-01 | val 9.537778e-01 |   0.256 s | best 9.537778e-01 @46 *
epoch   47 | train 7.532664e-01 | val 9.531406e-01 |   0.184 s | best 9.531406e-01 @47 *
epoch   48 | train 7.577706e-01 | val 9.524795e-01 |   0.185 s | best 9.524795e-01 @48 *
epoch   49 | train 7.579769e-01 | val 9.517873e-01 |   0.210 s | best 9.517873e-01 @49 *
epoch   50 | train 7.551146e-01 | val 9.510686e-01 |   0.209 s | best 9.510686e-01 @50 *
epoch   51 | train 7.549593e-01 | val 9.503235e-01 |   0.187 s | best 9.503235e-01 @51 *
epoch   52 | train 7.535158e-01 | val 9.495452e-01 |   0.184 s | best 9.495452e-01 @52 *
epoch   53 | train 7.532226e-01 | val 9.487447e-01 |   0.185 s | best 9.487447e-01 @53 *
epoch   54 | train 7.551445e-01 | val 9.479098e-01 |   0.190 s | best 9.479098e-01 @54 *
epoch   55 | train 7.526000e-01 | val 9.470375e-01 |   0.208 s | best 9.470375e-01 @55 *
epoch   56 | train 7.469125e-01 | val 9.461294e-01 |   0.206 s | best 9.461294e-01 @56 *
