
# ===== 2026-09-21 05:45:56 KST  HPO attempt 28  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 've', 'domain': 'pixel', 'lr': 0.00012762829008379663, 'ema': 0.999, 'batch': 256, 'emb': 64, 'width': 128, 'depth': 4, 'heads': 2, 'patch': 2}  params=1248392
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.623315e-01 | val 9.891093e-01 |   0.920 s | best 9.891093e-01 @1 *
epoch    2 | train 8.813448e-01 | val 9.850953e-01 |   0.972 s | best 9.850953e-01 @2 *
epoch    3 | train 8.444333e-01 | val 9.800269e-01 |   0.971 s | best 9.800269e-01 @3 *
epoch    4 | train 8.252948e-01 | val 9.747892e-01 |   0.966 s | best 9.747892e-01 @4 *
epoch    5 | train 8.159739e-01 | val 9.695917e-01 |   0.970 s | best 9.695917e-01 @5 *
epoch    6 | train 8.136856e-01 | val 9.644696e-01 |   0.971 s | best 9.644696e-01 @6 *
epoch    7 | train 8.081594e-01 | val 9.594554e-01 |   0.969 s | best 9.594554e-01 @7 *
epoch    8 | train 8.085873e-01 | val 9.545120e-01 |   0.983 s | best 9.545120e-01 @8 *
epoch    9 | train 8.057925e-01 | val 9.496235e-01 |   0.969 s | best 9.496235e-01 @9 *
epoch   10 | train 8.042974e-01 | val 9.447749e-01 |   0.969 s | best 9.447749e-01 @10 *
epoch   11 | train 8.029511e-01 | val 9.399295e-01 |   0.968 s | best 9.399295e-01 @11 *
epoch   12 | train 7.984774e-01 | val 9.350545e-01 |   0.970 s | best 9.350545e-01 @12 *
epoch   13 | train 7.992520e-01 | val 9.301019e-01 |   0.970 s | best 9.301019e-01 @13 *
epoch   14 | train 7.958777e-01 | val 9.250509e-01 |   0.970 s | best 9.250509e-01 @14 *
epoch   15 | train 8.045703e-01 | val 9.199072e-01 |   0.968 s | best 9.199072e-01 @15 *
epoch   16 | train 7.995536e-01 | val 9.146745e-01 |   0.970 s | best 9.146745e-01 @16 *
epoch   17 | train 7.932654e-01 | val 9.093454e-01 |   0.969 s | best 9.093454e-01 @17 *
epoch   18 | train 7.957498e-01 | val 9.039477e-01 |   0.969 s | best 9.039477e-01 @18 *
epoch   19 | train 7.958020e-01 | val 8.984916e-01 |   0.968 s | best 8.984916e-01 @19 *
epoch   20 | train 7.909537e-01 | val 8.930199e-01 |   0.969 s | best 8.930199e-01 @20 *
epoch   21 | train 7.965056e-01 | val 8.875469e-01 |   0.967 s | best 8.875469e-01 @21 *
epoch   22 | train 7.980830e-01 | val 8.821211e-01 |   0.968 s | best 8.821211e-01 @22 *
epoch   23 | train 7.943949e-01 | val 8.767285e-01 |   0.968 s | best 8.767285e-01 @23 *
epoch   24 | train 7.960868e-01 | val 8.714299e-01 |   0.970 s | best 8.714299e-01 @24 *
epoch   25 | train 7.916931e-01 | val 8.662680e-01 |   0.969 s | best 8.662680e-01 @25 *
epoch   26 | train 7.939610e-01 | val 8.612526e-01 |   0.970 s | best 8.612526e-01 @26 *
epoch   27 | train 7.919373e-01 | val 8.563973e-01 |   0.970 s | best 8.563973e-01 @27 *
epoch   28 | train 7.938876e-01 | val 8.517088e-01 |   0.970 s | best 8.517088e-01 @28 *
epoch   29 | train 7.910798e-01 | val 8.472401e-01 |   0.968 s | best 8.472401e-01 @29 *
epoch   30 | train 7.955991e-01 | val 8.429757e-01 |   0.969 s | best 8.429757e-01 @30 *
epoch   31 | train 7.925334e-01 | val 8.389024e-01 |   0.970 s | best 8.389024e-01 @31 *
epoch   32 | train 7.898745e-01 | val 8.350284e-01 |   0.979 s | best 8.350284e-01 @32 *
epoch   33 | train 7.912874e-01 | val 8.313683e-01 |   0.966 s | best 8.313683e-01 @33 *
epoch   34 | train 7.923376e-01 | val 8.279138e-01 |   1.008 s | best 8.279138e-01 @34 *
epoch   35 | train 7.964934e-01 | val 8.246580e-01 |   1.006 s | best 8.246580e-01 @35 *
epoch   36 | train 7.898217e-01 | val 8.215742e-01 |   1.026 s | best 8.215742e-01 @36 *
epoch   37 | train 7.906528e-01 | val 8.186703e-01 |   1.028 s | best 8.186703e-01 @37 *
epoch   38 | train 7.924736e-01 | val 8.159402e-01 |   1.012 s | best 8.159402e-01 @38 *
epoch   39 | train 7.935661e-01 | val 8.133834e-01 |   1.001 s | best 8.133834e-01 @39 *
epoch   40 | train 7.928649e-01 | val 8.109928e-01 |   1.010 s | best 8.109928e-01 @40 *
epoch   41 | train 7.922637e-01 | val 8.087459e-01 |   1.011 s | best 8.087459e-01 @41 *
epoch   42 | train 7.891138e-01 | val 8.066456e-01 |   1.029 s | best 8.066456e-01 @42 *
epoch   43 | train 7.908407e-01 | val 8.046888e-01 |   1.015 s | best 8.046888e-01 @43 *
epoch   44 | train 7.920821e-01 | val 8.028603e-01 |   0.993 s | best 8.028603e-01 @44 *
epoch   45 | train 7.948973e-01 | val 8.011581e-01 |   1.018 s | best 8.011581e-01 @45 *
epoch   46 | train 7.914381e-01 | val 7.995784e-01 |   1.037 s | best 7.995784e-01 @46 *
epoch   47 | train 7.928061e-01 | val 7.980890e-01 |   1.011 s | best 7.980890e-01 @47 *
epoch   48 | train 7.894601e-01 | val 7.966856e-01 |   1.018 s | best 7.966856e-01 @48 *
epoch   49 | train 7.887859e-01 | val 7.953889e-01 |   1.011 s | best 7.953889e-01 @49 *
epoch   50 | train 7.914066e-01 | val 7.941846e-01 |   1.024 s | best 7.941846e-01 @50 *
