
# ===== 2026-09-21 04:51:49 KST  HPO attempt 5  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'mlp', 'param': 'edm', 'domain': 'pixel', 'lr': 0.0015904948035800374, 'ema': 0.9999, 'batch': 512, 'emb': 128, 'width': 384, 'depth': 3}  params=1134016
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.576770e-01 | val 9.905449e-01 |   0.513 s | best 9.905449e-01 @1 *
epoch    2 | train 9.187198e-01 | val 9.903107e-01 |   0.103 s | best 9.903107e-01 @2 *
epoch    3 | train 9.102856e-01 | val 9.900509e-01 |   0.112 s | best 9.900509e-01 @3 *
epoch    4 | train 9.075079e-01 | val 9.897736e-01 |   0.111 s | best 9.897736e-01 @4 *
epoch    5 | train 9.047140e-01 | val 9.894807e-01 |   0.118 s | best 9.894807e-01 @5 *
epoch    6 | train 9.047545e-01 | val 9.891685e-01 |   0.114 s | best 9.891685e-01 @6 *
epoch    7 | train 9.015981e-01 | val 9.888337e-01 |   0.111 s | best 9.888337e-01 @7 *
epoch    8 | train 8.960214e-01 | val 9.884868e-01 |   0.111 s | best 9.884868e-01 @8 *
epoch    9 | train 8.935140e-01 | val 9.881308e-01 |   0.113 s | best 9.881308e-01 @9 *
epoch   10 | train 8.958255e-01 | val 9.877692e-01 |   0.112 s | best 9.877692e-01 @10 *
epoch   11 | train 8.964507e-01 | val 9.874092e-01 |   0.110 s | best 9.874092e-01 @11 *
epoch   12 | train 8.924164e-01 | val 9.870420e-01 |   0.113 s | best 9.870420e-01 @12 *
epoch   13 | train 8.920018e-01 | val 9.866720e-01 |   0.109 s | best 9.866720e-01 @13 *
epoch   14 | train 8.893612e-01 | val 9.863012e-01 |   0.115 s | best 9.863012e-01 @14 *
epoch   15 | train 8.958683e-01 | val 9.859283e-01 |   0.115 s | best 9.859283e-01 @15 *
epoch   16 | train 8.890916e-01 | val 9.855540e-01 |   0.123 s | best 9.855540e-01 @16 *
epoch   17 | train 8.938851e-01 | val 9.851802e-01 |   0.112 s | best 9.851802e-01 @17 *
epoch   18 | train 8.916305e-01 | val 9.848078e-01 |   0.118 s | best 9.848078e-01 @18 *
epoch   19 | train 8.910026e-01 | val 9.844360e-01 |   0.119 s | best 9.844360e-01 @19 *
epoch   20 | train 8.900499e-01 | val 9.840642e-01 |   0.120 s | best 9.840642e-01 @20 *
epoch   21 | train 8.869260e-01 | val 9.836909e-01 |   0.121 s | best 9.836909e-01 @21 *
epoch   22 | train 8.927111e-01 | val 9.833174e-01 |   0.116 s | best 9.833174e-01 @22 *
epoch   23 | train 8.919282e-01 | val 9.829439e-01 |   0.123 s | best 9.829439e-01 @23 *
epoch   24 | train 8.874401e-01 | val 9.825709e-01 |   0.113 s | best 9.825709e-01 @24 *
epoch   25 | train 8.855082e-01 | val 9.821985e-01 |   0.119 s | best 9.821985e-01 @25 *
epoch   26 | train 8.910714e-01 | val 9.818274e-01 |   0.112 s | best 9.818274e-01 @26 *
epoch   27 | train 8.900848e-01 | val 9.814566e-01 |   0.114 s | best 9.814566e-01 @27 *
epoch   28 | train 8.920503e-01 | val 9.810865e-01 |   0.107 s | best 9.810865e-01 @28 *
epoch   29 | train 8.943917e-01 | val 9.807189e-01 |   0.112 s | best 9.807189e-01 @29 *
epoch   30 | train 8.887303e-01 | val 9.803517e-01 |   0.113 s | best 9.803517e-01 @30 *
epoch   31 | train 8.867341e-01 | val 9.799833e-01 |   0.110 s | best 9.799833e-01 @31 *
epoch   32 | train 8.885476e-01 | val 9.796163e-01 |   0.113 s | best 9.796163e-01 @32 *
epoch   33 | train 8.897321e-01 | val 9.792489e-01 |   0.112 s | best 9.792489e-01 @33 *
epoch   34 | train 8.856331e-01 | val 9.788841e-01 |   0.113 s | best 9.788841e-01 @34 *
epoch   35 | train 8.886265e-01 | val 9.785227e-01 |   0.114 s | best 9.785227e-01 @35 *
epoch   36 | train 8.844707e-01 | val 9.781647e-01 |   0.124 s | best 9.781647e-01 @36 *
epoch   37 | train 8.888564e-01 | val 9.778073e-01 |   0.116 s | best 9.778073e-01 @37 *
epoch   38 | train 8.894262e-01 | val 9.774522e-01 |   0.120 s | best 9.774522e-01 @38 *
epoch   39 | train 8.914870e-01 | val 9.770957e-01 |   0.110 s | best 9.770957e-01 @39 *
epoch   40 | train 8.844481e-01 | val 9.767415e-01 |   0.082 s | best 9.767415e-01 @40 *
epoch   41 | train 8.873090e-01 | val 9.763898e-01 |   0.062 s | best 9.763898e-01 @41 *
epoch   42 | train 8.866317e-01 | val 9.760381e-01 |   0.061 s | best 9.760381e-01 @42 *
epoch   43 | train 8.842828e-01 | val 9.756854e-01 |   0.050 s | best 9.756854e-01 @43 *
epoch   44 | train 8.871178e-01 | val 9.753332e-01 |   0.060 s | best 9.753332e-01 @44 *
epoch   45 | train 8.855269e-01 | val 9.749823e-01 |   0.060 s | best 9.749823e-01 @45 *
epoch   46 | train 8.818285e-01 | val 9.746362e-01 |   0.060 s | best 9.746362e-01 @46 *
epoch   47 | train 8.872359e-01 | val 9.742925e-01 |   0.047 s | best 9.742925e-01 @47 *
epoch   48 | train 8.857156e-01 | val 9.739484e-01 |   0.060 s | best 9.739484e-01 @48 *
epoch   49 | train 8.860849e-01 | val 9.736061e-01 |   0.055 s | best 9.736061e-01 @49 *
epoch   50 | train 8.816005e-01 | val 9.732643e-01 |   0.057 s | best 9.732643e-01 @50 *
epoch   51 | train 8.848333e-01 | val 9.729233e-01 |   0.061 s | best 9.729233e-01 @51 *
epoch   52 | train 8.865143e-01 | val 9.725851e-01 |   0.060 s | best 9.725851e-01 @52 *
epoch   53 | train 8.864932e-01 | val 9.722482e-01 |   0.062 s | best 9.722482e-01 @53 *
epoch   54 | train 8.810100e-01 | val 9.719151e-01 |   0.067 s | best 9.719151e-01 @54 *
epoch   55 | train 8.837373e-01 | val 9.715813e-01 |   0.091 s | best 9.715813e-01 @55 *
epoch   56 | train 8.884477e-01 | val 9.712461e-01 |   0.098 s | best 9.712461e-01 @56 *
epoch   57 | train 8.882617e-01 | val 9.709125e-01 |   0.105 s | best 9.709125e-01 @57 *
epoch   58 | train 8.854287e-01 | val 9.705816e-01 |   0.107 s | best 9.705816e-01 @58 *
epoch   59 | train 8.843602e-01 | val 9.702533e-01 |   0.112 s | best 9.702533e-01 @59 *
epoch   60 | train 8.832988e-01 | val 9.699249e-01 |   0.109 s | best 9.699249e-01 @60 *
epoch   61 | train 8.809629e-01 | val 9.695968e-01 |   0.113 s | best 9.695968e-01 @61 *
epoch   62 | train 8.868711e-01 | val 9.692703e-01 |   0.110 s | best 9.692703e-01 @62 *
epoch   63 | train 8.833998e-01 | val 9.689443e-01 |   0.105 s | best 9.689443e-01 @63 *
