
# ===== 2026-09-21 04:55:54 KST  HPO attempt 8  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'mlp', 'param': 'vp', 'domain': 'angle', 'lr': 0.00041527480066980144, 'ema': 0.9999, 'batch': 512, 'emb': 256, 'width': 384, 'depth': 2}  params=887488
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.803647e-01 | val 9.906476e-01 |   0.098 s | best 9.906476e-01 @1 *
epoch    2 | train 9.344873e-01 | val 9.905221e-01 |   0.097 s | best 9.905221e-01 @2 *
epoch    3 | train 8.855638e-01 | val 9.903340e-01 |   0.097 s | best 9.903340e-01 @3 *
epoch    4 | train 8.401567e-01 | val 9.901114e-01 |   0.096 s | best 9.901114e-01 @4 *
epoch    5 | train 8.169056e-01 | val 9.898773e-01 |   0.099 s | best 9.898773e-01 @5 *
epoch    6 | train 8.100322e-01 | val 9.896384e-01 |   0.100 s | best 9.896384e-01 @6 *
epoch    7 | train 7.985592e-01 | val 9.893961e-01 |   0.100 s | best 9.893961e-01 @7 *
epoch    8 | train 8.026647e-01 | val 9.891512e-01 |   0.100 s | best 9.891512e-01 @8 *
epoch    9 | train 8.011643e-01 | val 9.889053e-01 |   0.101 s | best 9.889053e-01 @9 *
epoch   10 | train 8.011818e-01 | val 9.886596e-01 |   0.101 s | best 9.886596e-01 @10 *
epoch   11 | train 8.056572e-01 | val 9.884138e-01 |   0.102 s | best 9.884138e-01 @11 *
epoch   12 | train 8.001256e-01 | val 9.881681e-01 |   0.102 s | best 9.881681e-01 @12 *
epoch   13 | train 8.017688e-01 | val 9.879215e-01 |   0.102 s | best 9.879215e-01 @13 *
epoch   14 | train 7.979653e-01 | val 9.876751e-01 |   0.102 s | best 9.876751e-01 @14 *
epoch   15 | train 8.018076e-01 | val 9.874285e-01 |   0.102 s | best 9.874285e-01 @15 *
epoch   16 | train 7.965722e-01 | val 9.871819e-01 |   0.098 s | best 9.871819e-01 @16 *
epoch   17 | train 8.006302e-01 | val 9.869348e-01 |   0.102 s | best 9.869348e-01 @17 *
epoch   18 | train 7.986801e-01 | val 9.866877e-01 |   0.101 s | best 9.866877e-01 @18 *
epoch   19 | train 8.009774e-01 | val 9.864411e-01 |   0.101 s | best 9.864411e-01 @19 *
epoch   20 | train 8.019447e-01 | val 9.861945e-01 |   0.101 s | best 9.861945e-01 @20 *
epoch   21 | train 8.000160e-01 | val 9.859475e-01 |   0.100 s | best 9.859475e-01 @21 *
epoch   22 | train 7.954939e-01 | val 9.857011e-01 |   0.101 s | best 9.857011e-01 @22 *
epoch   23 | train 7.985469e-01 | val 9.854549e-01 |   0.101 s | best 9.854549e-01 @23 *
epoch   24 | train 7.914185e-01 | val 9.852088e-01 |   0.102 s | best 9.852088e-01 @24 *
epoch   25 | train 7.978625e-01 | val 9.849629e-01 |   0.102 s | best 9.849629e-01 @25 *
epoch   26 | train 7.923701e-01 | val 9.847178e-01 |   0.102 s | best 9.847178e-01 @26 *
epoch   27 | train 7.940194e-01 | val 9.844722e-01 |   0.101 s | best 9.844722e-01 @27 *
epoch   28 | train 7.969883e-01 | val 9.842266e-01 |   0.101 s | best 9.842266e-01 @28 *
epoch   29 | train 7.965260e-01 | val 9.839816e-01 |   0.098 s | best 9.839816e-01 @29 *
epoch   30 | train 7.933434e-01 | val 9.837369e-01 |   0.101 s | best 9.837369e-01 @30 *
epoch   31 | train 7.925390e-01 | val 9.834917e-01 |   0.102 s | best 9.834917e-01 @31 *
epoch   32 | train 7.940370e-01 | val 9.832466e-01 |   0.101 s | best 9.832466e-01 @32 *
epoch   33 | train 7.883313e-01 | val 9.830012e-01 |   0.104 s | best 9.830012e-01 @33 *
epoch   34 | train 7.907703e-01 | val 9.827552e-01 |   0.101 s | best 9.827552e-01 @34 *
epoch   35 | train 7.905393e-01 | val 9.825097e-01 |   0.103 s | best 9.825097e-01 @35 *
epoch   36 | train 7.909871e-01 | val 9.822645e-01 |   0.100 s | best 9.822645e-01 @36 *
epoch   37 | train 7.962380e-01 | val 9.820185e-01 |   0.102 s | best 9.820185e-01 @37 *
epoch   38 | train 7.922919e-01 | val 9.817736e-01 |   0.102 s | best 9.817736e-01 @38 *
epoch   39 | train 7.904336e-01 | val 9.815286e-01 |   0.102 s | best 9.815286e-01 @39 *
epoch   40 | train 7.900449e-01 | val 9.812841e-01 |   0.101 s | best 9.812841e-01 @40 *
epoch   41 | train 7.911480e-01 | val 9.810393e-01 |   0.098 s | best 9.810393e-01 @41 *
epoch   42 | train 7.934264e-01 | val 9.807948e-01 |   0.157 s | best 9.807948e-01 @42 *
epoch   43 | train 7.878383e-01 | val 9.805505e-01 |   0.121 s | best 9.805505e-01 @43 *
epoch   44 | train 7.891207e-01 | val 9.803066e-01 |   0.108 s | best 9.803066e-01 @44 *
epoch   45 | train 7.880081e-01 | val 9.800619e-01 |   0.106 s | best 9.800619e-01 @45 *
epoch   46 | train 7.874105e-01 | val 9.798173e-01 |   0.102 s | best 9.798173e-01 @46 *
epoch   47 | train 7.879024e-01 | val 9.795728e-01 |   0.103 s | best 9.795728e-01 @47 *
epoch   48 | train 7.877811e-01 | val 9.793283e-01 |   0.101 s | best 9.793283e-01 @48 *
epoch   49 | train 7.919901e-01 | val 9.790838e-01 |   0.100 s | best 9.790838e-01 @49 *
epoch   50 | train 7.868077e-01 | val 9.788392e-01 |   0.102 s | best 9.788392e-01 @50 *
epoch   51 | train 7.847764e-01 | val 9.785941e-01 |   0.099 s | best 9.785941e-01 @51 *
epoch   52 | train 7.864090e-01 | val 9.783493e-01 |   0.099 s | best 9.783493e-01 @52 *
epoch   53 | train 7.873855e-01 | val 9.781055e-01 |   0.096 s | best 9.781055e-01 @53 *
epoch   54 | train 7.865784e-01 | val 9.778618e-01 |   0.100 s | best 9.778618e-01 @54 *
epoch   55 | train 7.778596e-01 | val 9.776179e-01 |   0.100 s | best 9.776179e-01 @55 *
epoch   56 | train 7.853104e-01 | val 9.773740e-01 |   0.100 s | best 9.773740e-01 @56 *
epoch   57 | train 7.846210e-01 | val 9.771305e-01 |   0.125 s | best 9.771305e-01 @57 *
epoch   58 | train 7.890217e-01 | val 9.768869e-01 |   0.124 s | best 9.768869e-01 @58 *
epoch   59 | train 7.850472e-01 | val 9.766428e-01 |   0.113 s | best 9.766428e-01 @59 *
epoch   60 | train 7.812498e-01 | val 9.763988e-01 |   0.104 s | best 9.763988e-01 @60 *
epoch   61 | train 7.876613e-01 | val 9.761544e-01 |   0.103 s | best 9.761544e-01 @61 *
epoch   62 | train 7.857876e-01 | val 9.759098e-01 |   0.101 s | best 9.759098e-01 @62 *
epoch   63 | train 7.861935e-01 | val 9.756657e-01 |   0.103 s | best 9.756657e-01 @63 *
epoch   64 | train 7.850934e-01 | val 9.754215e-01 |   0.101 s | best 9.754215e-01 @64 *
epoch   65 | train 7.859273e-01 | val 9.751776e-01 |   0.100 s | best 9.751776e-01 @65 *
epoch   66 | train 7.836927e-01 | val 9.749336e-01 |   0.101 s | best 9.749336e-01 @66 *
epoch   67 | train 7.861710e-01 | val 9.746895e-01 |   0.102 s | best 9.746895e-01 @67 *
epoch   68 | train 7.820014e-01 | val 9.744455e-01 |   0.102 s | best 9.744455e-01 @68 *
epoch   69 | train 7.853241e-01 | val 9.742010e-01 |   0.100 s | best 9.742010e-01 @69 *
epoch   70 | train 7.768587e-01 | val 9.739564e-01 |   0.102 s | best 9.739564e-01 @70 *
epoch   71 | train 7.860990e-01 | val 9.737116e-01 |   0.100 s | best 9.737116e-01 @71 *
epoch   72 | train 7.833247e-01 | val 9.734668e-01 |   0.101 s | best 9.734668e-01 @72 *
epoch   73 | train 7.847728e-01 | val 9.732218e-01 |   0.102 s | best 9.732218e-01 @73 *
epoch   74 | train 7.832695e-01 | val 9.729769e-01 |   0.102 s | best 9.729769e-01 @74 *
epoch   75 | train 7.844765e-01 | val 9.727316e-01 |   0.102 s | best 9.727316e-01 @75 *
epoch   76 | train 7.838082e-01 | val 9.724865e-01 |   0.100 s | best 9.724865e-01 @76 *
epoch   77 | train 7.815435e-01 | val 9.722415e-01 |   0.100 s | best 9.722415e-01 @77 *
epoch   78 | train 7.829305e-01 | val 9.719966e-01 |   0.101 s | best 9.719966e-01 @78 *
epoch   79 | train 7.867213e-01 | val 9.717519e-01 |   0.101 s | best 9.717519e-01 @79 *
epoch   80 | train 7.828118e-01 | val 9.715066e-01 |   0.102 s | best 9.715066e-01 @80 *
epoch   81 | train 7.851899e-01 | val 9.712609e-01 |   0.101 s | best 9.712609e-01 @81 *
