
# ===== 2026-09-21 05:22:34 KST  HPO attempt 22  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'mlp', 'param': 'vp', 'domain': 'pixel', 'lr': 5.84487228107452e-05, 'ema': 0.99, 'batch': 256, 'emb': 64, 'width': 128, 'depth': 3}  params=140480
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.975686e-01 | val 9.900718e-01 |   0.170 s | best 9.900718e-01 @1 *
epoch    2 | train 9.950588e-01 | val 9.884753e-01 |   0.230 s | best 9.884753e-01 @2 *
epoch    3 | train 9.899569e-01 | val 9.861727e-01 |   0.241 s | best 9.861727e-01 @3 *
epoch    4 | train 9.865841e-01 | val 9.833404e-01 |   0.254 s | best 9.833404e-01 @4 *
epoch    5 | train 9.816426e-01 | val 9.800849e-01 |   0.267 s | best 9.800849e-01 @5 *
epoch    6 | train 9.773437e-01 | val 9.764892e-01 |   0.268 s | best 9.764892e-01 @6 *
epoch    7 | train 9.717409e-01 | val 9.726067e-01 |   0.268 s | best 9.726067e-01 @7 *
epoch    8 | train 9.668538e-01 | val 9.684432e-01 |   0.264 s | best 9.684432e-01 @8 *
epoch    9 | train 9.637665e-01 | val 9.639900e-01 |   0.258 s | best 9.639900e-01 @9 *
epoch   10 | train 9.572168e-01 | val 9.592860e-01 |   0.257 s | best 9.592860e-01 @10 *
epoch   11 | train 9.567691e-01 | val 9.542882e-01 |   0.267 s | best 9.542882e-01 @11 *
epoch   12 | train 9.472006e-01 | val 9.489703e-01 |   0.269 s | best 9.489703e-01 @12 *
epoch   13 | train 9.400204e-01 | val 9.432029e-01 |   0.262 s | best 9.432029e-01 @13 *
epoch   14 | train 9.347568e-01 | val 9.368664e-01 |   0.268 s | best 9.368664e-01 @14 *
epoch   15 | train 9.205647e-01 | val 9.296983e-01 |   0.269 s | best 9.296983e-01 @15 *
epoch   16 | train 9.127409e-01 | val 9.215894e-01 |   0.266 s | best 9.215894e-01 @16 *
epoch   17 | train 9.025949e-01 | val 9.127944e-01 |   0.261 s | best 9.127944e-01 @17 *
