
# ===== 2026-09-21 05:25:54 KST  HPO attempt 27  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'mlp', 'param': 'vp', 'domain': 'angle', 'lr': 9.540740546480238e-05, 'ema': 0.999, 'batch': 512, 'emb': 256, 'width': 128, 'depth': 8}  params=330176
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 1.000462e+00 | val 9.906577e-01 |   0.097 s | best 9.906577e-01 @1 *
epoch    2 | train 9.972749e-01 | val 9.905520e-01 |   0.109 s | best 9.905520e-01 @2 *
epoch    3 | train 9.854647e-01 | val 9.903786e-01 |   0.165 s | best 9.903786e-01 @3 *
epoch    4 | train 9.856805e-01 | val 9.901385e-01 |   0.186 s | best 9.901385e-01 @4 *
epoch    5 | train 9.784565e-01 | val 9.898324e-01 |   0.205 s | best 9.898324e-01 @5 *
epoch    6 | train 9.702847e-01 | val 9.894602e-01 |   0.215 s | best 9.894602e-01 @6 *
epoch    7 | train 9.654550e-01 | val 9.890209e-01 |   0.213 s | best 9.890209e-01 @7 *
epoch    8 | train 9.464724e-01 | val 9.885178e-01 |   0.207 s | best 9.885178e-01 @8 *
epoch    9 | train 9.281200e-01 | val 9.879682e-01 |   0.206 s | best 9.879682e-01 @9 *
epoch   10 | train 9.200186e-01 | val 9.873914e-01 |   0.208 s | best 9.873914e-01 @10 *
epoch   11 | train 9.093078e-01 | val 9.867922e-01 |   0.214 s | best 9.867922e-01 @11 *
epoch   12 | train 9.003492e-01 | val 9.861759e-01 |   0.212 s | best 9.861759e-01 @12 *
epoch   13 | train 8.938106e-01 | val 9.855437e-01 |   0.206 s | best 9.855437e-01 @13 *
epoch   14 | train 8.903483e-01 | val 9.848977e-01 |   0.209 s | best 9.848977e-01 @14 *
epoch   15 | train 8.840375e-01 | val 9.842391e-01 |   0.212 s | best 9.842391e-01 @15 *
epoch   16 | train 8.757432e-01 | val 9.835683e-01 |   0.211 s | best 9.835683e-01 @16 *
epoch   17 | train 8.731231e-01 | val 9.828868e-01 |   0.207 s | best 9.828868e-01 @17 *
epoch   18 | train 8.730595e-01 | val 9.821941e-01 |   0.160 s | best 9.821941e-01 @18 *
epoch   19 | train 8.666816e-01 | val 9.814909e-01 |   0.194 s | best 9.814909e-01 @19 *
epoch   20 | train 8.641631e-01 | val 9.807769e-01 |   0.206 s | best 9.807769e-01 @20 *
epoch   21 | train 8.571400e-01 | val 9.800521e-01 |   0.206 s | best 9.800521e-01 @21 *
epoch   22 | train 8.591930e-01 | val 9.793155e-01 |   0.206 s | best 9.793155e-01 @22 *
epoch   23 | train 8.561199e-01 | val 9.785678e-01 |   0.213 s | best 9.785678e-01 @23 *
epoch   24 | train 8.497017e-01 | val 9.778092e-01 |   0.212 s | best 9.778092e-01 @24 *
epoch   25 | train 8.446465e-01 | val 9.770398e-01 |   0.209 s | best 9.770398e-01 @25 *
epoch   26 | train 8.445282e-01 | val 9.762602e-01 |   0.207 s | best 9.762602e-01 @26 *
epoch   27 | train 8.416211e-01 | val 9.754689e-01 |   0.205 s | best 9.754689e-01 @27 *
epoch   28 | train 8.384221e-01 | val 9.746655e-01 |   0.212 s | best 9.746655e-01 @28 *
epoch   29 | train 8.380134e-01 | val 9.738507e-01 |   0.210 s | best 9.738507e-01 @29 *
epoch   30 | train 8.403249e-01 | val 9.730235e-01 |   0.205 s | best 9.730235e-01 @30 *
epoch   31 | train 8.335611e-01 | val 9.721828e-01 |   0.205 s | best 9.721828e-01 @31 *
epoch   32 | train 8.355617e-01 | val 9.713293e-01 |   0.212 s | best 9.713293e-01 @32 *
epoch   33 | train 8.324123e-01 | val 9.704621e-01 |   0.213 s | best 9.704621e-01 @33 *
epoch   34 | train 8.324947e-01 | val 9.695810e-01 |   0.206 s | best 9.695810e-01 @34 *
epoch   35 | train 8.288210e-01 | val 9.686861e-01 |   0.204 s | best 9.686861e-01 @35 *
epoch   36 | train 8.262740e-01 | val 9.677769e-01 |   0.214 s | best 9.677769e-01 @36 *
epoch   37 | train 8.216098e-01 | val 9.668521e-01 |   0.213 s | best 9.668521e-01 @37 *
epoch   38 | train 8.257822e-01 | val 9.659114e-01 |   0.205 s | best 9.659114e-01 @38 *
epoch   39 | train 8.221137e-01 | val 9.649547e-01 |   0.205 s | best 9.649547e-01 @39 *
epoch   40 | train 8.215474e-01 | val 9.639819e-01 |   0.210 s | best 9.639819e-01 @40 *
epoch   41 | train 8.185161e-01 | val 9.629937e-01 |   0.212 s | best 9.629937e-01 @41 *
epoch   42 | train 8.180327e-01 | val 9.619874e-01 |   0.208 s | best 9.619874e-01 @42 *
epoch   43 | train 8.205465e-01 | val 9.609622e-01 |   0.206 s | best 9.609622e-01 @43 *
epoch   44 | train 8.186622e-01 | val 9.599180e-01 |   0.212 s | best 9.599180e-01 @44 *
epoch   45 | train 8.171368e-01 | val 9.588548e-01 |   0.211 s | best 9.588548e-01 @45 *
epoch   46 | train 8.180793e-01 | val 9.577730e-01 |   0.207 s | best 9.577730e-01 @46 *
epoch   47 | train 8.153004e-01 | val 9.566714e-01 |   0.209 s | best 9.566714e-01 @47 *
epoch   48 | train 8.127799e-01 | val 9.555489e-01 |   0.211 s | best 9.555489e-01 @48 *
epoch   49 | train 8.153351e-01 | val 9.544063e-01 |   0.210 s | best 9.544063e-01 @49 *
epoch   50 | train 8.112760e-01 | val 9.532433e-01 |   0.205 s | best 9.532433e-01 @50 *
epoch   51 | train 8.123686e-01 | val 9.520580e-01 |   0.205 s | best 9.520580e-01 @51 *
epoch   52 | train 8.098844e-01 | val 9.508506e-01 |   0.213 s | best 9.508506e-01 @52 *
epoch   53 | train 8.093497e-01 | val 9.496219e-01 |   0.213 s | best 9.496219e-01 @53 *
