
# ===== 2026-09-21 05:28:56 KST  HPO attempt 29  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'mlp', 'param': 'edm', 'domain': 'angle', 'lr': 0.002088874090950608, 'ema': 0.9999, 'batch': 128, 'emb': 256, 'width': 128, 'depth': 3}  params=165056
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.537456e-01 | val 9.902311e-01 |   0.432 s | best 9.902311e-01 @1 *
epoch    2 | train 9.190531e-01 | val 9.895175e-01 |   0.521 s | best 9.895175e-01 @2 *
epoch    3 | train 9.105012e-01 | val 9.887166e-01 |   0.529 s | best 9.887166e-01 @3 *
epoch    4 | train 9.104412e-01 | val 9.878623e-01 |   0.530 s | best 9.878623e-01 @4 *
epoch    5 | train 9.065097e-01 | val 9.869571e-01 |   0.521 s | best 9.869571e-01 @5 *
epoch    6 | train 9.023701e-01 | val 9.859930e-01 |   0.533 s | best 9.859930e-01 @6 *
epoch    7 | train 9.036726e-01 | val 9.849903e-01 |   0.530 s | best 9.849903e-01 @7 *
epoch    8 | train 9.003466e-01 | val 9.839689e-01 |   0.530 s | best 9.839689e-01 @8 *
epoch    9 | train 8.972451e-01 | val 9.829360e-01 |   0.525 s | best 9.829360e-01 @9 *
epoch   10 | train 8.932892e-01 | val 9.818996e-01 |   0.530 s | best 9.818996e-01 @10 *
epoch   11 | train 8.942406e-01 | val 9.808639e-01 |   0.528 s | best 9.808639e-01 @11 *
epoch   12 | train 8.955692e-01 | val 9.798322e-01 |   0.529 s | best 9.798322e-01 @12 *
epoch   13 | train 8.940069e-01 | val 9.787945e-01 |   0.520 s | best 9.787945e-01 @13 *
epoch   14 | train 8.917665e-01 | val 9.777592e-01 |   0.528 s | best 9.777592e-01 @14 *
epoch   15 | train 8.933103e-01 | val 9.767387e-01 |   0.530 s | best 9.767387e-01 @15 *
epoch   16 | train 8.932774e-01 | val 9.757269e-01 |   0.529 s | best 9.757269e-01 @16 *
epoch   17 | train 8.919990e-01 | val 9.747180e-01 |   0.521 s | best 9.747180e-01 @17 *
epoch   18 | train 8.938525e-01 | val 9.737073e-01 |   0.528 s | best 9.737073e-01 @18 *
epoch   19 | train 8.941450e-01 | val 9.727129e-01 |   0.529 s | best 9.727129e-01 @19 *
epoch   20 | train 8.933611e-01 | val 9.717244e-01 |   0.529 s | best 9.717244e-01 @20 *
epoch   21 | train 8.953266e-01 | val 9.707505e-01 |   0.520 s | best 9.707505e-01 @21 *
epoch   22 | train 8.927359e-01 | val 9.697918e-01 |   0.532 s | best 9.697918e-01 @22 *
epoch   23 | train 8.948307e-01 | val 9.688389e-01 |   0.528 s | best 9.688389e-01 @23 *
epoch   24 | train 8.933178e-01 | val 9.678922e-01 |   0.531 s | best 9.678922e-01 @24 *
epoch   25 | train 8.969963e-01 | val 9.669557e-01 |   0.522 s | best 9.669557e-01 @25 *
epoch   26 | train 8.917816e-01 | val 9.660294e-01 |   0.528 s | best 9.660294e-01 @26 *
epoch   27 | train 8.913413e-01 | val 9.651093e-01 |   0.531 s | best 9.651093e-01 @27 *
epoch   28 | train 8.923707e-01 | val 9.641958e-01 |   0.529 s | best 9.641958e-01 @28 *
epoch   29 | train 8.961807e-01 | val 9.632956e-01 |   0.523 s | best 9.632956e-01 @29 *
epoch   30 | train 8.911081e-01 | val 9.624090e-01 |   0.529 s | best 9.624090e-01 @30 *
epoch   31 | train 8.934422e-01 | val 9.615197e-01 |   0.525 s | best 9.615197e-01 @31 *
epoch   32 | train 8.917238e-01 | val 9.606373e-01 |   0.531 s | best 9.606373e-01 @32 *
epoch   33 | train 8.891831e-01 | val 9.597732e-01 |   0.521 s | best 9.597732e-01 @33 *
epoch   34 | train 8.890676e-01 | val 9.589235e-01 |   0.531 s | best 9.589235e-01 @34 *
epoch   35 | train 8.868751e-01 | val 9.580759e-01 |   0.526 s | best 9.580759e-01 @35 *
epoch   36 | train 8.920502e-01 | val 9.572383e-01 |   0.531 s | best 9.572383e-01 @36 *
epoch   37 | train 8.900784e-01 | val 9.564035e-01 |   0.518 s | best 9.564035e-01 @37 *
epoch   38 | train 8.900490e-01 | val 9.555820e-01 |   0.531 s | best 9.555820e-01 @38 *
epoch   39 | train 8.917550e-01 | val 9.547569e-01 |   0.532 s | best 9.547569e-01 @39 *
epoch   40 | train 8.926754e-01 | val 9.539423e-01 |   0.527 s | best 9.539423e-01 @40 *
epoch   41 | train 8.869872e-01 | val 9.531374e-01 |   0.525 s | best 9.531374e-01 @41 *
epoch   42 | train 8.909147e-01 | val 9.523384e-01 |   0.526 s | best 9.523384e-01 @42 *
epoch   43 | train 8.914160e-01 | val 9.515479e-01 |   0.529 s | best 9.515479e-01 @43 *
epoch   44 | train 8.901208e-01 | val 9.507704e-01 |   0.527 s | best 9.507704e-01 @44 *
epoch   45 | train 8.876334e-01 | val 9.499959e-01 |   0.529 s | best 9.499959e-01 @45 *
epoch   46 | train 8.915562e-01 | val 9.492319e-01 |   0.523 s | best 9.492319e-01 @46 *
epoch   47 | train 8.884959e-01 | val 9.484814e-01 |   0.528 s | best 9.484814e-01 @47 *
epoch   48 | train 8.888153e-01 | val 9.477440e-01 |   0.533 s | best 9.477440e-01 @48 *
epoch   49 | train 8.873489e-01 | val 9.469998e-01 |   0.527 s | best 9.469998e-01 @49 *
epoch   50 | train 8.885562e-01 | val 9.462632e-01 |   0.525 s | best 9.462632e-01 @50 *
epoch   51 | train 8.915155e-01 | val 9.455361e-01 |   0.528 s | best 9.455361e-01 @51 *
epoch   52 | train 8.899255e-01 | val 9.448144e-01 |   0.528 s | best 9.448144e-01 @52 *
epoch   53 | train 8.864092e-01 | val 9.441037e-01 |   0.529 s | best 9.441037e-01 @53 *
epoch   54 | train 8.910808e-01 | val 9.433956e-01 |   0.524 s | best 9.433956e-01 @54 *
epoch   55 | train 8.867456e-01 | val 9.426998e-01 |   0.529 s | best 9.426998e-01 @55 *
epoch   56 | train 8.899759e-01 | val 9.420097e-01 |   0.418 s | best 9.420097e-01 @56 *
epoch   57 | train 8.902912e-01 | val 9.413254e-01 |   0.383 s | best 9.413254e-01 @57 *
epoch   58 | train 8.872745e-01 | val 9.406376e-01 |   0.519 s | best 9.406376e-01 @58 *
epoch   59 | train 8.868255e-01 | val 9.399571e-01 |   0.549 s | best 9.399571e-01 @59 *
epoch   60 | train 8.866449e-01 | val 9.392865e-01 |   0.568 s | best 9.392865e-01 @60 *
epoch   61 | train 8.846918e-01 | val 9.386250e-01 |   0.554 s | best 9.386250e-01 @61 *
epoch   62 | train 8.859241e-01 | val 9.379652e-01 |   0.546 s | best 9.379652e-01 @62 *
epoch   63 | train 8.889180e-01 | val 9.373186e-01 |   0.552 s | best 9.373186e-01 @63 *
epoch   64 | train 8.861289e-01 | val 9.366742e-01 |   0.557 s | best 9.366742e-01 @64 *
epoch   65 | train 8.850761e-01 | val 9.360373e-01 |   0.560 s | best 9.360373e-01 @65 *
epoch   66 | train 8.845115e-01 | val 9.354002e-01 |   0.545 s | best 9.354002e-01 @66 *
epoch   67 | train 8.862489e-01 | val 9.347725e-01 |   0.557 s | best 9.347725e-01 @67 *
epoch   68 | train 8.869297e-01 | val 9.341619e-01 |   0.549 s | best 9.341619e-01 @68 *
epoch   69 | train 8.880455e-01 | val 9.335474e-01 |   0.614 s | best 9.335474e-01 @69 *
epoch   70 | train 8.852628e-01 | val 9.329428e-01 |   0.594 s | best 9.329428e-01 @70 *
epoch   71 | train 8.900829e-01 | val 9.323506e-01 |   0.621 s | best 9.323506e-01 @71 *
epoch   72 | train 8.848654e-01 | val 9.317638e-01 |   0.563 s | best 9.317638e-01 @72 *
epoch   73 | train 8.869353e-01 | val 9.311870e-01 |   0.591 s | best 9.311870e-01 @73 *
epoch   74 | train 8.910798e-01 | val 9.306132e-01 |   0.558 s | best 9.306132e-01 @74 *
epoch   75 | train 8.845804e-01 | val 9.300461e-01 |   0.545 s | best 9.300461e-01 @75 *
epoch   76 | train 8.848348e-01 | val 9.294842e-01 |   0.551 s | best 9.294842e-01 @76 *
epoch   77 | train 8.870024e-01 | val 9.289265e-01 |   0.533 s | best 9.289265e-01 @77 *
epoch   78 | train 8.874714e-01 | val 9.283667e-01 |   0.554 s | best 9.283667e-01 @78 *
epoch   79 | train 8.838194e-01 | val 9.278148e-01 |   0.539 s | best 9.278148e-01 @79 *
epoch   80 | train 8.884341e-01 | val 9.272690e-01 |   0.552 s | best 9.272690e-01 @80 *
epoch   81 | train 8.860914e-01 | val 9.267311e-01 |   0.540 s | best 9.267311e-01 @81 *
epoch   82 | train 8.856390e-01 | val 9.261943e-01 |   0.554 s | best 9.261943e-01 @82 *
epoch   83 | train 8.864513e-01 | val 9.256616e-01 |   0.547 s | best 9.256616e-01 @83 *
epoch   84 | train 8.888272e-01 | val 9.251449e-01 |   0.544 s | best 9.251449e-01 @84 *
epoch   85 | train 8.859625e-01 | val 9.246298e-01 |   0.541 s | best 9.246298e-01 @85 *
epoch   86 | train 8.872189e-01 | val 9.241188e-01 |   0.556 s | best 9.241188e-01 @86 *
epoch   87 | train 8.854294e-01 | val 9.236162e-01 |   0.549 s | best 9.236162e-01 @87 *
epoch   88 | train 8.868031e-01 | val 9.231115e-01 |   0.531 s | best 9.231115e-01 @88 *
epoch   89 | train 8.844577e-01 | val 9.226224e-01 |   0.549 s | best 9.226224e-01 @89 *
epoch   90 | train 8.854230e-01 | val 9.221379e-01 |   0.551 s | best 9.221379e-01 @90 *
epoch   91 | train 8.837833e-01 | val 9.216608e-01 |   0.554 s | best 9.216608e-01 @91 *
epoch   92 | train 8.901204e-01 | val 9.211882e-01 |   0.538 s | best 9.211882e-01 @92 *
epoch   93 | train 8.844101e-01 | val 9.207168e-01 |   0.545 s | best 9.207168e-01 @93 *
epoch   94 | train 8.844195e-01 | val 9.202453e-01 |   0.552 s | best 9.202453e-01 @94 *
epoch   95 | train 8.866041e-01 | val 9.197785e-01 |   0.549 s | best 9.197785e-01 @95 *
epoch   96 | train 8.869947e-01 | val 9.193168e-01 |   0.534 s | best 9.193168e-01 @96 *
epoch   97 | train 8.839698e-01 | val 9.188623e-01 |   0.550 s | best 9.188623e-01 @97 *
epoch   98 | train 8.853093e-01 | val 9.184164e-01 |   0.552 s | best 9.184164e-01 @98 *
epoch   99 | train 8.865705e-01 | val 9.179661e-01 |   0.548 s | best 9.179661e-01 @99 *
epoch  100 | train 8.841489e-01 | val 9.175242e-01 |   0.537 s | best 9.175242e-01 @100 *
epoch  101 | train 8.870033e-01 | val 9.170792e-01 |   0.553 s | best 9.170792e-01 @101 *
epoch  102 | train 8.842526e-01 | val 9.166360e-01 |   0.552 s | best 9.166360e-01 @102 *
epoch  103 | train 8.844620e-01 | val 9.161996e-01 |   0.553 s | best 9.161996e-01 @103 *
epoch  104 | train 8.880914e-01 | val 9.157762e-01 |   0.537 s | best 9.157762e-01 @104 *
epoch  105 | train 8.833993e-01 | val 9.153534e-01 |   0.551 s | best 9.153534e-01 @105 *
epoch  106 | train 8.835881e-01 | val 9.149324e-01 |   0.551 s | best 9.149324e-01 @106 *
epoch  107 | train 8.834716e-01 | val 9.145215e-01 |   0.540 s | best 9.145215e-01 @107 *
epoch  108 | train 8.841473e-01 | val 9.141094e-01 |   0.555 s | best 9.141094e-01 @108 *
epoch  109 | train 8.821694e-01 | val 9.137077e-01 |   0.550 s | best 9.137077e-01 @109 *
epoch  110 | train 8.834115e-01 | val 9.133099e-01 |   0.546 s | best 9.133099e-01 @110 *
epoch  111 | train 8.821294e-01 | val 9.129162e-01 |   0.531 s | best 9.129162e-01 @111 *
epoch  112 | train 8.835764e-01 | val 9.125299e-01 |   0.551 s | best 9.125299e-01 @112 *
epoch  113 | train 8.835112e-01 | val 9.121493e-01 |   0.546 s | best 9.121493e-01 @113 *
epoch  114 | train 8.801997e-01 | val 9.117704e-01 |   0.551 s | best 9.117704e-01 @114 *
epoch  115 | train 8.856940e-01 | val 9.113958e-01 |   0.537 s | best 9.113958e-01 @115 *
epoch  116 | train 8.819956e-01 | val 9.110205e-01 |   0.524 s | best 9.110205e-01 @116 *
epoch  117 | train 8.799744e-01 | val 9.106464e-01 |   0.528 s | best 9.106464e-01 @117 *
epoch  118 | train 8.818664e-01 | val 9.102825e-01 |   0.535 s | best 9.102825e-01 @118 *
epoch  119 | train 8.821675e-01 | val 9.099157e-01 |   0.522 s | best 9.099157e-01 @119 *
epoch  120 | train 8.824565e-01 | val 9.095519e-01 |   0.524 s | best 9.095519e-01 @120 *
epoch  121 | train 8.785923e-01 | val 9.091991e-01 |   0.526 s | best 9.091991e-01 @121 *
epoch  122 | train 8.808429e-01 | val 9.088488e-01 |   0.529 s | best 9.088488e-01 @122 *
epoch  123 | train 8.795040e-01 | val 9.085006e-01 |   0.525 s | best 9.085006e-01 @123 *
epoch  124 | train 8.803511e-01 | val 9.081504e-01 |   0.525 s | best 9.081504e-01 @124 *
epoch  125 | train 8.771028e-01 | val 9.078039e-01 |   0.524 s | best 9.078039e-01 @125 *
epoch  126 | train 8.803328e-01 | val 9.074630e-01 |   0.531 s | best 9.074630e-01 @126 *
epoch  127 | train 8.795282e-01 | val 9.071245e-01 |   0.524 s | best 9.071245e-01 @127 *
epoch  128 | train 8.764666e-01 | val 9.067882e-01 |   0.527 s | best 9.067882e-01 @128 *
epoch  129 | train 8.780009e-01 | val 9.064600e-01 |   0.525 s | best 9.064600e-01 @129 *
epoch  130 | train 8.775226e-01 | val 9.061368e-01 |   0.533 s | best 9.061368e-01 @130 *
epoch  131 | train 8.761873e-01 | val 9.058163e-01 |   0.524 s | best 9.058163e-01 @131 *
epoch  132 | train 8.774318e-01 | val 9.055061e-01 |   0.525 s | best 9.055061e-01 @132 *
epoch  133 | train 8.753591e-01 | val 9.051994e-01 |   0.525 s | best 9.051994e-01 @133 *
epoch  134 | train 8.717199e-01 | val 9.048917e-01 |   0.529 s | best 9.048917e-01 @134 *
epoch  135 | train 8.724222e-01 | val 9.045849e-01 |   0.531 s | best 9.045849e-01 @135 *
epoch  136 | train 8.728113e-01 | val 9.042755e-01 |   0.520 s | best 9.042755e-01 @136 *
epoch  137 | train 8.739225e-01 | val 9.039729e-01 |   0.528 s | best 9.039729e-01 @137 *
epoch  138 | train 8.712751e-01 | val 9.036732e-01 |   0.529 s | best 9.036732e-01 @138 *
epoch  139 | train 8.738932e-01 | val 9.033763e-01 |   0.526 s | best 9.033763e-01 @139 *
epoch  140 | train 8.709597e-01 | val 9.030780e-01 |   0.528 s | best 9.030780e-01 @140 *
epoch  141 | train 8.722315e-01 | val 9.027862e-01 |   0.525 s | best 9.027862e-01 @141 *
epoch  142 | train 8.690014e-01 | val 9.024987e-01 |   0.533 s | best 9.024987e-01 @142 *
epoch  143 | train 8.725000e-01 | val 9.022178e-01 |   0.522 s | best 9.022178e-01 @143 *
epoch  144 | train 8.713851e-01 | val 9.019420e-01 |   0.525 s | best 9.019420e-01 @144 *
epoch  145 | train 8.717423e-01 | val 9.016672e-01 |   0.544 s | best 9.016672e-01 @145 *
epoch  146 | train 8.690730e-01 | val 9.013976e-01 |   0.547 s | best 9.013976e-01 @146 *
epoch  147 | train 8.714891e-01 | val 9.011272e-01 |   0.538 s | best 9.011272e-01 @147 *
epoch  148 | train 8.700210e-01 | val 9.008623e-01 |   0.529 s | best 9.008623e-01 @148 *
epoch  149 | train 8.718711e-01 | val 9.006023e-01 |   0.550 s | best 9.006023e-01 @149 *
epoch  150 | train 8.699098e-01 | val 9.003419e-01 |   0.550 s | best 9.003419e-01 @150 *
epoch  151 | train 8.660357e-01 | val 9.000859e-01 |   0.550 s | best 9.000859e-01 @151 *
epoch  152 | train 8.714146e-01 | val 8.998272e-01 |   0.535 s | best 8.998272e-01 @152 *
epoch  153 | train 8.643773e-01 | val 8.995720e-01 |   0.541 s | best 8.995720e-01 @153 *
epoch  154 | train 8.683977e-01 | val 8.993132e-01 |   0.556 s | best 8.993132e-01 @154 *
epoch  155 | train 8.643409e-01 | val 8.990583e-01 |   0.538 s | best 8.990583e-01 @155 *
epoch  156 | train 8.669001e-01 | val 8.988130e-01 |   0.524 s | best 8.988130e-01 @156 *
