
# ===== 2026-09-20 15:19:41 KST  HPO attempt 20  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'mlp', 'param': 'edm', 'domain': 'pixel', 'lr': 0.0007491194544911439, 'ema': 0.9995, 'batch': 512, 'emb': 128, 'width': 256, 'depth': 6}  params=921408
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.755189e-01 | val 9.903792e-01 |   0.071 s | best 9.903792e-01 @1 *
epoch    2 | train 9.500387e-01 | val 9.898237e-01 |   0.112 s | best 9.898237e-01 @2 *
epoch    3 | train 9.196443e-01 | val 9.891208e-01 |   0.147 s | best 9.891208e-01 @3 *
epoch    4 | train 9.077714e-01 | val 9.883634e-01 |   0.159 s | best 9.883634e-01 @4 *
epoch    5 | train 9.033148e-01 | val 9.875683e-01 |   0.159 s | best 9.875683e-01 @5 *
epoch    6 | train 9.028270e-01 | val 9.867498e-01 |   0.171 s | best 9.867498e-01 @6 *
epoch    7 | train 8.959901e-01 | val 9.859154e-01 |   0.166 s | best 9.859154e-01 @7 *
epoch    8 | train 8.914159e-01 | val 9.850729e-01 |   0.170 s | best 9.850729e-01 @8 *
epoch    9 | train 8.934809e-01 | val 9.842203e-01 |   0.173 s | best 9.842203e-01 @9 *
epoch   10 | train 8.938009e-01 | val 9.833592e-01 |   0.173 s | best 9.833592e-01 @10 *
epoch   11 | train 8.924628e-01 | val 9.824840e-01 |   0.171 s | best 9.824840e-01 @11 *
epoch   12 | train 8.878952e-01 | val 9.815962e-01 |   0.170 s | best 9.815962e-01 @12 *
epoch   13 | train 8.880897e-01 | val 9.807001e-01 |   0.170 s | best 9.807001e-01 @13 *
epoch   14 | train 8.880547e-01 | val 9.797931e-01 |   0.174 s | best 9.797931e-01 @14 *
epoch   15 | train 8.892733e-01 | val 9.788856e-01 |   0.174 s | best 9.788856e-01 @15 *
