
# ===== 2026-09-20 16:07:13 KST  HPO attempt 72  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'adm', 'param': 've', 'domain': 'angle', 'lr': 0.0005036276501570808, 'ema': 0.99, 'batch': 512, 'emb': 256, 'width': 16, 'depth': 3, 'heads': 2, 'attn_at': 8}  params=331026
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.699038e-01 | val 9.848134e-01 |   1.158 s | best 9.848134e-01 @1 *
epoch    2 | train 9.051434e-01 | val 9.698631e-01 |   1.074 s | best 9.698631e-01 @2 *
epoch    3 | train 8.588193e-01 | val 9.487301e-01 |   1.065 s | best 9.487301e-01 @3 *
epoch    4 | train 8.295533e-01 | val 9.238847e-01 |   1.071 s | best 9.238847e-01 @4 *
epoch    5 | train 8.048142e-01 | val 8.977501e-01 |   1.077 s | best 8.977501e-01 @5 *
epoch    6 | train 7.888233e-01 | val 8.716974e-01 |   1.065 s | best 8.716974e-01 @6 *
epoch    7 | train 7.740136e-01 | val 8.476278e-01 |   1.066 s | best 8.476278e-01 @7 *
epoch    8 | train 7.710612e-01 | val 8.266830e-01 |   1.067 s | best 8.266830e-01 @8 *
epoch    9 | train 7.631578e-01 | val 8.088253e-01 |   1.064 s | best 8.088253e-01 @9 *
epoch   10 | train 7.660237e-01 | val 7.940529e-01 |   1.064 s | best 7.940529e-01 @10 *
epoch   11 | train 7.614326e-01 | val 7.820615e-01 |   1.062 s | best 7.820615e-01 @11 *
epoch   12 | train 7.608366e-01 | val 7.726614e-01 |   1.070 s | best 7.726614e-01 @12 *
epoch   13 | train 7.611285e-01 | val 7.653370e-01 |   1.072 s | best 7.653370e-01 @13 *
epoch   14 | train 7.579101e-01 | val 7.596546e-01 |   1.065 s | best 7.596546e-01 @14 *
epoch   15 | train 7.616870e-01 | val 7.553043e-01 |   1.072 s | best 7.553043e-01 @15 *
epoch   16 | train 7.563765e-01 | val 7.518920e-01 |   1.073 s | best 7.518920e-01 @16 *
epoch   17 | train 7.561657e-01 | val 7.492293e-01 |   1.068 s | best 7.492293e-01 @17 *
epoch   18 | train 7.511767e-01 | val 7.471458e-01 |   1.070 s | best 7.471458e-01 @18 *
epoch   19 | train 7.600178e-01 | val 7.454507e-01 |   1.066 s | best 7.454507e-01 @19 *
epoch   20 | train 7.535124e-01 | val 7.441390e-01 |   1.068 s | best 7.441390e-01 @20 *
epoch   21 | train 7.539880e-01 | val 7.430628e-01 |   1.066 s | best 7.430628e-01 @21 *
epoch   22 | train 7.540116e-01 | val 7.421585e-01 |   1.065 s | best 7.421585e-01 @22 *
epoch   23 | train 7.554800e-01 | val 7.414268e-01 |   1.065 s | best 7.414268e-01 @23 *
epoch   24 | train 7.535741e-01 | val 7.408095e-01 |   1.067 s | best 7.408095e-01 @24 *
epoch   25 | train 7.533032e-01 | val 7.402761e-01 |   1.069 s | best 7.402761e-01 @25 *
epoch   26 | train 7.489487e-01 | val 7.398193e-01 |   1.072 s | best 7.398193e-01 @26 *
epoch   27 | train 7.495361e-01 | val 7.393563e-01 |   1.067 s | best 7.393563e-01 @27 *
epoch   28 | train 7.480716e-01 | val 7.389715e-01 |   1.067 s | best 7.389715e-01 @28 *
epoch   29 | train 7.520318e-01 | val 7.386926e-01 |   1.073 s | best 7.386926e-01 @29 *
epoch   30 | train 7.512456e-01 | val 7.384455e-01 |   1.061 s | best 7.384455e-01 @30 *
epoch   31 | train 7.506454e-01 | val 7.382155e-01 |   1.069 s | best 7.382155e-01 @31 *
epoch   32 | train 7.532287e-01 | val 7.380217e-01 |   1.073 s | best 7.380217e-01 @32 *
epoch   33 | train 7.482874e-01 | val 7.377248e-01 |   1.060 s | best 7.377248e-01 @33 *
epoch   34 | train 7.490149e-01 | val 7.375326e-01 |   1.067 s | best 7.375326e-01 @34 *
epoch   35 | train 7.521185e-01 | val 7.372675e-01 |   1.072 s | best 7.372675e-01 @35 *
epoch   36 | train 7.506043e-01 | val 7.369754e-01 |   1.067 s | best 7.369754e-01 @36 *
epoch   37 | train 7.491658e-01 | val 7.368586e-01 |   1.067 s | best 7.368586e-01 @37 *
epoch   38 | train 7.457360e-01 | val 7.367118e-01 |   1.071 s | best 7.367118e-01 @38 *
epoch   39 | train 7.501809e-01 | val 7.365503e-01 |   1.075 s | best 7.365503e-01 @39 *
epoch   40 | train 7.499346e-01 | val 7.364416e-01 |   1.068 s | best 7.364416e-01 @40 *
epoch   41 | train 7.508116e-01 | val 7.362144e-01 |   1.068 s | best 7.362144e-01 @41 *
epoch   42 | train 7.481986e-01 | val 7.360827e-01 |   1.069 s | best 7.360827e-01 @42 *
epoch   43 | train 7.484961e-01 | val 7.359366e-01 |   1.073 s | best 7.359366e-01 @43 *
epoch   44 | train 7.452620e-01 | val 7.358369e-01 |   1.067 s | best 7.358369e-01 @44 *
epoch   45 | train 7.484757e-01 | val 7.358049e-01 |   1.094 s | best 7.358049e-01 @45 *
epoch   46 | train 7.504232e-01 | val 7.357111e-01 |   1.069 s | best 7.357111e-01 @46 *
epoch   47 | train 7.509066e-01 | val 7.355993e-01 |   1.100 s | best 7.355993e-01 @47 *
epoch   48 | train 7.478473e-01 | val 7.354513e-01 |   1.103 s | best 7.354513e-01 @48 *
epoch   49 | train 7.513923e-01 | val 7.352911e-01 |   1.059 s | best 7.352911e-01 @49 *
epoch   50 | train 7.466587e-01 | val 7.351473e-01 |   1.038 s | best 7.351473e-01 @50 *
epoch   51 | train 7.470232e-01 | val 7.349676e-01 |   1.038 s | best 7.349676e-01 @51 *
epoch   52 | train 7.453670e-01 | val 7.348688e-01 |   1.038 s | best 7.348688e-01 @52 *
epoch   53 | train 7.465559e-01 | val 7.347426e-01 |   1.037 s | best 7.347426e-01 @53 *
epoch   54 | train 7.477332e-01 | val 7.346223e-01 |   1.037 s | best 7.346223e-01 @54 *
epoch   55 | train 7.499467e-01 | val 7.346553e-01 |   1.041 s | best 7.346223e-01 @54
epoch   56 | train 7.495557e-01 | val 7.345619e-01 |   1.035 s | best 7.345619e-01 @56 *
epoch   57 | train 7.482485e-01 | val 7.344522e-01 |   1.039 s | best 7.344522e-01 @57 *
epoch   58 | train 7.459072e-01 | val 7.343687e-01 |   1.039 s | best 7.343687e-01 @58 *
epoch   59 | train 7.435208e-01 | val 7.343211e-01 |   1.037 s | best 7.343211e-01 @59 *
epoch   60 | train 7.468492e-01 | val 7.342809e-01 |   1.035 s | best 7.342809e-01 @60 *
epoch   61 | train 7.464015e-01 | val 7.342403e-01 |   1.038 s | best 7.342403e-01 @61 *
epoch   62 | train 7.452194e-01 | val 7.341480e-01 |   1.034 s | best 7.341480e-01 @62 *
epoch   63 | train 7.466215e-01 | val 7.340319e-01 |   1.034 s | best 7.340319e-01 @63 *
epoch   64 | train 7.417898e-01 | val 7.339377e-01 |   1.039 s | best 7.339377e-01 @64 *
epoch   65 | train 7.484620e-01 | val 7.338543e-01 |   1.036 s | best 7.338543e-01 @65 *
epoch   66 | train 7.473743e-01 | val 7.338431e-01 |   1.037 s | best 7.338431e-01 @66 *
epoch   67 | train 7.439445e-01 | val 7.338372e-01 |   1.036 s | best 7.338372e-01 @67 *
epoch   68 | train 7.471369e-01 | val 7.337606e-01 |   1.035 s | best 7.337606e-01 @68 *
epoch   69 | train 7.462365e-01 | val 7.336634e-01 |   1.035 s | best 7.336634e-01 @69 *
epoch   70 | train 7.454350e-01 | val 7.336174e-01 |   1.036 s | best 7.336174e-01 @70 *
epoch   71 | train 7.393070e-01 | val 7.336208e-01 |   1.037 s | best 7.336174e-01 @70
epoch   72 | train 7.467175e-01 | val 7.336152e-01 |   1.040 s | best 7.336152e-01 @72 *
epoch   73 | train 7.466223e-01 | val 7.335880e-01 |   1.034 s | best 7.335880e-01 @73 *
epoch   74 | train 7.472956e-01 | val 7.335221e-01 |   1.038 s | best 7.335221e-01 @74 *
epoch   75 | train 7.474185e-01 | val 7.334937e-01 |   1.036 s | best 7.334937e-01 @75 *
epoch   76 | train 7.473934e-01 | val 7.334626e-01 |   1.035 s | best 7.334626e-01 @76 *
epoch   77 | train 7.412312e-01 | val 7.334238e-01 |   1.034 s | best 7.334238e-01 @77 *
epoch   78 | train 7.399033e-01 | val 7.333966e-01 |   1.036 s | best 7.333966e-01 @78 *
epoch   79 | train 7.488003e-01 | val 7.333040e-01 |   1.032 s | best 7.333040e-01 @79 *
epoch   80 | train 7.488775e-01 | val 7.331997e-01 |   1.049 s | best 7.331997e-01 @80 *
epoch   81 | train 7.454500e-01 | val 7.331159e-01 |   1.083 s | best 7.331159e-01 @81 *
epoch   82 | train 7.452672e-01 | val 7.330722e-01 |   1.079 s | best 7.330722e-01 @82 *
epoch   83 | train 7.408718e-01 | val 7.330057e-01 |   1.068 s | best 7.330057e-01 @83 *
epoch   84 | train 7.453179e-01 | val 7.328693e-01 |   1.078 s | best 7.328693e-01 @84 *
epoch   85 | train 7.522901e-01 | val 7.328136e-01 |   1.089 s | best 7.328136e-01 @85 *
epoch   86 | train 7.457082e-01 | val 7.327504e-01 |   1.087 s | best 7.327504e-01 @86 *
epoch   87 | train 7.434655e-01 | val 7.327026e-01 |   1.083 s | best 7.327026e-01 @87 *
epoch   88 | train 7.466833e-01 | val 7.326984e-01 |   1.090 s | best 7.326984e-01 @88 *
epoch   89 | train 7.433629e-01 | val 7.326865e-01 |   1.072 s | best 7.326865e-01 @89 *
epoch   90 | train 7.472024e-01 | val 7.326893e-01 |   1.056 s | best 7.326865e-01 @89
epoch   91 | train 7.473570e-01 | val 7.326927e-01 |   1.072 s | best 7.326865e-01 @89
epoch   92 | train 7.455145e-01 | val 7.326897e-01 |   1.103 s | best 7.326865e-01 @89
epoch   93 | train 7.446776e-01 | val 7.326363e-01 |   1.100 s | best 7.326363e-01 @93 *
epoch   94 | train 7.449891e-01 | val 7.326503e-01 |   1.112 s | best 7.326363e-01 @93
epoch   95 | train 7.404626e-01 | val 7.326156e-01 |   1.043 s | best 7.326156e-01 @95 *
epoch   96 | train 7.480305e-01 | val 7.325842e-01 |   1.043 s | best 7.325842e-01 @96 *
epoch   97 | train 7.436903e-01 | val 7.324882e-01 |   0.931 s | best 7.324882e-01 @97 *
epoch   98 | train 7.442329e-01 | val 7.324677e-01 |   1.092 s | best 7.324677e-01 @98 *
epoch   99 | train 7.459526e-01 | val 7.325590e-01 |   1.038 s | best 7.324677e-01 @98
epoch  100 | train 7.443231e-01 | val 7.325192e-01 |   1.063 s | best 7.324677e-01 @98
epoch  101 | train 7.483581e-01 | val 7.325218e-01 |   1.069 s | best 7.324677e-01 @98
epoch  102 | train 7.473527e-01 | val 7.324806e-01 |   1.049 s | best 7.324677e-01 @98
epoch  103 | train 7.439194e-01 | val 7.323934e-01 |   1.085 s | best 7.323934e-01 @103 *
epoch  104 | train 7.424399e-01 | val 7.323824e-01 |   1.049 s | best 7.323824e-01 @104 *
epoch  105 | train 7.456728e-01 | val 7.324283e-01 |   1.099 s | best 7.323824e-01 @104
epoch  106 | train 7.420486e-01 | val 7.323963e-01 |   1.044 s | best 7.323824e-01 @104
epoch  107 | train 7.411299e-01 | val 7.324268e-01 |   1.117 s | best 7.323824e-01 @104
epoch  108 | train 7.449677e-01 | val 7.323806e-01 |   1.046 s | best 7.323806e-01 @108 *
epoch  109 | train 7.404245e-01 | val 7.322981e-01 |   1.074 s | best 7.322981e-01 @109 *
epoch  110 | train 7.408714e-01 | val 7.323151e-01 |   1.054 s | best 7.322981e-01 @109
epoch  111 | train 7.411174e-01 | val 7.322858e-01 |   1.051 s | best 7.322858e-01 @111 *
epoch  112 | train 7.422860e-01 | val 7.322782e-01 |   1.065 s | best 7.322782e-01 @112 *
epoch  113 | train 7.455749e-01 | val 7.321711e-01 |   1.044 s | best 7.321711e-01 @113 *
epoch  114 | train 7.461785e-01 | val 7.321665e-01 |   1.072 s | best 7.321665e-01 @114 *
epoch  115 | train 7.466721e-01 | val 7.321274e-01 |   1.041 s | best 7.321274e-01 @115 *
epoch  116 | train 7.497488e-01 | val 7.320247e-01 |   1.077 s | best 7.320247e-01 @116 *
epoch  117 | train 7.468972e-01 | val 7.319983e-01 |   1.042 s | best 7.319983e-01 @117 *
epoch  118 | train 7.467474e-01 | val 7.319356e-01 |   1.070 s | best 7.319356e-01 @118 *
epoch  119 | train 7.404662e-01 | val 7.319147e-01 |   1.051 s | best 7.319147e-01 @119 *
epoch  120 | train 7.474580e-01 | val 7.319358e-01 |   1.057 s | best 7.319147e-01 @119
epoch  121 | train 7.460691e-01 | val 7.318633e-01 |   1.058 s | best 7.318633e-01 @121 *
epoch  122 | train 7.411908e-01 | val 7.318397e-01 |   1.049 s | best 7.318397e-01 @122 *
epoch  123 | train 7.398188e-01 | val 7.318222e-01 |   1.074 s | best 7.318222e-01 @123 *
epoch  124 | train 7.385249e-01 | val 7.318779e-01 |   1.042 s | best 7.318222e-01 @123
epoch  125 | train 7.437262e-01 | val 7.317837e-01 |   1.064 s | best 7.317837e-01 @125 *
epoch  126 | train 7.370488e-01 | val 7.317280e-01 |   1.040 s | best 7.317280e-01 @126 *
epoch  127 | train 7.460906e-01 | val 7.317361e-01 |   1.067 s | best 7.317280e-01 @126
epoch  128 | train 7.442719e-01 | val 7.317007e-01 |   1.041 s | best 7.317007e-01 @128 *
epoch  129 | train 7.430563e-01 | val 7.316990e-01 |   1.058 s | best 7.316990e-01 @129 *
epoch  130 | train 7.442383e-01 | val 7.316397e-01 |   1.043 s | best 7.316397e-01 @130 *
epoch  131 | train 7.413628e-01 | val 7.316307e-01 |   1.049 s | best 7.316307e-01 @131 *
epoch  132 | train 7.408494e-01 | val 7.316853e-01 |   1.064 s | best 7.316307e-01 @131
epoch  133 | train 7.436839e-01 | val 7.317396e-01 |   1.043 s | best 7.316307e-01 @131
epoch  134 | train 7.447349e-01 | val 7.317245e-01 |   1.072 s | best 7.316307e-01 @131
epoch  135 | train 7.426722e-01 | val 7.316860e-01 |   1.042 s | best 7.316307e-01 @131
epoch  136 | train 7.422166e-01 | val 7.316384e-01 |   1.061 s | best 7.316307e-01 @131
epoch  137 | train 7.433070e-01 | val 7.315745e-01 |   1.047 s | best 7.315745e-01 @137 *
epoch  138 | train 7.361670e-01 | val 7.315214e-01 |   1.051 s | best 7.315214e-01 @138 *
epoch  139 | train 7.428069e-01 | val 7.315058e-01 |   1.046 s | best 7.315058e-01 @139 *
epoch  140 | train 7.411973e-01 | val 7.315115e-01 |   1.042 s | best 7.315058e-01 @139
epoch  141 | train 7.433039e-01 | val 7.314983e-01 |   1.053 s | best 7.314983e-01 @141 *
epoch  142 | train 7.360553e-01 | val 7.315390e-01 |   1.089 s | best 7.314983e-01 @141
epoch  143 | train 7.444597e-01 | val 7.315565e-01 |   1.075 s | best 7.314983e-01 @141
epoch  144 | train 7.467009e-01 | val 7.315829e-01 |   1.072 s | best 7.314983e-01 @141
epoch  145 | train 7.385947e-01 | val 7.315515e-01 |   1.065 s | best 7.314983e-01 @141
epoch  146 | train 7.433153e-01 | val 7.315716e-01 |   1.075 s | best 7.314983e-01 @141
epoch  147 | train 7.428838e-01 | val 7.314911e-01 |   1.059 s | best 7.314911e-01 @147 *
epoch  148 | train 7.431222e-01 | val 7.314922e-01 |   1.080 s | best 7.314911e-01 @147
epoch  149 | train 7.430086e-01 | val 7.315223e-01 |   1.070 s | best 7.314911e-01 @147
epoch  150 | train 7.402552e-01 | val 7.315344e-01 |   1.074 s | best 7.314911e-01 @147
epoch  151 | train 7.409990e-01 | val 7.315542e-01 |   1.075 s | best 7.314911e-01 @147
epoch  152 | train 7.465453e-01 | val 7.315685e-01 |   1.061 s | best 7.314911e-01 @147
epoch  153 | train 7.404643e-01 | val 7.315432e-01 |   1.077 s | best 7.314911e-01 @147
epoch  154 | train 7.421246e-01 | val 7.315268e-01 |   1.064 s | best 7.314911e-01 @147
epoch  155 | train 7.417026e-01 | val 7.315242e-01 |   1.070 s | best 7.314911e-01 @147
epoch  156 | train 7.404590e-01 | val 7.315266e-01 |   1.066 s | best 7.314911e-01 @147
epoch  157 | train 7.406063e-01 | val 7.315474e-01 |   1.070 s | best 7.314911e-01 @147
epoch  158 | train 7.382835e-01 | val 7.315968e-01 |   1.065 s | best 7.314911e-01 @147
epoch  159 | train 7.398208e-01 | val 7.315803e-01 |   1.077 s | best 7.314911e-01 @147
epoch  160 | train 7.407937e-01 | val 7.315720e-01 |   1.061 s | best 7.314911e-01 @147
epoch  161 | train 7.415091e-01 | val 7.315633e-01 |   1.076 s | best 7.314911e-01 @147
epoch  162 | train 7.381535e-01 | val 7.315812e-01 |   1.072 s | best 7.314911e-01 @147
# done        : 162 epochs, stopped_by=patience, aborted=False, best val 7.314911e-01 @ epoch 147, wall 182.1 s, 1.124 s/epoch
