
# ===== 2026-09-20 19:51:16 KST  HPO attempt 284  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'edm', 'domain': 'angle', 'lr': 0.00019693594935933347, 'ema': 0.9999, 'batch': 128, 'emb': 128, 'width': 64, 'depth': 4, 'heads': 2, 'patch': 1}  params=321858
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.866052e-01 | val 9.905783e-01 |   1.505 s | best 9.905783e-01 @1 *
epoch    2 | train 9.701962e-01 | val 9.905909e-01 |   2.005 s | best 9.905783e-01 @1
epoch    3 | train 9.381783e-01 | val 9.908181e-01 |   1.977 s | best 9.905783e-01 @1
epoch    4 | train 9.157968e-01 | val 9.911519e-01 |   2.005 s | best 9.905783e-01 @1
epoch    5 | train 9.054289e-01 | val 9.915705e-01 |   2.050 s | best 9.905783e-01 @1
epoch    6 | train 9.009463e-01 | val 9.920635e-01 |   1.980 s | best 9.905783e-01 @1
epoch    7 | train 9.009958e-01 | val 9.926063e-01 |   2.049 s | best 9.905783e-01 @1
epoch    8 | train 8.974685e-01 | val 9.931917e-01 |   2.064 s | best 9.905783e-01 @1
epoch    9 | train 8.961194e-01 | val 9.938117e-01 |   2.050 s | best 9.905783e-01 @1
epoch   10 | train 8.968835e-01 | val 9.944605e-01 |   2.055 s | best 9.905783e-01 @1
epoch   11 | train 8.974720e-01 | val 9.951331e-01 |   2.039 s | best 9.905783e-01 @1
epoch   12 | train 8.990793e-01 | val 9.958342e-01 |   2.036 s | best 9.905783e-01 @1
epoch   13 | train 8.928678e-01 | val 9.965661e-01 |   2.047 s | best 9.905783e-01 @1
epoch   14 | train 9.006059e-01 | val 9.973248e-01 |   2.045 s | best 9.905783e-01 @1
epoch   15 | train 8.950769e-01 | val 9.981086e-01 |   2.050 s | best 9.905783e-01 @1
epoch   16 | train 8.946282e-01 | val 9.989163e-01 |   2.051 s | best 9.905783e-01 @1
# done        : 16 epochs, stopped_by=patience, aborted=False, best val 9.905783e-01 @ epoch 1, wall 33.0 s, 2.063 s/epoch
