
# ===== 2026-09-20 20:53:07 KST  HPO attempt 341  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'adm', 'param': 've', 'domain': 'pixel', 'lr': 0.0048140250535487795, 'ema': 0.99, 'batch': 256, 'emb': 256, 'width': 16, 'depth': 7, 'heads': 4, 'attn_at': 8}  params=390162
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 8.279563e-01 | val 8.941756e-01 |   1.904 s | best 8.941756e-01 @1 *
epoch    2 | train 7.809254e-01 | val 8.389013e-01 |   1.853 s | best 8.389013e-01 @2 *
epoch    3 | train 7.778040e-01 | val 8.052422e-01 |   1.846 s | best 8.052422e-01 @3 *
epoch    4 | train 7.646134e-01 | val 7.809151e-01 |   1.849 s | best 7.809151e-01 @4 *
epoch    5 | train 7.710303e-01 | val 7.664934e-01 |   1.856 s | best 7.664934e-01 @5 *
epoch    6 | train 7.652236e-01 | val 7.571969e-01 |   1.853 s | best 7.571969e-01 @6 *
epoch    7 | train 7.617988e-01 | val 7.514982e-01 |   1.854 s | best 7.514982e-01 @7 *
epoch    8 | train 7.587425e-01 | val 7.475843e-01 |   1.849 s | best 7.475843e-01 @8 *
epoch    9 | train 7.572348e-01 | val 7.446186e-01 |   1.853 s | best 7.446186e-01 @9 *
epoch   10 | train 7.606869e-01 | val 7.423890e-01 |   1.851 s | best 7.423890e-01 @10 *
epoch   11 | train 7.568612e-01 | val 7.405084e-01 |   1.852 s | best 7.405084e-01 @11 *
epoch   12 | train 7.560927e-01 | val 7.390473e-01 |   1.851 s | best 7.390473e-01 @12 *
epoch   13 | train 7.513717e-01 | val 7.380874e-01 |   1.848 s | best 7.380874e-01 @13 *
epoch   14 | train 7.501359e-01 | val 7.372888e-01 |   1.855 s | best 7.372888e-01 @14 *
epoch   15 | train 7.583341e-01 | val 7.364811e-01 |   1.849 s | best 7.364811e-01 @15 *
epoch   16 | train 7.516615e-01 | val 7.359684e-01 |   1.853 s | best 7.359684e-01 @16 *
epoch   17 | train 7.514903e-01 | val 7.355852e-01 |   1.848 s | best 7.355852e-01 @17 *
epoch   18 | train 7.541518e-01 | val 7.351710e-01 |   1.854 s | best 7.351710e-01 @18 *
epoch   19 | train 7.510480e-01 | val 7.347726e-01 |   1.852 s | best 7.347726e-01 @19 *
epoch   20 | train 7.527496e-01 | val 7.346133e-01 |   1.850 s | best 7.346133e-01 @20 *
epoch   21 | train 7.520083e-01 | val 7.344732e-01 |   1.851 s | best 7.344732e-01 @21 *
epoch   22 | train 7.487416e-01 | val 7.344031e-01 |   1.851 s | best 7.344031e-01 @22 *
epoch   23 | train 7.530745e-01 | val 7.342407e-01 |   1.851 s | best 7.342407e-01 @23 *
epoch   24 | train 7.518481e-01 | val 7.339857e-01 |   1.848 s | best 7.339857e-01 @24 *
epoch   25 | train 7.524397e-01 | val 7.337851e-01 |   1.857 s | best 7.337851e-01 @25 *
epoch   26 | train 7.501206e-01 | val 7.335237e-01 |   1.851 s | best 7.335237e-01 @26 *
epoch   27 | train 7.461721e-01 | val 7.332088e-01 |   1.848 s | best 7.332088e-01 @27 *
epoch   28 | train 7.521286e-01 | val 7.331137e-01 |   1.850 s | best 7.331137e-01 @28 *
epoch   29 | train 7.510467e-01 | val 7.330910e-01 |   1.847 s | best 7.330910e-01 @29 *
epoch   30 | train 7.448389e-01 | val 7.331169e-01 |   1.856 s | best 7.330910e-01 @29
epoch   31 | train 7.468505e-01 | val 7.331651e-01 |   1.803 s | best 7.330910e-01 @29
epoch   32 | train 7.469711e-01 | val 7.330496e-01 |   1.850 s | best 7.330496e-01 @32 *
epoch   33 | train 7.488063e-01 | val 7.329935e-01 |   1.850 s | best 7.329935e-01 @33 *
epoch   34 | train 7.515330e-01 | val 7.329180e-01 |   1.851 s | best 7.329180e-01 @34 *
epoch   35 | train 7.457684e-01 | val 7.327757e-01 |   1.853 s | best 7.327757e-01 @35 *
epoch   36 | train 7.443469e-01 | val 7.325462e-01 |   1.845 s | best 7.325462e-01 @36 *
epoch   37 | train 7.454182e-01 | val 7.324606e-01 |   1.852 s | best 7.324606e-01 @37 *
epoch   38 | train 7.449338e-01 | val 7.323015e-01 |   1.849 s | best 7.323015e-01 @38 *
epoch   39 | train 7.503808e-01 | val 7.322581e-01 |   1.852 s | best 7.322581e-01 @39 *
epoch   40 | train 7.427744e-01 | val 7.321734e-01 |   1.859 s | best 7.321734e-01 @40 *
epoch   41 | train 7.499184e-01 | val 7.321278e-01 |   1.848 s | best 7.321278e-01 @41 *
epoch   42 | train 7.476582e-01 | val 7.321130e-01 |   1.851 s | best 7.321130e-01 @42 *
epoch   43 | train 7.456606e-01 | val 7.321129e-01 |   1.850 s | best 7.321129e-01 @43 *
epoch   44 | train 7.500788e-01 | val 7.319762e-01 |   1.850 s | best 7.319762e-01 @44 *
epoch   45 | train 7.462087e-01 | val 7.318586e-01 |   1.855 s | best 7.318586e-01 @45 *
