
# ===== 2026-09-20 21:16:47 KST  HPO attempt 362  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.0031409261638830027, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 8.491837e-01 | val 9.817305e-01 |   1.008 s | best 9.817305e-01 @1 *
epoch    2 | train 8.145230e-01 | val 9.739707e-01 |   1.353 s | best 9.739707e-01 @2 *
epoch    3 | train 7.986276e-01 | val 9.675050e-01 |   1.353 s | best 9.675050e-01 @3 *
epoch    4 | train 7.971664e-01 | val 9.621664e-01 |   1.354 s | best 9.621664e-01 @4 *
epoch    5 | train 7.965051e-01 | val 9.575557e-01 |   1.354 s | best 9.575557e-01 @5 *
epoch    6 | train 7.974823e-01 | val 9.531914e-01 |   1.352 s | best 9.531914e-01 @6 *
epoch    7 | train 7.933180e-01 | val 9.487852e-01 |   1.354 s | best 9.487852e-01 @7 *
epoch    8 | train 7.912961e-01 | val 9.442925e-01 |   1.145 s | best 9.442925e-01 @8 *
epoch    9 | train 7.938804e-01 | val 9.397057e-01 |   1.366 s | best 9.397057e-01 @9 *
epoch   10 | train 7.987641e-01 | val 9.350358e-01 |   1.363 s | best 9.350358e-01 @10 *
epoch   11 | train 7.923320e-01 | val 9.304109e-01 |   1.364 s | best 9.304109e-01 @11 *
epoch   12 | train 7.900212e-01 | val 9.258605e-01 |   1.360 s | best 9.258605e-01 @12 *
epoch   13 | train 7.921802e-01 | val 9.211597e-01 |   1.365 s | best 9.211597e-01 @13 *
epoch   14 | train 7.852431e-01 | val 9.162773e-01 |   1.363 s | best 9.162773e-01 @14 *
epoch   15 | train 7.871989e-01 | val 9.114016e-01 |   1.369 s | best 9.114016e-01 @15 *
epoch   16 | train 7.887480e-01 | val 9.065317e-01 |   1.364 s | best 9.065317e-01 @16 *
epoch   17 | train 7.893812e-01 | val 9.015441e-01 |   1.366 s | best 9.015441e-01 @17 *
epoch   18 | train 7.830186e-01 | val 8.964652e-01 |   1.360 s | best 8.964652e-01 @18 *
epoch   19 | train 7.843987e-01 | val 8.912367e-01 |   1.364 s | best 8.912367e-01 @19 *
epoch   20 | train 7.859222e-01 | val 8.859148e-01 |   1.365 s | best 8.859148e-01 @20 *
epoch   21 | train 7.785582e-01 | val 8.804351e-01 |   1.365 s | best 8.804351e-01 @21 *
epoch   22 | train 7.819145e-01 | val 8.748289e-01 |   1.362 s | best 8.748289e-01 @22 *
epoch   23 | train 7.752683e-01 | val 8.689438e-01 |   1.364 s | best 8.689438e-01 @23 *
epoch   24 | train 7.641143e-01 | val 8.631198e-01 |   1.364 s | best 8.631198e-01 @24 *
epoch   25 | train 7.630001e-01 | val 8.571349e-01 |   1.362 s | best 8.571349e-01 @25 *
epoch   26 | train 7.666852e-01 | val 8.509920e-01 |   1.365 s | best 8.509920e-01 @26 *
epoch   27 | train 7.659242e-01 | val 8.449140e-01 |   1.364 s | best 8.449140e-01 @27 *
epoch   28 | train 7.621948e-01 | val 8.388105e-01 |   1.362 s | best 8.388105e-01 @28 *
epoch   29 | train 7.613495e-01 | val 8.328280e-01 |   1.364 s | best 8.328280e-01 @29 *
epoch   30 | train 7.566311e-01 | val 8.270913e-01 |   1.368 s | best 8.270913e-01 @30 *
epoch   31 | train 7.567617e-01 | val 8.216916e-01 |   1.364 s | best 8.216916e-01 @31 *
epoch   32 | train 7.588320e-01 | val 8.165891e-01 |   1.368 s | best 8.165891e-01 @32 *
epoch   33 | train 7.570747e-01 | val 8.118218e-01 |   1.369 s | best 8.118218e-01 @33 *
epoch   34 | train 7.578637e-01 | val 8.074730e-01 |   1.368 s | best 8.074730e-01 @34 *
epoch   35 | train 7.578890e-01 | val 8.035392e-01 |   1.370 s | best 8.035392e-01 @35 *
epoch   36 | train 7.574498e-01 | val 8.000216e-01 |   1.360 s | best 8.000216e-01 @36 *
epoch   37 | train 7.584077e-01 | val 7.967763e-01 |   1.364 s | best 7.967763e-01 @37 *
epoch   38 | train 7.537987e-01 | val 7.938870e-01 |   1.361 s | best 7.938870e-01 @38 *
epoch   39 | train 7.588931e-01 | val 7.913023e-01 |   1.364 s | best 7.913023e-01 @39 *
epoch   40 | train 7.589723e-01 | val 7.889927e-01 |   1.363 s | best 7.889927e-01 @40 *
epoch   41 | train 7.513259e-01 | val 7.868724e-01 |   1.360 s | best 7.868724e-01 @41 *
epoch   42 | train 7.605689e-01 | val 7.849852e-01 |   1.362 s | best 7.849852e-01 @42 *
epoch   43 | train 7.525887e-01 | val 7.832709e-01 |   1.364 s | best 7.832709e-01 @43 *
epoch   44 | train 7.523192e-01 | val 7.816976e-01 |   1.363 s | best 7.816976e-01 @44 *
epoch   45 | train 7.528133e-01 | val 7.802142e-01 |   1.364 s | best 7.802142e-01 @45 *
epoch   46 | train 7.517672e-01 | val 7.788084e-01 |   1.362 s | best 7.788084e-01 @46 *
epoch   47 | train 7.566044e-01 | val 7.774490e-01 |   1.367 s | best 7.774490e-01 @47 *
epoch   48 | train 7.497258e-01 | val 7.761329e-01 |   1.359 s | best 7.761329e-01 @48 *
epoch   49 | train 7.475628e-01 | val 7.748261e-01 |   1.364 s | best 7.748261e-01 @49 *
epoch   50 | train 7.541278e-01 | val 7.735087e-01 |   1.361 s | best 7.735087e-01 @50 *
epoch   51 | train 7.501367e-01 | val 7.721917e-01 |   1.360 s | best 7.721917e-01 @51 *
epoch   52 | train 7.512489e-01 | val 7.708714e-01 |   1.362 s | best 7.708714e-01 @52 *
epoch   53 | train 7.469012e-01 | val 7.695881e-01 |   1.362 s | best 7.695881e-01 @53 *
epoch   54 | train 7.487961e-01 | val 7.683164e-01 |   1.359 s | best 7.683164e-01 @54 *
epoch   55 | train 7.470424e-01 | val 7.670040e-01 |   1.369 s | best 7.670040e-01 @55 *
epoch   56 | train 7.452555e-01 | val 7.657307e-01 |   1.363 s | best 7.657307e-01 @56 *
epoch   57 | train 7.471750e-01 | val 7.644472e-01 |   1.360 s | best 7.644472e-01 @57 *
epoch   58 | train 7.502258e-01 | val 7.631772e-01 |   1.363 s | best 7.631772e-01 @58 *
epoch   59 | train 7.463012e-01 | val 7.618960e-01 |   1.352 s | best 7.618960e-01 @59 *
epoch   60 | train 7.503425e-01 | val 7.606837e-01 |   1.362 s | best 7.606837e-01 @60 *
epoch   61 | train 7.422335e-01 | val 7.595170e-01 |   1.360 s | best 7.595170e-01 @61 *
epoch   62 | train 7.470957e-01 | val 7.583932e-01 |   1.382 s | best 7.583932e-01 @62 *
epoch   63 | train 7.461927e-01 | val 7.572246e-01 |   1.355 s | best 7.572246e-01 @63 *
epoch   64 | train 7.486214e-01 | val 7.560943e-01 |   1.351 s | best 7.560943e-01 @64 *
epoch   65 | train 7.497421e-01 | val 7.550464e-01 |   1.354 s | best 7.550464e-01 @65 *
epoch   66 | train 7.494844e-01 | val 7.539705e-01 |   1.353 s | best 7.539705e-01 @66 *
epoch   67 | train 7.475918e-01 | val 7.529276e-01 |   1.346 s | best 7.529276e-01 @67 *
epoch   68 | train 7.478609e-01 | val 7.519242e-01 |   1.384 s | best 7.519242e-01 @68 *
epoch   69 | train 7.435548e-01 | val 7.509246e-01 |   1.400 s | best 7.509246e-01 @69 *
epoch   70 | train 7.467844e-01 | val 7.499609e-01 |   1.393 s | best 7.499609e-01 @70 *
epoch   71 | train 7.426725e-01 | val 7.490689e-01 |   1.398 s | best 7.490689e-01 @71 *
epoch   72 | train 7.454670e-01 | val 7.481870e-01 |   1.390 s | best 7.481870e-01 @72 *
epoch   73 | train 7.463002e-01 | val 7.473400e-01 |   0.900 s | best 7.473400e-01 @73 *
epoch   74 | train 7.452061e-01 | val 7.465346e-01 |   1.393 s | best 7.465346e-01 @74 *
epoch   75 | train 7.514594e-01 | val 7.457563e-01 |   1.397 s | best 7.457563e-01 @75 *
epoch   76 | train 7.439966e-01 | val 7.450275e-01 |   1.397 s | best 7.450275e-01 @76 *
epoch   77 | train 7.493561e-01 | val 7.443212e-01 |   1.393 s | best 7.443212e-01 @77 *
epoch   78 | train 7.455929e-01 | val 7.436212e-01 |   1.399 s | best 7.436212e-01 @78 *
epoch   79 | train 7.446937e-01 | val 7.429128e-01 |   1.432 s | best 7.429128e-01 @79 *
epoch   80 | train 7.442517e-01 | val 7.422652e-01 |   1.374 s | best 7.422652e-01 @80 *
epoch   81 | train 7.467727e-01 | val 7.416631e-01 |   0.906 s | best 7.416631e-01 @81 *
epoch   82 | train 7.464482e-01 | val 7.410805e-01 |   0.462 s | best 7.410805e-01 @82 *
epoch   83 | train 7.396402e-01 | val 7.404984e-01 |   0.466 s | best 7.404984e-01 @83 *
epoch   84 | train 7.410130e-01 | val 7.399624e-01 |   0.541 s | best 7.399624e-01 @84 *
epoch   85 | train 7.424213e-01 | val 7.394533e-01 |   1.411 s | best 7.394533e-01 @85 *
epoch   86 | train 7.437518e-01 | val 7.389378e-01 |   1.439 s | best 7.389378e-01 @86 *
epoch   87 | train 7.415422e-01 | val 7.384745e-01 |   1.420 s | best 7.384745e-01 @87 *
epoch   88 | train 7.405216e-01 | val 7.380127e-01 |   1.296 s | best 7.380127e-01 @88 *
epoch   89 | train 7.417380e-01 | val 7.375727e-01 |   1.395 s | best 7.375727e-01 @89 *
epoch   90 | train 7.397879e-01 | val 7.371658e-01 |   1.431 s | best 7.371658e-01 @90 *
epoch   91 | train 7.468228e-01 | val 7.367696e-01 |   1.429 s | best 7.367696e-01 @91 *
epoch   92 | train 7.396663e-01 | val 7.363870e-01 |   1.440 s | best 7.363870e-01 @92 *
epoch   93 | train 7.403526e-01 | val 7.360002e-01 |   1.001 s | best 7.360002e-01 @93 *
epoch   94 | train 7.449356e-01 | val 7.356432e-01 |   1.333 s | best 7.356432e-01 @94 *
epoch   95 | train 7.452533e-01 | val 7.353104e-01 |   1.372 s | best 7.353104e-01 @95 *
epoch   96 | train 7.374244e-01 | val 7.349836e-01 |   1.353 s | best 7.349836e-01 @96 *
epoch   97 | train 7.407478e-01 | val 7.346779e-01 |   1.355 s | best 7.346779e-01 @97 *
epoch   98 | train 7.426058e-01 | val 7.343851e-01 |   1.359 s | best 7.343851e-01 @98 *
epoch   99 | train 7.427145e-01 | val 7.341149e-01 |   1.352 s | best 7.341149e-01 @99 *
epoch  100 | train 7.414567e-01 | val 7.338495e-01 |   1.355 s | best 7.338495e-01 @100 *
epoch  101 | train 7.389865e-01 | val 7.335884e-01 |   1.354 s | best 7.335884e-01 @101 *
epoch  102 | train 7.416246e-01 | val 7.333387e-01 |   1.356 s | best 7.333387e-01 @102 *
epoch  103 | train 7.404676e-01 | val 7.331064e-01 |   1.262 s | best 7.331064e-01 @103 *
epoch  104 | train 7.449560e-01 | val 7.328790e-01 |   1.383 s | best 7.328790e-01 @104 *
epoch  105 | train 7.374663e-01 | val 7.326552e-01 |   1.380 s | best 7.326552e-01 @105 *
epoch  106 | train 7.451642e-01 | val 7.324581e-01 |   1.383 s | best 7.324581e-01 @106 *
epoch  107 | train 7.427677e-01 | val 7.322719e-01 |   1.383 s | best 7.322719e-01 @107 *
epoch  108 | train 7.426224e-01 | val 7.320884e-01 |   1.381 s | best 7.320884e-01 @108 *
epoch  109 | train 7.372967e-01 | val 7.319183e-01 |   1.383 s | best 7.319183e-01 @109 *
epoch  110 | train 7.413749e-01 | val 7.317506e-01 |   1.390 s | best 7.317506e-01 @110 *
epoch  111 | train 7.385803e-01 | val 7.315813e-01 |   1.391 s | best 7.315813e-01 @111 *
epoch  112 | train 7.393195e-01 | val 7.314148e-01 |   1.385 s | best 7.314148e-01 @112 *
epoch  113 | train 7.446698e-01 | val 7.312547e-01 |   1.254 s | best 7.312547e-01 @113 *
epoch  114 | train 7.450839e-01 | val 7.310952e-01 |   1.346 s | best 7.310952e-01 @114 *
epoch  115 | train 7.468964e-01 | val 7.309512e-01 |   1.345 s | best 7.309512e-01 @115 *
epoch  116 | train 7.430306e-01 | val 7.307967e-01 |   1.343 s | best 7.307967e-01 @116 *
epoch  117 | train 7.430477e-01 | val 7.306530e-01 |   1.346 s | best 7.306530e-01 @117 *
epoch  118 | train 7.393011e-01 | val 7.305237e-01 |   1.345 s | best 7.305237e-01 @118 *
epoch  119 | train 7.413458e-01 | val 7.303925e-01 |   1.346 s | best 7.303925e-01 @119 *
epoch  120 | train 7.429955e-01 | val 7.302847e-01 |   1.342 s | best 7.302847e-01 @120 *
epoch  121 | train 7.427820e-01 | val 7.301630e-01 |   1.338 s | best 7.301630e-01 @121 *
epoch  122 | train 7.442749e-01 | val 7.300608e-01 |   1.342 s | best 7.300608e-01 @122 *
epoch  123 | train 7.417648e-01 | val 7.299482e-01 |   1.342 s | best 7.299482e-01 @123 *
epoch  124 | train 7.351584e-01 | val 7.298573e-01 |   1.342 s | best 7.298573e-01 @124 *
epoch  125 | train 7.429146e-01 | val 7.297567e-01 |   1.344 s | best 7.297567e-01 @125 *
epoch  126 | train 7.382303e-01 | val 7.296635e-01 |   1.337 s | best 7.296635e-01 @126 *
epoch  127 | train 7.339373e-01 | val 7.295790e-01 |   1.341 s | best 7.295790e-01 @127 *
epoch  128 | train 7.372275e-01 | val 7.294983e-01 |   1.341 s | best 7.294983e-01 @128 *
epoch  129 | train 7.418363e-01 | val 7.294173e-01 |   1.344 s | best 7.294173e-01 @129 *
epoch  130 | train 7.421915e-01 | val 7.293415e-01 |   1.341 s | best 7.293415e-01 @130 *
epoch  131 | train 7.432264e-01 | val 7.292625e-01 |   1.337 s | best 7.292625e-01 @131 *
epoch  132 | train 7.379188e-01 | val 7.292073e-01 |   1.344 s | best 7.292073e-01 @132 *
epoch  133 | train 7.422406e-01 | val 7.291471e-01 |   1.342 s | best 7.291471e-01 @133 *
epoch  134 | train 7.434887e-01 | val 7.291071e-01 |   1.337 s | best 7.291071e-01 @134 *
epoch  135 | train 7.376089e-01 | val 7.290646e-01 |   1.343 s | best 7.290646e-01 @135 *
epoch  136 | train 7.396009e-01 | val 7.290192e-01 |   1.339 s | best 7.290192e-01 @136 *
epoch  137 | train 7.358569e-01 | val 7.289640e-01 |   1.340 s | best 7.289640e-01 @137 *
epoch  138 | train 7.379322e-01 | val 7.289179e-01 |   1.377 s | best 7.289179e-01 @138 *
epoch  139 | train 7.388380e-01 | val 7.288752e-01 |   1.412 s | best 7.288752e-01 @139 *
epoch  140 | train 7.413304e-01 | val 7.288417e-01 |   1.380 s | best 7.288417e-01 @140 *
epoch  141 | train 7.426706e-01 | val 7.287965e-01 |   1.383 s | best 7.287965e-01 @141 *
epoch  142 | train 7.364765e-01 | val 7.287686e-01 |   1.382 s | best 7.287686e-01 @142 *
epoch  143 | train 7.418441e-01 | val 7.287337e-01 |   1.383 s | best 7.287337e-01 @143 *
epoch  144 | train 7.385904e-01 | val 7.287003e-01 |   1.382 s | best 7.287003e-01 @144 *
epoch  145 | train 7.387894e-01 | val 7.286552e-01 |   1.384 s | best 7.286552e-01 @145 *
epoch  146 | train 7.388833e-01 | val 7.286239e-01 |   1.382 s | best 7.286239e-01 @146 *
epoch  147 | train 7.440461e-01 | val 7.286072e-01 |   1.379 s | best 7.286072e-01 @147 *
epoch  148 | train 7.406980e-01 | val 7.285861e-01 |   1.382 s | best 7.285861e-01 @148 *
epoch  149 | train 7.426655e-01 | val 7.285665e-01 |   1.382 s | best 7.285665e-01 @149 *
epoch  150 | train 7.390489e-01 | val 7.285496e-01 |   1.379 s | best 7.285496e-01 @150 *
epoch  151 | train 7.368506e-01 | val 7.285405e-01 |   1.381 s | best 7.285405e-01 @151 *
epoch  152 | train 7.376347e-01 | val 7.285333e-01 |   1.386 s | best 7.285333e-01 @152 *
epoch  153 | train 7.432407e-01 | val 7.285292e-01 |   1.380 s | best 7.285292e-01 @153 *
epoch  154 | train 7.382200e-01 | val 7.285172e-01 |   1.383 s | best 7.285172e-01 @154 *
epoch  155 | train 7.434504e-01 | val 7.285005e-01 |   1.383 s | best 7.285005e-01 @155 *
epoch  156 | train 7.404281e-01 | val 7.285153e-01 |   1.397 s | best 7.285005e-01 @155
epoch  157 | train 7.401769e-01 | val 7.285095e-01 |   0.928 s | best 7.285005e-01 @155
epoch  158 | train 7.452328e-01 | val 7.285050e-01 |   1.358 s | best 7.285005e-01 @155
epoch  159 | train 7.411754e-01 | val 7.285058e-01 |   1.358 s | best 7.285005e-01 @155
epoch  160 | train 7.347130e-01 | val 7.285052e-01 |   1.356 s | best 7.285005e-01 @155
epoch  161 | train 7.403147e-01 | val 7.285015e-01 |   1.357 s | best 7.285005e-01 @155
epoch  162 | train 7.400944e-01 | val 7.285107e-01 |   1.358 s | best 7.285005e-01 @155
epoch  163 | train 7.424737e-01 | val 7.285221e-01 |   1.354 s | best 7.285005e-01 @155
epoch  164 | train 7.395719e-01 | val 7.285206e-01 |   1.355 s | best 7.285005e-01 @155
epoch  165 | train 7.394640e-01 | val 7.285286e-01 |   1.344 s | best 7.285005e-01 @155
epoch  166 | train 7.366118e-01 | val 7.285286e-01 |   1.338 s | best 7.285005e-01 @155
