
# ===== 2026-09-20 22:13:31 KST  HPO attempt 422  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'mlp', 'param': 'vp', 'domain': 'angle', 'lr': 0.003297308117482656, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 128, 'depth': 5}  params=231104
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.226134e-01 | val 9.879400e-01 |   0.291 s | best 9.879400e-01 @1 *
epoch    2 | train 8.403264e-01 | val 9.831803e-01 |   0.316 s | best 9.831803e-01 @2 *
epoch    3 | train 8.272887e-01 | val 9.777674e-01 |   0.334 s | best 9.777674e-01 @3 *
epoch    4 | train 8.220338e-01 | val 9.720600e-01 |   0.335 s | best 9.720600e-01 @4 *
epoch    5 | train 8.251585e-01 | val 9.661841e-01 |   0.336 s | best 9.661841e-01 @5 *
epoch    6 | train 8.270189e-01 | val 9.601961e-01 |   0.336 s | best 9.601961e-01 @6 *
epoch    7 | train 8.192048e-01 | val 9.541429e-01 |   0.340 s | best 9.541429e-01 @7 *
epoch    8 | train 8.151008e-01 | val 9.480338e-01 |   0.340 s | best 9.480338e-01 @8 *
epoch    9 | train 8.198896e-01 | val 9.419571e-01 |   0.337 s | best 9.419571e-01 @9 *
epoch   10 | train 8.156447e-01 | val 9.359543e-01 |   0.339 s | best 9.359543e-01 @10 *
epoch   11 | train 8.153310e-01 | val 9.300295e-01 |   0.340 s | best 9.300295e-01 @11 *
epoch   12 | train 8.141626e-01 | val 9.242035e-01 |   0.339 s | best 9.242035e-01 @12 *
epoch   13 | train 8.131708e-01 | val 9.184948e-01 |   0.339 s | best 9.184948e-01 @13 *
epoch   14 | train 8.109662e-01 | val 9.129163e-01 |   0.335 s | best 9.129163e-01 @14 *
epoch   15 | train 8.105962e-01 | val 9.075212e-01 |   0.338 s | best 9.075212e-01 @15 *
epoch   16 | train 8.099615e-01 | val 9.022791e-01 |   0.339 s | best 9.022791e-01 @16 *
epoch   17 | train 8.107787e-01 | val 8.971932e-01 |   0.339 s | best 8.971932e-01 @17 *
epoch   18 | train 8.143207e-01 | val 8.923013e-01 |   0.339 s | best 8.923013e-01 @18 *
epoch   19 | train 8.108619e-01 | val 8.876023e-01 |   0.338 s | best 8.876023e-01 @19 *
epoch   20 | train 8.116952e-01 | val 8.830414e-01 |   0.336 s | best 8.830414e-01 @20 *
