
# ===== 2026-09-20 22:50:05 KST  HPO attempt 461  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'adm', 'param': 've', 'domain': 'pixel', 'lr': 0.0038157080154266635, 'ema': 0.9995, 'batch': 256, 'emb': 256, 'width': 96, 'depth': 2, 'heads': 2, 'attn_at': 8}  params=11317346
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 1.074622e+00 | val 9.810130e-01 |   1.624 s | best 9.810130e-01 @1 *
epoch    2 | train 1.021027e+00 | val 9.711424e-01 |   1.439 s | best 9.711424e-01 @2 *
epoch    3 | train 1.000243e+00 | val 9.685686e-01 |   1.428 s | best 9.685686e-01 @3 *
epoch    4 | train 1.002009e+00 | val 9.734446e-01 |   1.450 s | best 9.685686e-01 @3
epoch    5 | train 1.002318e+00 | val 9.798896e-01 |   1.516 s | best 9.685686e-01 @3
epoch    6 | train 1.000356e+00 | val 9.843231e-01 |   1.452 s | best 9.685686e-01 @3
epoch    7 | train 1.002880e+00 | val 9.869468e-01 |   1.464 s | best 9.685686e-01 @3
epoch    8 | train 1.000634e+00 | val 9.884766e-01 |   1.461 s | best 9.685686e-01 @3
epoch    9 | train 9.998010e-01 | val 9.893857e-01 |   1.458 s | best 9.685686e-01 @3
epoch   10 | train 1.001557e+00 | val 9.899366e-01 |   1.461 s | best 9.685686e-01 @3
epoch   11 | train 1.001637e+00 | val 9.902760e-01 |   1.460 s | best 9.685686e-01 @3
epoch   12 | train 1.000196e+00 | val 9.904914e-01 |   1.462 s | best 9.685686e-01 @3
epoch   13 | train 9.982995e-01 | val 9.906272e-01 |   1.451 s | best 9.685686e-01 @3
epoch   14 | train 1.001958e+00 | val 9.907164e-01 |   1.458 s | best 9.685686e-01 @3
epoch   15 | train 9.975226e-01 | val 9.907708e-01 |   1.468 s | best 9.685686e-01 @3
epoch   16 | train 1.001625e+00 | val 9.908047e-01 |   1.446 s | best 9.685686e-01 @3
epoch   17 | train 9.990718e-01 | val 9.908242e-01 |   1.469 s | best 9.685686e-01 @3
epoch   18 | train 9.983614e-01 | val 9.908370e-01 |   1.504 s | best 9.685686e-01 @3
# done        : 18 epochs, stopped_by=patience, aborted=False, best val 9.685686e-01 @ epoch 3, wall 33.5 s, 1.860 s/epoch
