
# ===== 2026-09-20 22:51:56 KST  HPO attempt 463  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'uvit', 'param': 've', 'domain': 'pixel', 'lr': 0.0036660378745879967, 'ema': 0.99, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=397864
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 8.920421e-01 | val 9.501728e-01 |   1.134 s | best 9.501728e-01 @1 *
epoch    2 | train 7.970846e-01 | val 8.815809e-01 |   1.326 s | best 8.815809e-01 @2 *
epoch    3 | train 7.936091e-01 | val 8.386640e-01 |   1.303 s | best 8.386640e-01 @3 *
epoch    4 | train 7.831301e-01 | val 8.113164e-01 |   1.297 s | best 8.113164e-01 @4 *
epoch    5 | train 7.930117e-01 | val 7.959520e-01 |   1.302 s | best 7.959520e-01 @5 *
epoch    6 | train 7.902145e-01 | val 7.874075e-01 |   1.308 s | best 7.874075e-01 @6 *
epoch    7 | train 7.936784e-01 | val 7.828031e-01 |   1.311 s | best 7.828031e-01 @7 *
epoch    8 | train 7.950275e-01 | val 7.803496e-01 |   1.301 s | best 7.803496e-01 @8 *
epoch    9 | train 7.939102e-01 | val 7.788845e-01 |   1.297 s | best 7.788845e-01 @9 *
epoch   10 | train 7.863714e-01 | val 7.781209e-01 |   1.302 s | best 7.781209e-01 @10 *
epoch   11 | train 7.909793e-01 | val 7.776916e-01 |   1.299 s | best 7.776916e-01 @11 *
epoch   12 | train 7.913226e-01 | val 7.775294e-01 |   1.300 s | best 7.775294e-01 @12 *
epoch   13 | train 7.925216e-01 | val 7.773524e-01 |   1.295 s | best 7.773524e-01 @13 *
epoch   14 | train 7.861493e-01 | val 7.771976e-01 |   1.302 s | best 7.771976e-01 @14 *
epoch   15 | train 7.938009e-01 | val 7.771343e-01 |   1.303 s | best 7.771343e-01 @15 *
epoch   16 | train 7.912029e-01 | val 7.770273e-01 |   1.302 s | best 7.770273e-01 @16 *
epoch   17 | train 7.913263e-01 | val 7.769261e-01 |   1.297 s | best 7.769261e-01 @17 *
epoch   18 | train 7.927082e-01 | val 7.769163e-01 |   1.320 s | best 7.769163e-01 @18 *
epoch   19 | train 7.944966e-01 | val 7.768713e-01 |   1.325 s | best 7.768713e-01 @19 *
epoch   20 | train 7.871805e-01 | val 7.768456e-01 |   1.302 s | best 7.768456e-01 @20 *
epoch   21 | train 7.880410e-01 | val 7.768556e-01 |   1.301 s | best 7.768456e-01 @20
epoch   22 | train 7.911131e-01 | val 7.767780e-01 |   1.297 s | best 7.767780e-01 @22 *
epoch   23 | train 7.926303e-01 | val 7.767639e-01 |   1.302 s | best 7.767639e-01 @23 *
epoch   24 | train 7.921923e-01 | val 7.767526e-01 |   1.302 s | best 7.767526e-01 @24 *
epoch   25 | train 7.852742e-01 | val 7.767199e-01 |   1.301 s | best 7.767199e-01 @25 *
epoch   26 | train 7.886452e-01 | val 7.766259e-01 |   1.303 s | best 7.766259e-01 @26 *
epoch   27 | train 7.882633e-01 | val 7.766393e-01 |   1.298 s | best 7.766259e-01 @26
epoch   28 | train 7.934828e-01 | val 7.765964e-01 |   1.304 s | best 7.765964e-01 @28 *
epoch   29 | train 7.880754e-01 | val 7.765480e-01 |   1.302 s | best 7.765480e-01 @29 *
epoch   30 | train 7.946796e-01 | val 7.765896e-01 |   1.303 s | best 7.765480e-01 @29
epoch   31 | train 7.902920e-01 | val 7.765782e-01 |   1.297 s | best 7.765480e-01 @29
epoch   32 | train 7.893233e-01 | val 7.765768e-01 |   1.304 s | best 7.765480e-01 @29
epoch   33 | train 7.923503e-01 | val 7.764870e-01 |   1.303 s | best 7.764870e-01 @33 *
epoch   34 | train 7.899757e-01 | val 7.764258e-01 |   1.301 s | best 7.764258e-01 @34 *
epoch   35 | train 7.957146e-01 | val 7.765062e-01 |   1.303 s | best 7.764258e-01 @34
epoch   36 | train 7.904823e-01 | val 7.765257e-01 |   1.295 s | best 7.764258e-01 @34
epoch   37 | train 7.913878e-01 | val 7.764908e-01 |   1.302 s | best 7.764258e-01 @34
epoch   38 | train 7.936272e-01 | val 7.764242e-01 |   1.304 s | best 7.764242e-01 @38 *
epoch   39 | train 7.897866e-01 | val 7.764318e-01 |   1.251 s | best 7.764242e-01 @38
epoch   40 | train 7.870358e-01 | val 7.763935e-01 |   1.299 s | best 7.763935e-01 @40 *
epoch   41 | train 7.879604e-01 | val 7.764210e-01 |   1.304 s | best 7.763935e-01 @40
epoch   42 | train 7.844655e-01 | val 7.764376e-01 |   1.303 s | best 7.763935e-01 @40
epoch   43 | train 7.872347e-01 | val 7.763680e-01 |   1.307 s | best 7.763680e-01 @43 *
