
# ===== 2026-09-20 23:06:50 KST  HPO attempt 477  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'conv', 'param': 'vp', 'domain': 'angle', 'lr': 0.0025052429620224773, 'ema': 0.99, 'batch': 256, 'emb': 256, 'width': 96, 'depth': 8}  params=1366178
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 2.541671e+00 | val 9.580185e-01 |   1.197 s | best 9.580185e-01 @1 *
epoch    2 | train 2.610720e+03 | val 9.386481e-01 |   1.226 s | best 9.386481e-01 @2 *
epoch    3 | train 1.059808e+03 | val 1.033921e+00 |   1.223 s | best 9.386481e-01 @2
epoch    4 | train 3.637564e+00 | val 1.531184e+00 |   1.224 s | best 9.386481e-01 @2
epoch    5 | train 1.466745e+00 | val 1.709961e+00 |   1.223 s | best 9.386481e-01 @2
epoch    6 | train 1.305893e+00 | val 5.107110e+00 |   1.223 s | best 9.386481e-01 @2
epoch    7 | train 1.257794e+00 | val 5.265275e+00 |   1.223 s | best 9.386481e-01 @2
epoch    8 | train 1.266808e+00 | val 3.695818e+00 |   1.225 s | best 9.386481e-01 @2
epoch    9 | train 1.193578e+00 | val 2.657092e+00 |   1.222 s | best 9.386481e-01 @2
epoch   10 | train 1.198807e+00 | val 1.998670e+00 |   1.223 s | best 9.386481e-01 @2
epoch   11 | train 1.174085e+00 | val 1.640393e+00 |   1.225 s | best 9.386481e-01 @2
epoch   12 | train 1.138539e+00 | val 1.404292e+00 |   1.223 s | best 9.386481e-01 @2
epoch   13 | train 1.146931e+00 | val 1.238296e+00 |   1.225 s | best 9.386481e-01 @2
epoch   14 | train 1.086385e+00 | val 1.138591e+00 |   1.227 s | best 9.386481e-01 @2
epoch   15 | train 1.146482e+00 | val 1.084153e+00 |   1.224 s | best 9.386481e-01 @2
epoch   16 | train 1.074125e+00 | val 1.052677e+00 |   1.225 s | best 9.386481e-01 @2
epoch   17 | train 1.131516e+00 | val 1.033627e+00 |   1.224 s | best 9.386481e-01 @2
# done        : 17 epochs, stopped_by=patience, aborted=False, best val 9.386481e-01 @ epoch 2, wall 22.4 s, 1.318 s/epoch
