
# ===== 2026-09-20 23:23:07 KST  HPO attempt 495  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'unet', 'param': 've', 'domain': 'angle', 'lr': 0.002774984272625358, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 128, 'depth': 7}  params=20096642
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 1.036520e+00 | val 9.861594e-01 |   2.278 s | best 9.861594e-01 @1 *
epoch    2 | train 1.001410e+00 | val 9.872426e-01 |   2.252 s | best 9.861594e-01 @1
epoch    3 | train 1.003694e+00 | val 9.838130e-01 |   2.290 s | best 9.838130e-01 @3 *
epoch    4 | train 1.002561e+00 | val 9.880949e-01 |   2.298 s | best 9.838130e-01 @3
epoch    5 | train 1.001965e+00 | val 9.897645e-01 |   2.269 s | best 9.838130e-01 @3
epoch    6 | train 1.005842e+00 | val 9.907063e-01 |   2.270 s | best 9.838130e-01 @3
epoch    7 | train 9.997311e-01 | val 9.913477e-01 |   2.250 s | best 9.838130e-01 @3
epoch    8 | train 1.002203e+00 | val 9.917669e-01 |   2.350 s | best 9.838130e-01 @3
epoch    9 | train 9.981798e-01 | val 9.921051e-01 |   2.335 s | best 9.838130e-01 @3
epoch   10 | train 9.968739e-01 | val 9.924088e-01 |   2.296 s | best 9.838130e-01 @3
epoch   11 | train 9.957476e-01 | val 9.926594e-01 |   2.340 s | best 9.838130e-01 @3
epoch   12 | train 9.953987e-01 | val 9.928575e-01 |   2.334 s | best 9.838130e-01 @3
epoch   13 | train 9.966816e-01 | val 9.929502e-01 |   2.308 s | best 9.838130e-01 @3
epoch   14 | train 9.925279e-01 | val 9.930756e-01 |   2.341 s | best 9.838130e-01 @3
epoch   15 | train 9.961392e-01 | val 9.931727e-01 |   2.312 s | best 9.838130e-01 @3
epoch   16 | train 9.923253e-01 | val 9.931331e-01 |   2.329 s | best 9.838130e-01 @3
epoch   17 | train 9.895965e-01 | val 9.930307e-01 |   2.348 s | best 9.838130e-01 @3
epoch   18 | train 9.791046e-01 | val 9.929153e-01 |   2.316 s | best 9.838130e-01 @3
# done        : 18 epochs, stopped_by=patience, aborted=False, best val 9.838130e-01 @ epoch 3, wall 51.1 s, 2.838 s/epoch
