
# ===== 2026-09-20 23:29:08 KST  HPO attempt 505  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'adm', 'param': 'vp', 'domain': 'pixel', 'lr': 0.0034715285975408404, 'ema': 0.99, 'batch': 256, 'emb': 256, 'width': 128, 'depth': 2, 'heads': 2, 'attn_at': 8}  params=20066434
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 1.031944e+00 | val 9.924884e-01 |   1.509 s | best 9.924884e-01 @1 *
epoch    2 | train 9.996149e-01 | val 9.919584e-01 |   1.453 s | best 9.919584e-01 @2 *
epoch    3 | train 9.992177e-01 | val 9.912828e-01 |   1.465 s | best 9.912828e-01 @3 *
epoch    4 | train 1.000281e+00 | val 9.908942e-01 |   1.464 s | best 9.908942e-01 @4 *
epoch    5 | train 1.004357e+00 | val 9.907686e-01 |   1.469 s | best 9.907686e-01 @5 *
epoch    6 | train 1.000689e+00 | val 9.907354e-01 |   1.465 s | best 9.907354e-01 @6 *
epoch    7 | train 1.002672e+00 | val 9.907231e-01 |   1.467 s | best 9.907231e-01 @7 *
epoch    8 | train 1.001928e+00 | val 9.907300e-01 |   1.461 s | best 9.907231e-01 @7
epoch    9 | train 1.000446e+00 | val 9.906784e-01 |   1.469 s | best 9.906784e-01 @9 *
epoch   10 | train 1.001458e+00 | val 9.906068e-01 |   1.469 s | best 9.906068e-01 @10 *
epoch   11 | train 1.000470e+00 | val 9.905550e-01 |   1.465 s | best 9.905550e-01 @11 *
epoch   12 | train 1.001881e+00 | val 9.905310e-01 |   1.472 s | best 9.905310e-01 @12 *
epoch   13 | train 9.955130e-01 | val 9.905064e-01 |   1.463 s | best 9.905064e-01 @13 *
epoch   14 | train 1.001082e+00 | val 9.904253e-01 |   1.467 s | best 9.904253e-01 @14 *
epoch   15 | train 9.994664e-01 | val 9.903800e-01 |   1.465 s | best 9.903800e-01 @15 *
epoch   16 | train 9.996234e-01 | val 9.903118e-01 |   1.462 s | best 9.903118e-01 @16 *
epoch   17 | train 1.003743e+00 | val 9.902569e-01 |   1.459 s | best 9.902569e-01 @17 *
epoch   18 | train 9.996115e-01 | val 9.902073e-01 |   1.464 s | best 9.902073e-01 @18 *
