
# ===== 2026-09-20 23:34:15 KST  HPO attempt 512  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 've', 'domain': 'pixel', 'lr': 0.0024431655616523437, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 8.866101e-01 | val 9.823955e-01 |   0.810 s | best 9.823955e-01 @1 *
epoch    2 | train 8.588235e-01 | val 9.723818e-01 |   1.315 s | best 9.723818e-01 @2 *
epoch    3 | train 8.614210e-01 | val 9.628288e-01 |   1.297 s | best 9.628288e-01 @3 *
epoch    4 | train 8.635851e-01 | val 9.536904e-01 |   1.308 s | best 9.536904e-01 @4 *
epoch    5 | train 8.608889e-01 | val 9.452236e-01 |   1.310 s | best 9.452236e-01 @5 *
epoch    6 | train 8.557566e-01 | val 9.373958e-01 |   1.298 s | best 9.373958e-01 @6 *
epoch    7 | train 8.582045e-01 | val 9.301481e-01 |   1.310 s | best 9.301481e-01 @7 *
epoch    8 | train 8.575774e-01 | val 9.233813e-01 |   1.305 s | best 9.233813e-01 @8 *
epoch    9 | train 8.569050e-01 | val 9.170601e-01 |   1.297 s | best 9.170601e-01 @9 *
epoch   10 | train 8.589557e-01 | val 9.111899e-01 |   1.313 s | best 9.111899e-01 @10 *
epoch   11 | train 8.515345e-01 | val 9.057304e-01 |   1.298 s | best 9.057304e-01 @11 *
epoch   12 | train 8.564668e-01 | val 9.006175e-01 |   1.297 s | best 9.006175e-01 @12 *
epoch   13 | train 8.456249e-01 | val 8.959243e-01 |   1.322 s | best 8.959243e-01 @13 *
epoch   14 | train 8.443012e-01 | val 8.916594e-01 |   1.297 s | best 8.916594e-01 @14 *
epoch   15 | train 8.455351e-01 | val 8.878478e-01 |   1.306 s | best 8.878478e-01 @15 *
epoch   16 | train 8.411650e-01 | val 8.844265e-01 |   1.312 s | best 8.844265e-01 @16 *
epoch   17 | train 8.402866e-01 | val 8.813077e-01 |   1.299 s | best 8.813077e-01 @17 *
epoch   18 | train 8.362702e-01 | val 8.785008e-01 |   1.312 s | best 8.785008e-01 @18 *
epoch   19 | train 8.218512e-01 | val 8.759447e-01 |   1.303 s | best 8.759447e-01 @19 *
epoch   20 | train 8.147821e-01 | val 8.737826e-01 |   1.300 s | best 8.737826e-01 @20 *
epoch   21 | train 8.058857e-01 | val 8.721030e-01 |   1.314 s | best 8.721030e-01 @21 *
epoch   22 | train 8.013472e-01 | val 8.708020e-01 |   1.300 s | best 8.708020e-01 @22 *
