
# ===== 2026-09-21 01:02:25 KST  HPO attempt 595  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'mlp', 'param': 've', 'domain': 'angle', 'lr': 0.0020727881726689806, 'ema': 0.999, 'batch': 256, 'emb': 64, 'width': 384, 'depth': 2}  params=813760
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 8.925121e-01 | val 9.854768e-01 |   0.208 s | best 9.854768e-01 @1 *
epoch    2 | train 8.309144e-01 | val 9.778693e-01 |   0.193 s | best 9.778693e-01 @2 *
epoch    3 | train 8.201352e-01 | val 9.696549e-01 |   0.223 s | best 9.696549e-01 @3 *
epoch    4 | train 8.256693e-01 | val 9.613759e-01 |   0.233 s | best 9.613759e-01 @4 *
epoch    5 | train 8.205823e-01 | val 9.531762e-01 |   0.223 s | best 9.531762e-01 @5 *
epoch    6 | train 8.229496e-01 | val 9.450678e-01 |   0.213 s | best 9.450678e-01 @6 *
epoch    7 | train 8.210246e-01 | val 9.371507e-01 |   0.201 s | best 9.371507e-01 @7 *
epoch    8 | train 8.200181e-01 | val 9.295329e-01 |   0.220 s | best 9.295329e-01 @8 *
epoch    9 | train 8.199946e-01 | val 9.221971e-01 |   0.209 s | best 9.221971e-01 @9 *
epoch   10 | train 8.198837e-01 | val 9.151983e-01 |   0.202 s | best 9.151983e-01 @10 *
epoch   11 | train 8.135640e-01 | val 9.083370e-01 |   0.205 s | best 9.083370e-01 @11 *
epoch   12 | train 8.162362e-01 | val 9.017362e-01 |   0.201 s | best 9.017362e-01 @12 *
epoch   13 | train 8.127527e-01 | val 8.953009e-01 |   0.213 s | best 8.953009e-01 @13 *
epoch   14 | train 8.067897e-01 | val 8.891400e-01 |   0.221 s | best 8.891400e-01 @14 *
epoch   15 | train 8.066648e-01 | val 8.833167e-01 |   0.209 s | best 8.833167e-01 @15 *
epoch   16 | train 8.020612e-01 | val 8.778619e-01 |   0.204 s | best 8.778619e-01 @16 *
epoch   17 | train 8.035024e-01 | val 8.727100e-01 |   0.207 s | best 8.727100e-01 @17 *
epoch   18 | train 8.015857e-01 | val 8.678524e-01 |   0.205 s | best 8.678524e-01 @18 *
epoch   19 | train 8.040597e-01 | val 8.632774e-01 |   0.222 s | best 8.632774e-01 @19 *
epoch   20 | train 8.026227e-01 | val 8.590109e-01 |   0.211 s | best 8.590109e-01 @20 *
epoch   21 | train 8.044903e-01 | val 8.550633e-01 |   0.210 s | best 8.550633e-01 @21 *
epoch   22 | train 8.018531e-01 | val 8.513055e-01 |   0.216 s | best 8.513055e-01 @22 *
epoch   23 | train 8.009657e-01 | val 8.477968e-01 |   0.219 s | best 8.477968e-01 @23 *
epoch   24 | train 8.011193e-01 | val 8.445270e-01 |   0.219 s | best 8.445270e-01 @24 *
epoch   25 | train 8.015033e-01 | val 8.413743e-01 |   0.222 s | best 8.413743e-01 @25 *
epoch   26 | train 7.971119e-01 | val 8.384746e-01 |   0.220 s | best 8.384746e-01 @26 *
epoch   27 | train 7.961592e-01 | val 8.356317e-01 |   0.219 s | best 8.356317e-01 @27 *
epoch   28 | train 8.032081e-01 | val 8.330058e-01 |   0.219 s | best 8.330058e-01 @28 *
epoch   29 | train 7.980957e-01 | val 8.305071e-01 |   0.220 s | best 8.305071e-01 @29 *
epoch   30 | train 7.972367e-01 | val 8.281040e-01 |   0.219 s | best 8.281040e-01 @30 *
epoch   31 | train 7.947018e-01 | val 8.257831e-01 |   0.220 s | best 8.257831e-01 @31 *
epoch   32 | train 7.968667e-01 | val 8.235692e-01 |   0.220 s | best 8.235692e-01 @32 *
epoch   33 | train 7.992245e-01 | val 8.214585e-01 |   0.221 s | best 8.214585e-01 @33 *
epoch   34 | train 7.935094e-01 | val 8.194109e-01 |   0.219 s | best 8.194109e-01 @34 *
epoch   35 | train 7.962919e-01 | val 8.174723e-01 |   0.218 s | best 8.174723e-01 @35 *
epoch   36 | train 7.974379e-01 | val 8.156033e-01 |   0.219 s | best 8.156033e-01 @36 *
epoch   37 | train 7.920836e-01 | val 8.137961e-01 |   0.219 s | best 8.137961e-01 @37 *
epoch   38 | train 7.983519e-01 | val 8.120552e-01 |   0.220 s | best 8.120552e-01 @38 *
epoch   39 | train 7.916823e-01 | val 8.104174e-01 |   0.219 s | best 8.104174e-01 @39 *
epoch   40 | train 7.911734e-01 | val 8.088329e-01 |   0.218 s | best 8.088329e-01 @40 *
epoch   41 | train 7.945338e-01 | val 8.072901e-01 |   0.220 s | best 8.072901e-01 @41 *
epoch   42 | train 7.954004e-01 | val 8.058363e-01 |   0.220 s | best 8.058363e-01 @42 *
epoch   43 | train 7.962459e-01 | val 8.044478e-01 |   0.219 s | best 8.044478e-01 @43 *
epoch   44 | train 7.929972e-01 | val 8.030730e-01 |   0.219 s | best 8.030730e-01 @44 *
epoch   45 | train 7.993301e-01 | val 8.017183e-01 |   0.222 s | best 8.017183e-01 @45 *
epoch   46 | train 7.946959e-01 | val 8.004640e-01 |   0.221 s | best 8.004640e-01 @46 *
epoch   47 | train 7.969616e-01 | val 7.992351e-01 |   0.219 s | best 7.992351e-01 @47 *
epoch   48 | train 7.987221e-01 | val 7.980463e-01 |   0.217 s | best 7.980463e-01 @48 *
epoch   49 | train 7.980833e-01 | val 7.968801e-01 |   0.219 s | best 7.968801e-01 @49 *
epoch   50 | train 7.964286e-01 | val 7.958121e-01 |   0.220 s | best 7.958121e-01 @50 *
epoch   51 | train 7.943865e-01 | val 7.947592e-01 |   0.219 s | best 7.947592e-01 @51 *
epoch   52 | train 7.931793e-01 | val 7.937395e-01 |   0.219 s | best 7.937395e-01 @52 *
epoch   53 | train 7.908823e-01 | val 7.927259e-01 |   0.218 s | best 7.927259e-01 @53 *
epoch   54 | train 7.966524e-01 | val 7.917135e-01 |   0.219 s | best 7.917135e-01 @54 *
epoch   55 | train 7.939536e-01 | val 7.908071e-01 |   0.219 s | best 7.908071e-01 @55 *
