
# ===== 2026-09-21 01:07:19 KST  HPO attempt 603  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'adm', 'param': 've', 'domain': 'angle', 'lr': 0.0027430510721438493, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 48, 'depth': 7, 'heads': 4, 'attn_at': 8}  params=3386930
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 1.003879e+00 | val 9.825355e-01 |   3.013 s | best 9.825355e-01 @1 *
epoch    2 | train 9.979962e-01 | val 9.765467e-01 |   2.933 s | best 9.765467e-01 @2 *
epoch    3 | train 1.003808e+00 | val 9.764897e-01 |   2.931 s | best 9.764897e-01 @3 *
epoch    4 | train 9.986892e-01 | val 9.818186e-01 |   2.933 s | best 9.764897e-01 @3
epoch    5 | train 1.001962e+00 | val 9.853038e-01 |   2.936 s | best 9.764897e-01 @3
epoch    6 | train 9.997748e-01 | val 9.878320e-01 |   2.934 s | best 9.764897e-01 @3
epoch    7 | train 9.978614e-01 | val 9.893056e-01 |   2.933 s | best 9.764897e-01 @3
epoch    8 | train 9.955215e-01 | val 9.900553e-01 |   2.930 s | best 9.764897e-01 @3
epoch    9 | train 9.944760e-01 | val 9.904130e-01 |   2.935 s | best 9.764897e-01 @3
epoch   10 | train 9.982824e-01 | val 9.905433e-01 |   2.934 s | best 9.764897e-01 @3
epoch   11 | train 9.930181e-01 | val 9.905927e-01 |   2.931 s | best 9.764897e-01 @3
epoch   12 | train 9.936375e-01 | val 9.906731e-01 |   2.931 s | best 9.764897e-01 @3
epoch   13 | train 9.892370e-01 | val 9.907051e-01 |   2.941 s | best 9.764897e-01 @3
epoch   14 | train 9.906997e-01 | val 9.906844e-01 |   2.936 s | best 9.764897e-01 @3
epoch   15 | train 9.916626e-01 | val 9.906402e-01 |   2.941 s | best 9.764897e-01 @3
epoch   16 | train 9.918016e-01 | val 9.905962e-01 |   2.964 s | best 9.764897e-01 @3
epoch   17 | train 9.944129e-01 | val 9.904605e-01 |   2.934 s | best 9.764897e-01 @3
epoch   18 | train 9.922943e-01 | val 9.903144e-01 |   2.927 s | best 9.764897e-01 @3
# done        : 18 epochs, stopped_by=patience, aborted=False, best val 9.764897e-01 @ epoch 3, wall 56.1 s, 3.119 s/epoch
