
# ===== 2026-09-21 01:18:52 KST  HPO attempt 619  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'adm', 'param': 'vp', 'domain': 'angle', 'lr': 0.0023017527937075188, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 96, 'depth': 6, 'heads': 2, 'attn_at': 8}  params=13423202
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 1.057199e+00 | val 9.799349e-01 |   2.961 s | best 9.799349e-01 @1 *
epoch    2 | train 1.003225e+00 | val 9.815295e-01 |   2.972 s | best 9.799349e-01 @1
epoch    3 | train 1.001121e+00 | val 9.873867e-01 |   3.095 s | best 9.799349e-01 @1
epoch    4 | train 1.000559e+00 | val 9.904720e-01 |   3.059 s | best 9.799349e-01 @1
epoch    5 | train 1.002634e+00 | val 9.910705e-01 |   3.052 s | best 9.799349e-01 @1
epoch    6 | train 1.001335e+00 | val 9.911549e-01 |   3.049 s | best 9.799349e-01 @1
epoch    7 | train 1.001202e+00 | val 9.911708e-01 |   3.058 s | best 9.799349e-01 @1
epoch    8 | train 1.005476e+00 | val 9.911440e-01 |   3.066 s | best 9.799349e-01 @1
epoch    9 | train 1.003019e+00 | val 9.910691e-01 |   3.058 s | best 9.799349e-01 @1
epoch   10 | train 1.003376e+00 | val 9.910303e-01 |   3.089 s | best 9.799349e-01 @1
epoch   11 | train 1.003674e+00 | val 9.909766e-01 |   3.060 s | best 9.799349e-01 @1
epoch   12 | train 1.001625e+00 | val 9.910501e-01 |   3.051 s | best 9.799349e-01 @1
epoch   13 | train 1.004239e+00 | val 9.917861e-01 |   2.979 s | best 9.799349e-01 @1
epoch   14 | train 1.005129e+00 | val 9.925916e-01 |   3.012 s | best 9.799349e-01 @1
epoch   15 | train 1.001488e+00 | val 9.923480e-01 |   2.984 s | best 9.799349e-01 @1
epoch   16 | train 1.000885e+00 | val 9.922141e-01 |   2.993 s | best 9.799349e-01 @1
# done        : 16 epochs, stopped_by=patience, aborted=False, best val 9.799349e-01 @ epoch 1, wall 54.9 s, 3.433 s/epoch
