
# ===== 2026-09-21 01:52:38 KST  HPO attempt 660  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'conv', 'param': 'vp', 'domain': 'angle', 'lr': 0.0031514379486035967, 'ema': 0.99, 'batch': 256, 'emb': 256, 'width': 48, 'depth': 6}  params=265874
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.118814e-01 | val 9.458659e-01 |   0.987 s | best 9.458659e-01 @1 *
epoch    2 | train 8.295443e-01 | val 9.164982e-01 |   1.011 s | best 9.164982e-01 @2 *
epoch    3 | train 7.847117e-01 | val 8.854486e-01 |   1.011 s | best 8.854486e-01 @3 *
epoch    4 | train 7.702086e-01 | val 8.463341e-01 |   1.011 s | best 8.463341e-01 @4 *
epoch    5 | train 7.655470e-01 | val 8.070075e-01 |   1.010 s | best 8.070075e-01 @5 *
epoch    6 | train 7.642241e-01 | val 7.773451e-01 |   1.010 s | best 7.773451e-01 @6 *
epoch    7 | train 7.583352e-01 | val 7.590359e-01 |   1.010 s | best 7.590359e-01 @7 *
epoch    8 | train 7.577836e-01 | val 7.483187e-01 |   1.010 s | best 7.483187e-01 @8 *
epoch    9 | train 7.530152e-01 | val 7.422512e-01 |   1.011 s | best 7.422512e-01 @9 *
epoch   10 | train 7.597035e-01 | val 7.386509e-01 |   1.011 s | best 7.386509e-01 @10 *
epoch   11 | train 7.565433e-01 | val 7.367480e-01 |   1.010 s | best 7.367480e-01 @11 *
epoch   12 | train 7.548564e-01 | val 7.355584e-01 |   1.012 s | best 7.355584e-01 @12 *
epoch   13 | train 7.544294e-01 | val 7.345296e-01 |   1.011 s | best 7.345296e-01 @13 *
epoch   14 | train 7.588080e-01 | val 7.339640e-01 |   1.010 s | best 7.339640e-01 @14 *
epoch   15 | train 7.584911e-01 | val 7.334052e-01 |   1.011 s | best 7.334052e-01 @15 *
epoch   16 | train 7.563880e-01 | val 7.330658e-01 |   1.010 s | best 7.330658e-01 @16 *
epoch   17 | train 7.543455e-01 | val 7.325916e-01 |   1.010 s | best 7.325916e-01 @17 *
epoch   18 | train 7.576472e-01 | val 7.321691e-01 |   1.011 s | best 7.321691e-01 @18 *
epoch   19 | train 7.553670e-01 | val 7.319586e-01 |   1.011 s | best 7.319586e-01 @19 *
epoch   20 | train 7.504694e-01 | val 7.317489e-01 |   1.012 s | best 7.317489e-01 @20 *
epoch   21 | train 7.552800e-01 | val 7.317164e-01 |   1.011 s | best 7.317164e-01 @21 *
epoch   22 | train 7.546304e-01 | val 7.317371e-01 |   1.015 s | best 7.317164e-01 @21
epoch   23 | train 7.495922e-01 | val 7.315763e-01 |   1.011 s | best 7.315763e-01 @23 *
epoch   24 | train 7.554363e-01 | val 7.315171e-01 |   1.015 s | best 7.315171e-01 @24 *
epoch   25 | train 7.540884e-01 | val 7.313429e-01 |   1.013 s | best 7.313429e-01 @25 *
epoch   26 | train 7.517076e-01 | val 7.312523e-01 |   1.011 s | best 7.312523e-01 @26 *
epoch   27 | train 7.518572e-01 | val 7.309757e-01 |   1.010 s | best 7.309757e-01 @27 *
epoch   28 | train 7.541765e-01 | val 7.309459e-01 |   1.011 s | best 7.309459e-01 @28 *
epoch   29 | train 7.489389e-01 | val 7.310054e-01 |   1.010 s | best 7.309459e-01 @28
epoch   30 | train 7.489365e-01 | val 7.308387e-01 |   1.011 s | best 7.308387e-01 @30 *
epoch   31 | train 7.539950e-01 | val 7.308567e-01 |   1.011 s | best 7.308387e-01 @30
epoch   32 | train 7.478111e-01 | val 7.306886e-01 |   1.012 s | best 7.306886e-01 @32 *
epoch   33 | train 7.511731e-01 | val 7.307379e-01 |   1.010 s | best 7.306886e-01 @32
epoch   34 | train 7.507305e-01 | val 7.306745e-01 |   1.011 s | best 7.306745e-01 @34 *
epoch   35 | train 7.482244e-01 | val 7.306033e-01 |   1.011 s | best 7.306033e-01 @35 *
epoch   36 | train 7.512273e-01 | val 7.305818e-01 |   1.011 s | best 7.305818e-01 @36 *
epoch   37 | train 7.477639e-01 | val 7.306353e-01 |   1.011 s | best 7.305818e-01 @36
epoch   38 | train 7.512376e-01 | val 7.306360e-01 |   1.013 s | best 7.305818e-01 @36
epoch   39 | train 7.538569e-01 | val 7.306985e-01 |   1.013 s | best 7.305818e-01 @36
epoch   40 | train 7.476730e-01 | val 7.306871e-01 |   1.012 s | best 7.305818e-01 @36
epoch   41 | train 7.520094e-01 | val 7.305888e-01 |   1.014 s | best 7.305818e-01 @36
epoch   42 | train 7.525311e-01 | val 7.306047e-01 |   1.012 s | best 7.305818e-01 @36
epoch   43 | train 7.500223e-01 | val 7.305624e-01 |   1.012 s | best 7.305624e-01 @43 *
epoch   44 | train 7.500274e-01 | val 7.306302e-01 |   1.013 s | best 7.305624e-01 @43
epoch   45 | train 7.519212e-01 | val 7.305208e-01 |   1.011 s | best 7.305208e-01 @45 *
epoch   46 | train 7.488771e-01 | val 7.305527e-01 |   1.016 s | best 7.305208e-01 @45
epoch   47 | train 7.537103e-01 | val 7.305354e-01 |   1.016 s | best 7.305208e-01 @45
epoch   48 | train 7.457782e-01 | val 7.304682e-01 |   1.018 s | best 7.304682e-01 @48 *
epoch   49 | train 7.463038e-01 | val 7.302335e-01 |   1.011 s | best 7.302335e-01 @49 *
epoch   50 | train 7.472790e-01 | val 7.301992e-01 |   1.016 s | best 7.301992e-01 @50 *
epoch   51 | train 7.479064e-01 | val 7.302477e-01 |   1.015 s | best 7.301992e-01 @50
epoch   52 | train 7.478087e-01 | val 7.302607e-01 |   1.013 s | best 7.301992e-01 @50
epoch   53 | train 7.506726e-01 | val 7.302842e-01 |   1.013 s | best 7.301992e-01 @50
epoch   54 | train 7.485502e-01 | val 7.303660e-01 |   1.013 s | best 7.301992e-01 @50
epoch   55 | train 7.515647e-01 | val 7.303314e-01 |   1.013 s | best 7.301992e-01 @50
epoch   56 | train 7.483199e-01 | val 7.304580e-01 |   1.011 s | best 7.301992e-01 @50
epoch   57 | train 7.462561e-01 | val 7.306072e-01 |   1.012 s | best 7.301992e-01 @50
epoch   58 | train 7.503813e-01 | val 7.308958e-01 |   1.013 s | best 7.301992e-01 @50
epoch   59 | train 7.469157e-01 | val 7.308767e-01 |   1.010 s | best 7.301992e-01 @50
