
# ===== 2026-09-21 02:08:33 KST  HPO attempt 676  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'adm', 'param': 'edm', 'domain': 'angle', 'lr': 0.001968529566635817, 'ema': 0.999, 'batch': 128, 'emb': 64, 'width': 48, 'depth': 6, 'heads': 2, 'attn_at': 8}  params=3350066
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 1.001468e+00 | val 9.905405e-01 |   5.421 s | best 9.905405e-01 @1 *
epoch    2 | train 1.001358e+00 | val 9.908793e-01 |   5.649 s | best 9.905405e-01 @1
epoch    3 | train 1.001838e+00 | val 9.908053e-01 |   5.701 s | best 9.905405e-01 @1
epoch    4 | train 1.004470e+00 | val 9.907834e-01 |   5.833 s | best 9.905405e-01 @1
epoch    5 | train 1.003242e+00 | val 9.907555e-01 |   5.835 s | best 9.905405e-01 @1
epoch    6 | train 1.002988e+00 | val 9.907158e-01 |   5.829 s | best 9.905405e-01 @1
epoch    7 | train 1.000185e+00 | val 9.957056e-01 |   5.833 s | best 9.905405e-01 @1
epoch    8 | train 1.001076e+00 | val 1.006838e+00 |   5.829 s | best 9.905405e-01 @1
epoch    9 | train 9.990817e-01 | val 1.011215e+00 |   5.778 s | best 9.905405e-01 @1
epoch   10 | train 9.996094e-01 | val 1.012372e+00 |   5.663 s | best 9.905405e-01 @1
epoch   11 | train 1.000542e+00 | val 1.000365e+00 |   5.624 s | best 9.905405e-01 @1
epoch   12 | train 1.000209e+00 | val 9.952565e-01 |   5.633 s | best 9.905405e-01 @1
epoch   13 | train 9.997748e-01 | val 9.906842e-01 |   5.626 s | best 9.905405e-01 @1
epoch   14 | train 9.972149e-01 | val 9.906020e-01 |   5.630 s | best 9.905405e-01 @1
epoch   15 | train 1.000464e+00 | val 9.905944e-01 |   5.629 s | best 9.905405e-01 @1
epoch   16 | train 9.992421e-01 | val 9.905854e-01 |   5.625 s | best 9.905405e-01 @1
# done        : 16 epochs, stopped_by=patience, aborted=False, best val 9.905405e-01 @ epoch 1, wall 94.0 s, 5.874 s/epoch
