
# ===== 2026-09-21 02:42:47 KST  HPO attempt 700  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'pixel', 'lr': 0.004160054701198903, 'ema': 0.999, 'batch': 256, 'emb': 128, 'width': 64, 'depth': 5, 'heads': 8, 'patch': 1}  params=396546
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 8.866284e-01 | val 9.820244e-01 |   0.923 s | best 9.820244e-01 @1 *
epoch    2 | train 8.643049e-01 | val 9.718503e-01 |   1.204 s | best 9.718503e-01 @2 *
epoch    3 | train 8.606381e-01 | val 9.618172e-01 |   1.190 s | best 9.618172e-01 @3 *
epoch    4 | train 8.606954e-01 | val 9.525358e-01 |   1.165 s | best 9.525358e-01 @4 *
epoch    5 | train 8.627235e-01 | val 9.439732e-01 |   1.166 s | best 9.439732e-01 @5 *
epoch    6 | train 8.649105e-01 | val 9.360920e-01 |   1.167 s | best 9.360920e-01 @6 *
epoch    7 | train 8.583395e-01 | val 9.289140e-01 |   1.168 s | best 9.289140e-01 @7 *
epoch    8 | train 8.592191e-01 | val 9.222940e-01 |   1.166 s | best 9.222940e-01 @8 *
epoch    9 | train 8.515336e-01 | val 9.163309e-01 |   1.165 s | best 9.163309e-01 @9 *
epoch   10 | train 8.505533e-01 | val 9.109286e-01 |   1.164 s | best 9.109286e-01 @10 *
epoch   11 | train 8.440339e-01 | val 9.058489e-01 |   1.164 s | best 9.058489e-01 @11 *
epoch   12 | train 8.429552e-01 | val 9.010197e-01 |   1.165 s | best 9.010197e-01 @12 *
epoch   13 | train 8.362098e-01 | val 8.965780e-01 |   1.164 s | best 8.965780e-01 @13 *
epoch   14 | train 8.239187e-01 | val 8.926425e-01 |   1.171 s | best 8.926425e-01 @14 *
epoch   15 | train 8.106153e-01 | val 8.891081e-01 |   1.168 s | best 8.891081e-01 @15 *
epoch   16 | train 8.043926e-01 | val 8.861398e-01 |   1.167 s | best 8.861398e-01 @16 *
epoch   17 | train 7.879943e-01 | val 8.838085e-01 |   1.167 s | best 8.838085e-01 @17 *
epoch   18 | train 7.851176e-01 | val 8.822547e-01 |   1.167 s | best 8.822547e-01 @18 *
epoch   19 | train 7.785859e-01 | val 8.815102e-01 |   1.167 s | best 8.815102e-01 @19 *
epoch   20 | train 7.821588e-01 | val 8.815365e-01 |   1.164 s | best 8.815102e-01 @19
epoch   21 | train 7.747933e-01 | val 8.823874e-01 |   1.165 s | best 8.815102e-01 @19
epoch   22 | train 7.754658e-01 | val 8.838403e-01 |   1.165 s | best 8.815102e-01 @19
epoch   23 | train 7.711011e-01 | val 8.859293e-01 |   1.165 s | best 8.815102e-01 @19
epoch   24 | train 7.771398e-01 | val 8.885407e-01 |   1.167 s | best 8.815102e-01 @19
epoch   25 | train 7.716949e-01 | val 8.915516e-01 |   1.165 s | best 8.815102e-01 @19
epoch   26 | train 7.692561e-01 | val 8.949720e-01 |   1.166 s | best 8.815102e-01 @19
epoch   27 | train 7.734554e-01 | val 8.985053e-01 |   1.167 s | best 8.815102e-01 @19
epoch   28 | train 7.716692e-01 | val 9.019582e-01 |   1.167 s | best 8.815102e-01 @19
epoch   29 | train 7.683160e-01 | val 9.052873e-01 |   1.166 s | best 8.815102e-01 @19
epoch   30 | train 7.679482e-01 | val 9.080278e-01 |   1.167 s | best 8.815102e-01 @19
epoch   31 | train 7.684632e-01 | val 9.102829e-01 |   1.167 s | best 8.815102e-01 @19
epoch   32 | train 7.708200e-01 | val 9.118777e-01 |   1.167 s | best 8.815102e-01 @19
epoch   33 | train 7.676496e-01 | val 9.126979e-01 |   1.165 s | best 8.815102e-01 @19
epoch   34 | train 7.668847e-01 | val 9.129146e-01 |   1.166 s | best 8.815102e-01 @19
# done        : 34 epochs, stopped_by=patience, aborted=False, best val 8.815102e-01 @ epoch 19, wall 41.5 s, 1.222 s/epoch
