
# ===== 2026-09-21 02:44:43 KST  HPO attempt 702  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'conv', 'param': 've', 'domain': 'angle', 'lr': 0.004362332065714124, 'ema': 0.999, 'batch': 256, 'emb': 128, 'width': 48, 'depth': 7}  params=301298
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 1.788266e+00 | val 9.830826e-01 |   1.079 s | best 9.830826e-01 @1 *
epoch    2 | train 7.770471e+02 | val 9.764065e-01 |   1.115 s | best 9.764065e-01 @2 *
epoch    3 | train 2.982298e+00 | val 9.713980e-01 |   1.106 s | best 9.713980e-01 @3 *
epoch    4 | train 1.360552e+00 | val 9.676840e-01 |   1.115 s | best 9.676840e-01 @4 *
epoch    5 | train 1.190610e+00 | val 9.651069e-01 |   1.108 s | best 9.651069e-01 @5 *
epoch    6 | train 1.122399e+00 | val 9.632363e-01 |   1.116 s | best 9.632363e-01 @6 *
epoch    7 | train 1.087980e+00 | val 9.612226e-01 |   1.105 s | best 9.612226e-01 @7 *
epoch    8 | train 1.066572e+00 | val 9.580520e-01 |   1.114 s | best 9.580520e-01 @8 *
epoch    9 | train 1.054235e+00 | val 9.533088e-01 |   1.108 s | best 9.533088e-01 @9 *
epoch   10 | train 1.031274e+00 | val 9.487493e-01 |   1.112 s | best 9.487493e-01 @10 *
epoch   11 | train 1.026689e+00 | val 9.500795e-01 |   1.113 s | best 9.487493e-01 @10
epoch   12 | train 1.012135e+00 | val 9.678894e-01 |   1.108 s | best 9.487493e-01 @10
epoch   13 | train 1.000287e+00 | val 1.016451e+00 |   1.115 s | best 9.487493e-01 @10
epoch   14 | train 1.003237e+00 | val 1.109859e+00 |   1.112 s | best 9.487493e-01 @10
epoch   15 | train 9.866558e-01 | val 1.257200e+00 |   1.116 s | best 9.487493e-01 @10
epoch   16 | train 9.831377e-01 | val 1.459430e+00 |   1.109 s | best 9.487493e-01 @10
epoch   17 | train 9.800656e-01 | val 1.706461e+00 |   1.116 s | best 9.487493e-01 @10
epoch   18 | train 9.766207e-01 | val 1.979436e+00 |   1.110 s | best 9.487493e-01 @10
epoch   19 | train 9.736212e-01 | val 2.255369e+00 |   1.116 s | best 9.487493e-01 @10
epoch   20 | train 9.750816e-01 | val 2.514694e+00 |   1.121 s | best 9.487493e-01 @10
epoch   21 | train 9.697249e-01 | val 2.740356e+00 |   1.116 s | best 9.487493e-01 @10
epoch   22 | train 9.644663e-01 | val 2.910089e+00 |   1.114 s | best 9.487493e-01 @10
epoch   23 | train 9.583805e-01 | val 3.018280e+00 |   1.114 s | best 9.487493e-01 @10
epoch   24 | train 9.637093e-01 | val 3.064342e+00 |   1.114 s | best 9.487493e-01 @10
epoch   25 | train 9.589321e-01 | val 3.051903e+00 |   1.117 s | best 9.487493e-01 @10
# done        : 25 epochs, stopped_by=patience, aborted=False, best val 9.487493e-01 @ epoch 10, wall 29.0 s, 1.162 s/epoch
