
# ===== 2026-09-21 04:08:39 KST  HPO attempt 11  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'unet', 'param': 've', 'domain': 'angle', 'lr': 0.00013614779969438163, 'ema': 0.9995, 'batch': 512, 'emb': 128, 'width': 48, 'depth': 6}  params=2838386
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.830969e-01 | val 9.905744e-01 |   0.806 s | best 9.905744e-01 @1 *
epoch    2 | train 9.327980e-01 | val 9.902248e-01 |   1.143 s | best 9.902248e-01 @2 *
epoch    3 | train 8.843791e-01 | val 9.896560e-01 |   1.122 s | best 9.896560e-01 @3 *
epoch    4 | train 8.401809e-01 | val 9.888866e-01 |   1.152 s | best 9.888866e-01 @4 *
epoch    5 | train 8.121968e-01 | val 9.879368e-01 |   1.122 s | best 9.879368e-01 @5 *
epoch    6 | train 7.950016e-01 | val 9.868346e-01 |   1.159 s | best 9.868346e-01 @6 *
epoch    7 | train 7.776556e-01 | val 9.856101e-01 |   1.191 s | best 9.856101e-01 @7 *
epoch    8 | train 7.754818e-01 | val 9.842796e-01 |   1.187 s | best 9.842796e-01 @8 *
epoch    9 | train 7.654347e-01 | val 9.828557e-01 |   1.188 s | best 9.828557e-01 @9 *
epoch   10 | train 7.666260e-01 | val 9.813521e-01 |   1.189 s | best 9.813521e-01 @10 *
epoch   11 | train 7.569722e-01 | val 9.797781e-01 |   1.180 s | best 9.797781e-01 @11 *
epoch   12 | train 7.561887e-01 | val 9.781359e-01 |   1.167 s | best 9.781359e-01 @12 *
epoch   13 | train 7.564571e-01 | val 9.764320e-01 |   1.153 s | best 9.764320e-01 @13 *
epoch   14 | train 7.573189e-01 | val 9.746685e-01 |   1.154 s | best 9.746685e-01 @14 *
epoch   15 | train 7.552760e-01 | val 9.728484e-01 |   1.149 s | best 9.728484e-01 @15 *
epoch   16 | train 7.553039e-01 | val 9.709739e-01 |   1.157 s | best 9.709739e-01 @16 *
epoch   17 | train 7.525609e-01 | val 9.690502e-01 |   1.151 s | best 9.690502e-01 @17 *
epoch   18 | train 7.561156e-01 | val 9.670768e-01 |   1.150 s | best 9.670768e-01 @18 *
epoch   19 | train 7.537898e-01 | val 9.650534e-01 |   1.149 s | best 9.650534e-01 @19 *
epoch   20 | train 7.532026e-01 | val 9.629830e-01 |   1.149 s | best 9.629830e-01 @20 *
epoch   21 | train 7.529771e-01 | val 9.608681e-01 |   1.153 s | best 9.608681e-01 @21 *
epoch   22 | train 7.533516e-01 | val 9.587113e-01 |   1.150 s | best 9.587113e-01 @22 *
epoch   23 | train 7.481851e-01 | val 9.565183e-01 |   1.148 s | best 9.565183e-01 @23 *
epoch   24 | train 7.474991e-01 | val 9.542849e-01 |   1.152 s | best 9.542849e-01 @24 *
epoch   25 | train 7.506658e-01 | val 9.520157e-01 |   1.156 s | best 9.520157e-01 @25 *
epoch   26 | train 7.482093e-01 | val 9.497099e-01 |   1.149 s | best 9.497099e-01 @26 *
epoch   27 | train 7.481151e-01 | val 9.473734e-01 |   1.152 s | best 9.473734e-01 @27 *
epoch   28 | train 7.493639e-01 | val 9.450034e-01 |   1.149 s | best 9.450034e-01 @28 *
epoch   29 | train 7.529276e-01 | val 9.426027e-01 |   1.152 s | best 9.426027e-01 @29 *
epoch   30 | train 7.399494e-01 | val 9.401702e-01 |   1.152 s | best 9.401702e-01 @30 *
epoch   31 | train 7.483451e-01 | val 9.377132e-01 |   1.147 s | best 9.377132e-01 @31 *
epoch   32 | train 7.457597e-01 | val 9.352285e-01 |   1.152 s | best 9.352285e-01 @32 *
epoch   33 | train 7.433302e-01 | val 9.327224e-01 |   1.151 s | best 9.327224e-01 @33 *
epoch   34 | train 7.460850e-01 | val 9.301958e-01 |   1.154 s | best 9.301958e-01 @34 *
epoch   35 | train 7.430459e-01 | val 9.276503e-01 |   1.151 s | best 9.276503e-01 @35 *
epoch   36 | train 7.482880e-01 | val 9.250827e-01 |   1.148 s | best 9.250827e-01 @36 *
epoch   37 | train 7.449618e-01 | val 9.224999e-01 |   1.152 s | best 9.224999e-01 @37 *
epoch   38 | train 7.405375e-01 | val 9.199020e-01 |   1.157 s | best 9.199020e-01 @38 *
epoch   39 | train 7.495237e-01 | val 9.172959e-01 |   1.147 s | best 9.172959e-01 @39 *
epoch   40 | train 7.464794e-01 | val 9.146814e-01 |   1.151 s | best 9.146814e-01 @40 *
epoch   41 | train 7.410506e-01 | val 9.120551e-01 |   1.150 s | best 9.120551e-01 @41 *
epoch   42 | train 7.399923e-01 | val 9.094275e-01 |   1.156 s | best 9.094275e-01 @42 *
