
# ===== 2026-09-21 04:39:53 KST  HPO attempt 15  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'unet', 'param': 'edm', 'domain': 'angle', 'lr': 0.0017526399131031923, 'ema': 0.9995, 'batch': 512, 'emb': 256, 'width': 128, 'depth': 4}  params=16748930
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 1.046539e+00 | val 9.906437e-01 |   0.549 s | best 9.906437e-01 @1 *
epoch    2 | train 1.003115e+00 | val 9.905712e-01 |   0.846 s | best 9.905712e-01 @2 *
epoch    3 | train 1.000798e+00 | val 9.905521e-01 |   0.842 s | best 9.905521e-01 @3 *
epoch    4 | train 1.001123e+00 | val 9.905574e-01 |   0.372 s | best 9.905521e-01 @3
epoch    5 | train 1.000374e+00 | val 9.905769e-01 |   0.307 s | best 9.905521e-01 @3
epoch    6 | train 9.992362e-01 | val 9.906045e-01 |   0.395 s | best 9.905521e-01 @3
epoch    7 | train 1.003007e+00 | val 9.906330e-01 |   0.636 s | best 9.905521e-01 @3
epoch    8 | train 9.988898e-01 | val 9.906562e-01 |   0.569 s | best 9.905521e-01 @3
epoch    9 | train 1.001595e+00 | val 9.906731e-01 |   0.396 s | best 9.905521e-01 @3
epoch   10 | train 1.001787e+00 | val 9.906827e-01 |   0.863 s | best 9.905521e-01 @3
epoch   11 | train 9.997288e-01 | val 9.906857e-01 |   0.846 s | best 9.905521e-01 @3
epoch   12 | train 1.002169e+00 | val 9.906863e-01 |   0.875 s | best 9.905521e-01 @3
epoch   13 | train 1.003820e+00 | val 9.906856e-01 |   0.549 s | best 9.905521e-01 @3
epoch   14 | train 1.000336e+00 | val 9.906828e-01 |   0.860 s | best 9.905521e-01 @3
epoch   15 | train 9.997295e-01 | val 9.906793e-01 |   0.838 s | best 9.905521e-01 @3
epoch   16 | train 9.992626e-01 | val 9.906774e-01 |   0.867 s | best 9.905521e-01 @3
epoch   17 | train 9.993792e-01 | val 9.906765e-01 |   0.839 s | best 9.905521e-01 @3
epoch   18 | train 1.000180e+00 | val 9.906750e-01 |   0.835 s | best 9.905521e-01 @3
# done        : 18 epochs, stopped_by=patience, aborted=False, best val 9.905521e-01 @ epoch 3, wall 21.5 s, 1.196 s/epoch
