
# ===== 2026-09-21 05:02:41 KST  HPO attempt 21  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'unet', 'param': 'edm', 'domain': 'pixel', 'lr': 7.283146398440304e-05, 'ema': 0.9999, 'batch': 512, 'emb': 128, 'width': 16, 'depth': 5}  params=270130
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.938272e-01 | val 9.906757e-01 |   0.312 s | best 9.906757e-01 @1 *
epoch    2 | train 9.889592e-01 | val 9.906654e-01 |   0.490 s | best 9.906654e-01 @2 *
epoch    3 | train 9.863117e-01 | val 9.906484e-01 |   0.526 s | best 9.906484e-01 @3 *
epoch    4 | train 9.800099e-01 | val 9.906253e-01 |   0.521 s | best 9.906253e-01 @4 *
epoch    5 | train 9.719562e-01 | val 9.905965e-01 |   0.521 s | best 9.905965e-01 @5 *
epoch    6 | train 9.623467e-01 | val 9.905622e-01 |   0.524 s | best 9.905622e-01 @6 *
epoch    7 | train 9.583845e-01 | val 9.905225e-01 |   0.522 s | best 9.905225e-01 @7 *
epoch    8 | train 9.520134e-01 | val 9.904779e-01 |   0.524 s | best 9.904779e-01 @8 *
epoch    9 | train 9.480686e-01 | val 9.904284e-01 |   0.526 s | best 9.904284e-01 @9 *
epoch   10 | train 9.396033e-01 | val 9.903746e-01 |   0.526 s | best 9.903746e-01 @10 *
epoch   11 | train 9.306652e-01 | val 9.903162e-01 |   0.524 s | best 9.903162e-01 @11 *
epoch   12 | train 9.282631e-01 | val 9.902537e-01 |   0.525 s | best 9.902537e-01 @12 *
epoch   13 | train 9.205766e-01 | val 9.901872e-01 |   0.520 s | best 9.901872e-01 @13 *
epoch   14 | train 9.197929e-01 | val 9.901169e-01 |   0.524 s | best 9.901169e-01 @14 *
epoch   15 | train 9.149173e-01 | val 9.900428e-01 |   0.524 s | best 9.900428e-01 @15 *
epoch   16 | train 9.137901e-01 | val 9.899651e-01 |   0.526 s | best 9.899651e-01 @16 *
epoch   17 | train 9.092992e-01 | val 9.898838e-01 |   0.523 s | best 9.898838e-01 @17 *
epoch   18 | train 9.049616e-01 | val 9.897991e-01 |   0.526 s | best 9.897991e-01 @18 *
epoch   19 | train 9.000903e-01 | val 9.897110e-01 |   0.523 s | best 9.897110e-01 @19 *
epoch   20 | train 8.978189e-01 | val 9.896199e-01 |   0.523 s | best 9.896199e-01 @20 *
epoch   21 | train 9.029723e-01 | val 9.895256e-01 |   0.522 s | best 9.895256e-01 @21 *
epoch   22 | train 8.992361e-01 | val 9.894285e-01 |   0.523 s | best 9.894285e-01 @22 *
epoch   23 | train 8.999060e-01 | val 9.893286e-01 |   0.522 s | best 9.893286e-01 @23 *
epoch   24 | train 8.958333e-01 | val 9.892261e-01 |   0.526 s | best 9.892261e-01 @24 *
epoch   25 | train 8.987761e-01 | val 9.891209e-01 |   0.522 s | best 9.891209e-01 @25 *
epoch   26 | train 8.937478e-01 | val 9.890133e-01 |   0.524 s | best 9.890133e-01 @26 *
epoch   27 | train 8.923618e-01 | val 9.889030e-01 |   0.527 s | best 9.889030e-01 @27 *
epoch   28 | train 8.916801e-01 | val 9.887906e-01 |   0.523 s | best 9.887906e-01 @28 *
epoch   29 | train 8.895847e-01 | val 9.886759e-01 |   0.522 s | best 9.886759e-01 @29 *
epoch   30 | train 8.875101e-01 | val 9.885588e-01 |   0.527 s | best 9.885588e-01 @30 *
epoch   31 | train 8.874340e-01 | val 9.884395e-01 |   0.522 s | best 9.884395e-01 @31 *
epoch   32 | train 8.910157e-01 | val 9.883183e-01 |   0.523 s | best 9.883183e-01 @32 *
epoch   33 | train 8.886429e-01 | val 9.881950e-01 |   0.526 s | best 9.881950e-01 @33 *
epoch   34 | train 8.878054e-01 | val 9.880700e-01 |   0.522 s | best 9.880700e-01 @34 *
epoch   35 | train 8.879826e-01 | val 9.879427e-01 |   0.522 s | best 9.879427e-01 @35 *
epoch   36 | train 8.875520e-01 | val 9.878135e-01 |   0.522 s | best 9.878135e-01 @36 *
epoch   37 | train 8.830471e-01 | val 9.876828e-01 |   0.522 s | best 9.876828e-01 @37 *
epoch   38 | train 8.823222e-01 | val 9.875504e-01 |   0.525 s | best 9.875504e-01 @38 *
epoch   39 | train 8.869607e-01 | val 9.874162e-01 |   0.523 s | best 9.874162e-01 @39 *
epoch   40 | train 8.840439e-01 | val 9.872802e-01 |   0.523 s | best 9.872802e-01 @40 *
epoch   41 | train 8.848939e-01 | val 9.871427e-01 |   0.526 s | best 9.871427e-01 @41 *
epoch   42 | train 8.865463e-01 | val 9.870037e-01 |   0.520 s | best 9.870037e-01 @42 *
epoch   43 | train 8.828919e-01 | val 9.868633e-01 |   0.522 s | best 9.868633e-01 @43 *
epoch   44 | train 8.817562e-01 | val 9.867212e-01 |   0.521 s | best 9.867212e-01 @44 *
epoch   45 | train 8.812362e-01 | val 9.865775e-01 |   0.496 s | best 9.865775e-01 @45 *
epoch   46 | train 8.836184e-01 | val 9.864325e-01 |   0.426 s | best 9.864325e-01 @46 *
epoch   47 | train 8.833840e-01 | val 9.862865e-01 |   0.430 s | best 9.862865e-01 @47 *
epoch   48 | train 8.824337e-01 | val 9.861389e-01 |   0.427 s | best 9.861389e-01 @48 *
epoch   49 | train 8.843062e-01 | val 9.859897e-01 |   0.429 s | best 9.859897e-01 @49 *
epoch   50 | train 8.817569e-01 | val 9.858391e-01 |   0.505 s | best 9.858391e-01 @50 *
epoch   51 | train 8.839372e-01 | val 9.856878e-01 |   0.525 s | best 9.856878e-01 @51 *
epoch   52 | train 8.803500e-01 | val 9.855347e-01 |   0.527 s | best 9.855347e-01 @52 *
epoch   53 | train 8.823434e-01 | val 9.853804e-01 |   0.518 s | best 9.853804e-01 @53 *
epoch   54 | train 8.829401e-01 | val 9.852246e-01 |   0.524 s | best 9.852246e-01 @54 *
epoch   55 | train 8.801888e-01 | val 9.850678e-01 |   0.476 s | best 9.850678e-01 @55 *
epoch   56 | train 8.816808e-01 | val 9.849100e-01 |   0.425 s | best 9.849100e-01 @56 *
epoch   57 | train 8.790946e-01 | val 9.847508e-01 |   0.507 s | best 9.847508e-01 @57 *
epoch   58 | train 8.796152e-01 | val 9.845905e-01 |   0.523 s | best 9.845905e-01 @58 *
epoch   59 | train 8.798591e-01 | val 9.844288e-01 |   0.523 s | best 9.844288e-01 @59 *
epoch   60 | train 8.777297e-01 | val 9.842662e-01 |   0.526 s | best 9.842662e-01 @60 *
epoch   61 | train 8.782556e-01 | val 9.841025e-01 |   0.519 s | best 9.841025e-01 @61 *
epoch   62 | train 8.796229e-01 | val 9.839371e-01 |   0.524 s | best 9.839371e-01 @62 *
epoch   63 | train 8.814386e-01 | val 9.837711e-01 |   0.525 s | best 9.837711e-01 @63 *
epoch   64 | train 8.786622e-01 | val 9.836040e-01 |   0.524 s | best 9.836040e-01 @64 *
epoch   65 | train 8.790810e-01 | val 9.834363e-01 |   0.428 s | best 9.834363e-01 @65 *
epoch   66 | train 8.760015e-01 | val 9.832668e-01 |   0.430 s | best 9.832668e-01 @66 *
epoch   67 | train 8.778027e-01 | val 9.830961e-01 |   0.505 s | best 9.830961e-01 @67 *
epoch   68 | train 8.775225e-01 | val 9.829251e-01 |   0.524 s | best 9.829251e-01 @68 *
epoch   69 | train 8.769276e-01 | val 9.827529e-01 |   0.528 s | best 9.827529e-01 @69 *
epoch   70 | train 8.818158e-01 | val 9.825796e-01 |   0.523 s | best 9.825796e-01 @70 *
epoch   71 | train 8.739755e-01 | val 9.824048e-01 |   0.523 s | best 9.824048e-01 @71 *
epoch   72 | train 8.739220e-01 | val 9.822297e-01 |   0.527 s | best 9.822297e-01 @72 *
epoch   73 | train 8.723630e-01 | val 9.820532e-01 |   0.522 s | best 9.820532e-01 @73 *
epoch   74 | train 8.755377e-01 | val 9.818756e-01 |   0.433 s | best 9.818756e-01 @74 *
epoch   75 | train 8.785468e-01 | val 9.816968e-01 |   0.426 s | best 9.816968e-01 @75 *
epoch   76 | train 8.780733e-01 | val 9.815176e-01 |   0.427 s | best 9.815176e-01 @76 *
epoch   77 | train 8.748027e-01 | val 9.813367e-01 |   0.429 s | best 9.813367e-01 @77 *
epoch   78 | train 8.790915e-01 | val 9.811558e-01 |   0.422 s | best 9.811558e-01 @78 *
epoch   79 | train 8.751745e-01 | val 9.809740e-01 |   0.503 s | best 9.809740e-01 @79 *
epoch   80 | train 8.741111e-01 | val 9.807911e-01 |   0.522 s | best 9.807911e-01 @80 *
epoch   81 | train 8.797004e-01 | val 9.806072e-01 |   0.523 s | best 9.806072e-01 @81 *
epoch   82 | train 8.735690e-01 | val 9.804224e-01 |   0.526 s | best 9.804224e-01 @82 *
epoch   83 | train 8.763917e-01 | val 9.802368e-01 |   0.521 s | best 9.802368e-01 @83 *
epoch   84 | train 8.736930e-01 | val 9.800501e-01 |   0.428 s | best 9.800501e-01 @84 *
epoch   85 | train 8.699321e-01 | val 9.798635e-01 |   0.429 s | best 9.798635e-01 @85 *
epoch   86 | train 8.749658e-01 | val 9.796752e-01 |   0.424 s | best 9.796752e-01 @86 *
epoch   87 | train 8.749664e-01 | val 9.794865e-01 |   0.425 s | best 9.794865e-01 @87 *
epoch   88 | train 8.742812e-01 | val 9.792968e-01 |   0.465 s | best 9.792968e-01 @88 *
epoch   89 | train 8.749445e-01 | val 9.791068e-01 |   0.525 s | best 9.791068e-01 @89 *
