
# ===== 2026-09-21 06:15:08 KST  HPO attempt 24  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'uvit', 'param': 've', 'domain': 'pixel', 'lr': 0.0008540169258548046, 'ema': 0.999, 'batch': 512, 'emb': 128, 'width': 64, 'depth': 4, 'heads': 2, 'patch': 1}  params=281448
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.884608e-01 | val 9.906614e-01 |   0.497 s | best 9.906614e-01 @1 *
epoch    2 | train 9.591192e-01 | val 9.905301e-01 |   0.547 s | best 9.905301e-01 @2 *
epoch    3 | train 9.283976e-01 | val 9.902471e-01 |   0.550 s | best 9.902471e-01 @3 *
epoch    4 | train 9.125593e-01 | val 9.897714e-01 |   0.541 s | best 9.897714e-01 @4 *
epoch    5 | train 8.891716e-01 | val 9.890756e-01 |   0.549 s | best 9.890756e-01 @5 *
epoch    6 | train 8.564789e-01 | val 9.881188e-01 |   0.546 s | best 9.881188e-01 @6 *
epoch    7 | train 8.227013e-01 | val 9.868628e-01 |   0.543 s | best 9.868628e-01 @7 *
epoch    8 | train 8.068037e-01 | val 9.852780e-01 |   0.548 s | best 9.852780e-01 @8 *
epoch    9 | train 7.990155e-01 | val 9.833650e-01 |   0.548 s | best 9.833650e-01 @9 *
epoch   10 | train 7.936803e-01 | val 9.811368e-01 |   0.546 s | best 9.811368e-01 @10 *
epoch   11 | train 7.942658e-01 | val 9.786115e-01 |   0.487 s | best 9.786115e-01 @11 *
epoch   12 | train 7.929830e-01 | val 9.758235e-01 |   0.540 s | best 9.758235e-01 @12 *
epoch   13 | train 7.937504e-01 | val 9.728162e-01 |   0.548 s | best 9.728162e-01 @13 *
