
# ===== 2026-09-21 06:42:00 KST  HPO attempt 32  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'uvit', 'param': 've', 'domain': 'angle', 'lr': 0.0003060422418465345, 'ema': 0.999, 'batch': 512, 'emb': 256, 'width': 256, 'depth': 4, 'heads': 2, 'patch': 2}  params=4350254
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.873591e-01 | val 9.906734e-01 |   0.537 s | best 9.906734e-01 @1 *
epoch    2 | train 9.543689e-01 | val 9.905797e-01 |   0.549 s | best 9.905797e-01 @2 *
epoch    3 | train 9.393081e-01 | val 9.903728e-01 |   0.540 s | best 9.903728e-01 @3 *
epoch    4 | train 9.235832e-01 | val 9.900306e-01 |   0.544 s | best 9.900306e-01 @4 *
epoch    5 | train 9.047270e-01 | val 9.895350e-01 |   0.545 s | best 9.895350e-01 @5 *
epoch    6 | train 8.809336e-01 | val 9.888380e-01 |   0.543 s | best 9.888380e-01 @6 *
epoch    7 | train 8.602234e-01 | val 9.879092e-01 |   0.551 s | best 9.879092e-01 @7 *
epoch    8 | train 8.434024e-01 | val 9.867309e-01 |   0.546 s | best 9.867309e-01 @8 *
epoch    9 | train 8.312923e-01 | val 9.852819e-01 |   0.547 s | best 9.852819e-01 @9 *
epoch   10 | train 8.202957e-01 | val 9.835489e-01 |   0.546 s | best 9.835489e-01 @10 *
epoch   11 | train 8.136536e-01 | val 9.815030e-01 |   0.547 s | best 9.815030e-01 @11 *
epoch   12 | train 8.087218e-01 | val 9.791514e-01 |   0.546 s | best 9.791514e-01 @12 *
epoch   13 | train 8.013108e-01 | val 9.765070e-01 |   0.546 s | best 9.765070e-01 @13 *
epoch   14 | train 7.939725e-01 | val 9.735649e-01 |   0.546 s | best 9.735649e-01 @14 *
epoch   15 | train 7.956902e-01 | val 9.703738e-01 |   0.547 s | best 9.703738e-01 @15 *
epoch   16 | train 7.951970e-01 | val 9.669710e-01 |   0.544 s | best 9.669710e-01 @16 *
epoch   17 | train 7.906104e-01 | val 9.633820e-01 |   0.547 s | best 9.633820e-01 @17 *
epoch   18 | train 7.851510e-01 | val 9.596658e-01 |   0.546 s | best 9.596658e-01 @18 *
epoch   19 | train 7.871968e-01 | val 9.558537e-01 |   0.546 s | best 9.558537e-01 @19 *
