
# ===== 2026-09-21 06:45:05 KST  HPO attempt 34  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'uvit', 'param': 'edm', 'domain': 'angle', 'lr': 9.840222144053405e-05, 'ema': 0.999, 'batch': 128, 'emb': 64, 'width': 256, 'depth': 7, 'heads': 2, 'patch': 1}  params=6015016
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.885305e-01 | val 9.906469e-01 |   2.900 s | best 9.906469e-01 @1 *
epoch    2 | train 9.660714e-01 | val 9.904285e-01 |   2.891 s | best 9.904285e-01 @2 *
epoch    3 | train 9.516947e-01 | val 9.897635e-01 |   2.895 s | best 9.897635e-01 @3 *
epoch    4 | train 9.437733e-01 | val 9.882600e-01 |   2.895 s | best 9.882600e-01 @4 *
epoch    5 | train 9.350361e-01 | val 9.856228e-01 |   2.898 s | best 9.856228e-01 @5 *
epoch    6 | train 9.110309e-01 | val 9.819366e-01 |   2.894 s | best 9.819366e-01 @6 *
epoch    7 | train 9.031406e-01 | val 9.779322e-01 |   2.894 s | best 9.779322e-01 @7 *
epoch    8 | train 9.045051e-01 | val 9.739678e-01 |   2.894 s | best 9.739678e-01 @8 *
epoch    9 | train 9.021830e-01 | val 9.700149e-01 |   2.895 s | best 9.700149e-01 @9 *
epoch   10 | train 8.988094e-01 | val 9.657655e-01 |   2.887 s | best 9.657655e-01 @10 *
epoch   11 | train 8.955750e-01 | val 9.611986e-01 |   2.888 s | best 9.611986e-01 @11 *
epoch   12 | train 8.950590e-01 | val 9.564782e-01 |   2.899 s | best 9.564782e-01 @12 *
epoch   13 | train 8.970387e-01 | val 9.514334e-01 |   2.895 s | best 9.514334e-01 @13 *
epoch   14 | train 8.967739e-01 | val 9.461123e-01 |   2.888 s | best 9.461123e-01 @14 *
epoch   15 | train 8.951494e-01 | val 9.407934e-01 |   2.888 s | best 9.407934e-01 @15 *
epoch   16 | train 8.922133e-01 | val 9.355462e-01 |   2.888 s | best 9.355462e-01 @16 *
epoch   17 | train 8.983968e-01 | val 9.303454e-01 |   2.893 s | best 9.303454e-01 @17 *
epoch   18 | train 8.929019e-01 | val 9.254368e-01 |   2.887 s | best 9.254368e-01 @18 *
