
# ===== 2026-09-21 06:53:55 KST  HPO attempt 37  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'uvit', 'param': 'vp', 'domain': 'pixel', 'lr': 0.00018189051591570494, 'ema': 0.9999, 'batch': 256, 'emb': 64, 'width': 192, 'depth': 3, 'heads': 8, 'patch': 2}  params=1463470
# stopping    : patience 15 on val loss, never before 0 epochs, max 600 (01_RULES §5)
epoch    1 | train 9.842142e-01 | val 9.906911e-01 |   0.716 s | best 9.906911e-01 @1 *
epoch    2 | train 9.511900e-01 | val 9.906812e-01 |   0.754 s | best 9.906812e-01 @2 *
epoch    3 | train 9.242269e-01 | val 9.906656e-01 |   0.750 s | best 9.906656e-01 @3 *
epoch    4 | train 9.034434e-01 | val 9.906445e-01 |   0.749 s | best 9.906445e-01 @4 *
epoch    5 | train 8.883232e-01 | val 9.906173e-01 |   0.753 s | best 9.906173e-01 @5 *
epoch    6 | train 8.718538e-01 | val 9.905844e-01 |   0.747 s | best 9.905844e-01 @6 *
epoch    7 | train 8.648197e-01 | val 9.905458e-01 |   0.753 s | best 9.905458e-01 @7 *
epoch    8 | train 8.588811e-01 | val 9.905018e-01 |   0.747 s | best 9.905018e-01 @8 *
epoch    9 | train 8.500936e-01 | val 9.904521e-01 |   0.753 s | best 9.904521e-01 @9 *
epoch   10 | train 8.401893e-01 | val 9.903966e-01 |   0.748 s | best 9.903966e-01 @10 *
epoch   11 | train 8.339269e-01 | val 9.903345e-01 |   0.751 s | best 9.903345e-01 @11 *
epoch   12 | train 8.262355e-01 | val 9.902654e-01 |   0.753 s | best 9.902654e-01 @12 *
