# H1: Jacobian validity as a covariance.  ckpt = /home/HTJ/t2/conf/ckpt/sx_V3_N160000_D1_a1_lam0.01.pt   n = 128 held-out D2 samples/point
# Jr = real Jacobian of tweedie_real (what score.jac_batch returns); J = wirtinger(Jr) (what
# ScorePrior hands RouteAClip._matrix_site, after Hermitian symmetrisation).
# TRUE posterior-mean denoiser => Jr symmetric PSD, and nu*Herm(J) = Cov(h|q) >= 0.

=== diffusion ===
  k      sigma         nu |   asym(Jr)   lmin(Jr)  lmax(Jr)    f<0 |   herm(J)    lmin(J)  lmax(J)    f<0    f>1 |  clipfrac  shift_med  shift_max
  0 3.2936e-02 2.1695e-03 |  1.663e-03  9.398e-01     1.017  0.000 |  7.98e-04  9.410e-01    1.005  0.000  0.516 |     0.516  1.099e-11  7.744e-08
  1 3.8933e-02 3.0316e-03 |  2.169e-03  9.216e-01     1.023  0.000 |  1.03e-03  9.228e-01    1.007  0.000  0.539 |     0.539  1.432e-10  1.235e-07
  2 4.6023e-02 4.2362e-03 |  2.989e-03  8.900e-01     1.032  0.000 |  1.41e-03  8.917e-01    1.010  0.000  0.539 |     0.539  2.056e-10  2.676e-07
  3 5.4404e-02 5.9195e-03 |  3.985e-03  8.539e-01     1.043  0.000 |  1.87e-03  8.565e-01    1.013  0.000  0.555 |     0.555  9.090e-10  5.564e-07
  4 6.4311e-02 8.2717e-03 |  5.491e-03  8.005e-01     1.061  0.000 |  2.54e-03  8.042e-01    1.018  0.000  0.586 |     0.586  4.532e-09  1.312e-06
  5 7.6021e-02 1.1559e-02 |  6.775e-03  7.519e-01     1.079  0.000 |  3.12e-03  7.581e-01    1.023  0.000  0.570 |     0.570  6.253e-09  2.360e-06
  6 8.9865e-02 1.6151e-02 |  9.300e-03  6.701e-01     1.110  0.000 |  4.20e-03  6.774e-01    1.032  0.000  0.578 |     0.578  9.080e-09  5.458e-06
  7 1.0623e-01 2.2569e-02 |  1.169e-02  5.942e-01     1.154  0.000 |  5.22e-03  6.007e-01    1.040  0.000  0.562 |     0.562  1.927e-08  1.037e-05
  8 1.2557e-01 3.1537e-02 |  1.432e-02  5.152e-01     1.214  0.000 |  6.30e-03  5.208e-01    1.054  0.000  0.547 |     0.547  1.608e-08  1.886e-05
  9 1.4844e-01 4.4069e-02 |  1.723e-02  4.268e-01     1.298  0.000 |  7.48e-03  4.377e-01    1.078  0.000  0.523 |     0.523  1.021e-08  3.077e-05
 10 1.7547e-01 6.1580e-02 |  2.103e-02  3.316e-01     1.393  0.000 |  9.04e-03  3.446e-01    1.107  0.000  0.516 |     0.516  1.116e-08  5.110e-05
 11 2.0742e-01 8.6049e-02 |  2.537e-02  2.402e-01     1.486  0.000 |  1.08e-02  2.545e-01    1.138  0.000  0.492 |     0.492  0.000e+00  1.041e-04
 12 2.4520e-01 1.2024e-01 |  2.913e-02  1.766e-01     1.603  0.000 |  1.24e-02  1.911e-01    1.191  0.000  0.484 |     0.484  0.000e+00  3.714e-04
 13 2.8985e-01 1.6802e-01 |  3.336e-02  1.234e-01     1.811  0.000 |  1.43e-02  1.377e-01    1.256  0.000  0.492 |     0.492  0.000e+00  1.784e-03
 14 3.4263e-01 2.3479e-01 |  3.815e-02  8.063e-02     2.485  0.000 |  1.65e-02  9.431e-02    1.550  0.000  0.477 |     0.477  0.000e+00  1.491e-03
 15 4.0502e-01 3.2808e-01 |  4.290e-02  4.828e-02     2.731  0.000 |  1.90e-02  5.907e-02    1.652  0.000  0.484 |     0.484  0.000e+00  2.485e-03
 16 4.7877e-01 4.5844e-01 |  4.778e-02  2.395e-02     2.347  0.000 |  2.19e-02  3.128e-02    1.453  0.000  0.461 |     0.461  0.000e+00  2.493e-03
 17 5.6596e-01 6.4061e-01 |  5.208e-02  9.787e-03     1.851  0.000 |  2.46e-02  2.669e-02    1.250  0.000  0.391 |     0.391  0.000e+00  1.565e-03
 18 6.6901e-01 8.9516e-01 |  6.128e-02 -4.168e-02     2.100  0.117 |  2.99e-02 -1.397e-02    1.319  0.031  0.328 |     0.359  0.000e+00  6.582e+00
 19 7.9084e-01 1.2509e+00 |  7.400e-02 -8.916e-02     1.940  0.938 |  3.72e-02 -5.028e-02    1.207  0.781  0.211 |     0.859  3.794e-01  1.144e+04

=== GMM-exact(b*=kron,K=32) ===
  k      sigma         nu |   asym(Jr)   lmin(Jr)  lmax(Jr)    f<0 |   herm(J)    lmin(J)  lmax(J)    f<0    f>1 |  clipfrac  shift_med  shift_max
  0 3.2936e-02 2.1695e-03 |  2.161e-17  9.384e-01     1.036  0.000 |  1.39e-17  9.384e-01    1.013  0.000  0.625 |     0.625  8.394e-09  1.222e-06
  1 3.8933e-02 3.0316e-03 |  3.001e-17  9.159e-01     1.050  0.000 |  1.95e-17  9.159e-01    1.018  0.000  0.633 |     0.633  1.421e-08  2.247e-06
  2 4.6023e-02 4.2362e-03 |  4.198e-17  8.863e-01     1.068  0.000 |  2.65e-17  8.863e-01    1.025  0.000  0.625 |     0.625  2.997e-08  4.034e-06
  3 5.4404e-02 5.9195e-03 |  5.785e-17  8.480e-01     1.095  0.000 |  3.74e-17  8.480e-01    1.033  0.000  0.617 |     0.617  5.061e-08  8.120e-06
  4 6.4311e-02 8.2717e-03 |  7.747e-17  7.997e-01     1.133  0.000 |  5.12e-17  7.997e-01    1.046  0.000  0.625 |     0.625  9.379e-08  1.656e-05
  5 7.6021e-02 1.1559e-02 |  1.078e-16  7.408e-01     1.178  0.000 |  7.04e-17  7.408e-01    1.062  0.000  0.617 |     0.617  2.325e-07  3.340e-05
  6 8.9865e-02 1.6151e-02 |  1.432e-16  6.716e-01     1.224  0.000 |  8.99e-17  6.716e-01    1.076  0.000  0.633 |     0.633  3.590e-07  6.545e-05
  7 1.0623e-01 2.2569e-02 |  1.923e-16  5.941e-01     1.257  0.000 |  1.20e-16  5.941e-01    1.089  0.000  0.664 |     0.664  8.507e-07  1.544e-04
  8 1.2557e-01 3.1537e-02 |  2.523e-16  5.116e-01     1.377  0.000 |  1.58e-16  5.116e-01    1.124  0.000  0.672 |     0.672  1.840e-06  2.441e-04
  9 1.4844e-01 4.4069e-02 |  3.295e-16  4.285e-01     1.521  0.000 |  2.19e-16  4.285e-01    1.177  0.000  0.648 |     0.648  3.498e-06  2.565e-04
 10 1.7547e-01 6.1580e-02 |  4.252e-16  3.493e-01     1.659  0.000 |  2.66e-16  3.493e-01    1.226  0.000  0.656 |     0.656  5.519e-06  4.410e-04
 11 2.0742e-01 8.6049e-02 |  5.331e-16  2.776e-01     1.745  0.000 |  3.37e-16  2.776e-01    1.250  0.000  0.648 |     0.648  5.473e-06  6.335e-04
 12 2.4520e-01 1.2024e-01 |  6.576e-16  2.159e-01     1.821  0.000 |  4.08e-16  2.159e-01    1.291  0.000  0.656 |     0.656  4.809e-06  7.576e-04
 13 2.8985e-01 1.6802e-01 |  8.034e-16  1.649e-01     2.041  0.000 |  5.07e-16  1.649e-01    1.381  0.000  0.656 |     0.656  3.655e-06  9.041e-04
 14 3.4263e-01 2.3479e-01 |  9.559e-16  1.244e-01     2.071  0.000 |  6.13e-16  1.244e-01    1.373  0.000  0.625 |     0.625  5.402e-06  3.424e-03
 15 4.0502e-01 3.2808e-01 |  1.138e-15  9.303e-02     2.592  0.000 |  7.33e-16  9.304e-02    1.595  0.000  0.570 |     0.570  2.948e-06  2.796e-03
 16 4.7877e-01 4.5844e-01 |  1.369e-15  6.909e-02     2.405  0.000 |  9.30e-16  6.911e-02    1.488  0.000  0.516 |     0.516  3.744e-08  2.624e-03
 17 5.6596e-01 6.4061e-01 |  1.580e-15  5.082e-02     1.978  0.000 |  1.07e-15  5.083e-02    1.265  0.000  0.438 |     0.438  0.000e+00  2.229e-03
 18 6.6901e-01 8.9516e-01 |  1.812e-15  3.746e-02     2.029  0.000 |  1.29e-15  3.747e-02    1.294  0.000  0.359 |     0.359  0.000e+00  5.244e-03
 19 7.9084e-01 1.2509e+00 |  2.178e-15  2.785e-02     1.933  0.000 |  1.55e-15  2.786e-02    1.253  0.000  0.258 |     0.258  0.000e+00  1.032e-02

# saved -> results/diag/jacobian-psd_D1_lam0.01.npz
