# H1: Jacobian validity as a covariance.  ckpt = ckpt/d2sx_N160000_a1.pt   n = 128 held-out D2 samples/point
# Jr = real Jacobian of tweedie_real (what score.jac_batch returns); J = wirtinger(Jr) (what
# ScorePrior hands RouteAClip._matrix_site, after Hermitian symmetrisation).
# TRUE posterior-mean denoiser => Jr symmetric PSD, and nu*Herm(J) = Cov(h|q) >= 0.

=== diffusion ===
  k      sigma         nu |   asym(Jr)   lmin(Jr)  lmax(Jr)    f<0 |   herm(J)    lmin(J)  lmax(J)    f<0    f>1 |  clipfrac  shift_med  shift_max
  0 3.3062e-02 2.1862e-03 |  1.981e-01 -1.652e-01     1.506  0.992 |  7.68e-02 -7.562e-02    1.205  0.812  0.703 |     0.992  8.928e-01  2.069e+04
  1 3.9212e-02 3.0751e-03 |  2.153e-01 -2.409e-01     1.613  1.000 |  8.48e-02 -1.031e-01    1.227  0.992  0.703 |     1.000  2.422e+00  3.781e+05
  2 4.6505e-02 4.3255e-03 |  2.282e-01 -2.211e-01     1.790  1.000 |  9.05e-02 -9.709e-02    1.254  1.000  0.727 |     1.000  3.632e+00  9.895e+06
  3 5.5155e-02 6.0842e-03 |  2.414e-01 -2.307e-01     2.256  1.000 |  9.68e-02 -1.027e-01    1.432  1.000  0.734 |     1.000  6.997e+00  9.935e+04
  4 6.5414e-02 8.5579e-03 |  2.549e-01 -2.818e-01     2.670  1.000 |  1.04e-01 -1.040e-01    1.703  1.000  0.727 |     1.000  1.245e+01  1.042e+04
  5 7.7581e-02 1.2038e-02 |  2.668e-01 -3.289e-01     3.381  1.000 |  1.11e-01 -1.068e-01    2.059  1.000  0.742 |     1.000  1.267e+01  4.084e+04
  6 9.2011e-02 1.6932e-02 |  2.810e-01 -3.584e-01     3.606  1.000 |  1.18e-01 -1.284e-01    2.188  1.000  0.773 |     1.000  1.816e+01  5.185e+04
  7 1.0912e-01 2.3816e-02 |  2.875e-01 -4.011e-01     4.235  1.000 |  1.21e-01 -1.575e-01    2.337  0.992  0.789 |     1.000  1.671e+01  1.226e+07
  8 1.2942e-01 3.3500e-02 |  2.987e-01 -5.157e-01     4.208  1.000 |  1.28e-01 -2.194e-01    2.478  0.992  0.828 |     1.000  2.078e+01  4.749e+06
  9 1.5349e-01 4.7121e-02 |  2.929e-01 -5.226e-01     5.030  1.000 |  1.27e-01 -3.143e-01    2.809  0.961  0.859 |     1.000  2.344e+01  2.260e+05
 10 1.8204e-01 6.6280e-02 |  2.927e-01 -5.600e-01     4.100  1.000 |  1.27e-01 -3.374e-01    2.406  0.922  0.898 |     1.000  2.053e+01  3.138e+06
 11 2.1590e-01 9.3229e-02 |  2.855e-01 -6.078e-01     5.878  0.977 |  1.25e-01 -2.166e-01    3.190  0.836  0.898 |     1.000  1.060e+01  1.223e+04
 12 2.5606e-01 1.3114e-01 |  2.682e-01 -4.988e-01     4.363  0.898 |  1.15e-01 -1.800e-01    2.578  0.477  0.922 |     0.992  1.516e-02  1.858e+04
 13 3.0369e-01 1.8445e-01 |  2.474e-01 -2.427e-01     5.122  0.914 |  1.07e-01 -1.178e-01    2.865  0.492  0.953 |     1.000  1.639e-02  9.089e+05
 14 3.6018e-01 2.5945e-01 |  2.231e-01 -1.762e-01     4.537  0.680 |  9.65e-02 -8.121e-02    2.625  0.195  0.961 |     1.000  1.507e-03  3.379e+02
 15 4.2717e-01 3.6495e-01 |  2.037e-01 -4.429e-01     3.329  0.688 |  8.97e-02 -3.422e-02    1.968  0.180  0.969 |     0.992  1.526e-03  1.680e+04
 16 5.0662e-01 5.1333e-01 |  1.828e-01 -7.246e-02     3.135  0.414 |  8.20e-02 -2.768e-02    1.922  0.031  0.969 |     0.977  8.160e-04  4.163e+02
 17 6.0085e-01 7.2205e-01 |  1.700e-01 -6.265e-02     2.914  0.500 |  7.86e-02 -3.113e-02    1.807  0.086  0.938 |     0.969  7.952e-04  2.229e+03
 18 7.1261e-01 1.0156e+00 |  1.511e-01 -2.923e-02     2.590  0.289 |  7.17e-02 -1.647e-02    1.682  0.047  0.906 |     0.930  5.096e-04  5.433e+02
 19 8.4516e-01 1.4286e+00 |  1.456e-01 -4.940e-02     2.427  0.297 |  7.20e-02 -1.438e-02    1.510  0.078  0.875 |     0.898  5.120e-04  6.704e+01

=== GMM-exact(b*=kron,K=512) ===
  k      sigma         nu |   asym(Jr)   lmin(Jr)  lmax(Jr)    f<0 |   herm(J)    lmin(J)  lmax(J)    f<0    f>1 |  clipfrac  shift_med  shift_max
  0 3.3062e-02 2.1862e-03 |  2.012e-16  1.854e-03     6.103  0.000 |  1.24e-16  1.855e-03    3.408  0.000  0.430 |     0.430  0.000e+00  1.228e-03
  1 3.9212e-02 3.0751e-03 |  2.277e-16  1.320e-03     4.134  0.000 |  1.39e-16  1.322e-03    2.396  0.000  0.430 |     0.430  0.000e+00  1.508e-03
  2 4.6505e-02 4.3255e-03 |  2.560e-16  9.422e-04     5.087  0.000 |  1.53e-16  9.467e-04    2.833  0.000  0.430 |     0.430  0.000e+00  1.767e-03
  3 5.5155e-02 6.0842e-03 |  2.961e-16  6.798e-04     7.243  0.000 |  1.82e-16  6.924e-04    3.948  0.000  0.461 |     0.461  0.000e+00  2.063e-03
  4 6.5414e-02 8.5579e-03 |  3.358e-16  5.134e-04     5.157  0.000 |  2.12e-16  5.484e-04    2.990  0.000  0.469 |     0.469  0.000e+00  2.614e-03
