# H1: Jacobian validity as a covariance.  ckpt = ckpt/d2sx_N10000_a1.pt   n = 128 held-out D2 samples/point
# Jr = real Jacobian of tweedie_real (what score.jac_batch returns); J = wirtinger(Jr) (what
# ScorePrior hands RouteAClip._matrix_site, after Hermitian symmetrisation).
# TRUE posterior-mean denoiser => Jr symmetric PSD, and nu*Herm(J) = Cov(h|q) >= 0.

=== diffusion ===
  k      sigma         nu |   asym(Jr)   lmin(Jr)  lmax(Jr)    f<0 |   herm(J)    lmin(J)  lmax(J)    f<0    f>1 |  clipfrac  shift_med  shift_max
  0 3.3062e-02 2.1862e-03 |  1.768e-01 -1.243e-01     1.448  0.977 |  6.88e-02 -8.619e-02    1.167  0.859  1.000 |     1.000  1.630e-01  3.111e+03
  1 3.9212e-02 3.0751e-03 |  1.940e-01 -1.582e-01     1.550  0.992 |  7.59e-02 -9.822e-02    1.213  0.961  1.000 |     1.000  3.878e-01  7.289e+03
  2 4.6505e-02 4.3255e-03 |  2.075e-01 -1.901e-01     1.672  1.000 |  8.16e-02 -1.165e-01    1.248  0.984  1.000 |     1.000  5.264e-01  9.416e+02
  3 5.5155e-02 6.0842e-03 |  2.199e-01 -1.891e-01     1.700  1.000 |  8.70e-02 -1.095e-01    1.225  0.984  0.992 |     1.000  8.866e-01  1.134e+04
  4 6.5414e-02 8.5579e-03 |  2.352e-01 -2.135e-01     1.710  1.000 |  9.46e-02 -1.306e-01    1.313  0.992  0.992 |     1.000  1.071e+00  6.534e+03
  5 7.7581e-02 1.2038e-02 |  2.502e-01 -2.770e-01     2.073  1.000 |  1.02e-01 -1.845e-01    1.405  1.000  0.992 |     1.000  2.025e+00  3.431e+03
  6 9.2011e-02 1.6932e-02 |  2.594e-01 -3.181e-01     2.499  1.000 |  1.07e-01 -2.107e-01    1.493  1.000  0.992 |     1.000  2.313e+00  2.222e+03
  7 1.0912e-01 2.3816e-02 |  2.738e-01 -3.422e-01     2.723  1.000 |  1.14e-01 -2.344e-01    1.748  1.000  0.992 |     1.000  3.355e+00  2.274e+05
  8 1.2942e-01 3.3500e-02 |  2.814e-01 -3.336e-01     2.931  1.000 |  1.20e-01 -1.910e-01    1.799  0.992  0.992 |     1.000  2.934e+00  2.533e+07
  9 1.5349e-01 4.7121e-02 |  2.845e-01 -3.315e-01     4.731  1.000 |  1.23e-01 -1.842e-01    2.591  0.984  0.984 |     1.000  4.600e+00  8.159e+04
 10 1.8204e-01 6.6280e-02 |  2.916e-01 -3.182e-01     3.733  1.000 |  1.30e-01 -1.889e-01    2.088  0.992  0.977 |     1.000  4.544e+00  4.117e+04
 11 2.1590e-01 9.3229e-02 |  2.800e-01 -2.942e-01     3.678  0.992 |  1.23e-01 -1.607e-01    2.084  0.930  0.969 |     1.000  3.488e+00  1.101e+08
 12 2.5606e-01 1.3114e-01 |  2.742e-01 -2.604e-01     3.867  0.977 |  1.19e-01 -1.219e-01    2.199  0.812  0.977 |     1.000  2.133e+00  8.524e+06
 13 3.0369e-01 1.8445e-01 |  2.663e-01 -2.163e-01     3.238  0.977 |  1.16e-01 -1.106e-01    1.936  0.711  0.977 |     1.000  2.001e+00  4.637e+03
 14 3.6018e-01 2.5945e-01 |  2.521e-01 -1.734e-01     3.501  0.969 |  1.12e-01 -8.843e-02    2.144  0.727  0.977 |     1.000  1.098e+00  1.942e+06
 15 4.2717e-01 3.6495e-01 |  2.436e-01 -1.250e-01     2.960  0.945 |  1.09e-01 -5.377e-02    1.798  0.516  0.992 |     1.000  5.718e-02  1.255e+03
 16 5.0662e-01 5.1333e-01 |  2.351e-01 -7.489e-02     2.921  0.852 |  1.07e-01 -3.718e-02    1.727  0.258  0.953 |     0.992  1.360e-03  8.282e+02
 17 6.0085e-01 7.2205e-01 |  2.266e-01 -7.184e-02     2.576  0.844 |  1.07e-01 -3.933e-02    1.657  0.281  0.922 |     0.961  1.584e-03  2.554e+04
 18 7.1261e-01 1.0156e+00 |  2.170e-01 -9.403e-02     2.632  0.711 |  1.07e-01 -4.910e-02    1.616  0.172  0.922 |     0.953  1.128e-03  4.758e+02
 19 8.4516e-01 1.4286e+00 |  2.056e-01 -1.071e-01     2.468  0.594 |  1.03e-01 -5.918e-02    1.505  0.164  0.875 |     0.938  7.082e-04  5.501e+05

=== GMM-exact(b*=kron,K=512) ===
  k      sigma         nu |   asym(Jr)   lmin(Jr)  lmax(Jr)    f<0 |   herm(J)    lmin(J)  lmax(J)    f<0    f>1 |  clipfrac  shift_med  shift_max
  0 3.3062e-02 2.1862e-03 |  2.012e-16  1.854e-03     6.103  0.000 |  1.24e-16  1.855e-03    3.408  0.000  0.430 |     0.430  0.000e+00  1.228e-03
  1 3.9212e-02 3.0751e-03 |  2.277e-16  1.320e-03     4.134  0.000 |  1.39e-16  1.322e-03    2.396  0.000  0.430 |     0.430  0.000e+00  1.508e-03
  2 4.6505e-02 4.3255e-03 |  2.560e-16  9.422e-04     5.087  0.000 |  1.53e-16  9.467e-04    2.833  0.000  0.430 |     0.430  0.000e+00  1.767e-03
  3 5.5155e-02 6.0842e-03 |  2.961e-16  6.798e-04     7.243  0.000 |  1.82e-16  6.924e-04    3.948  0.000  0.461 |     0.461  0.000e+00  2.063e-03
  4 6.5414e-02 8.5579e-03 |  3.358e-16  5.134e-04     5.157  0.000 |  2.12e-16  5.484e-04    2.990  0.000  0.469 |     0.469  0.000e+00  2.614e-03
  5 7.7581e-02 1.2038e-02 |  3.960e-16  4.076e-04     4.957  0.000 |  2.45e-16  4.077e-04    2.843  0.000  0.484 |     0.484  0.000e+00  3.469e-03
  6 9.2011e-02 1.6932e-02 |  4.504e-16  2.899e-04     6.925  0.000 |  2.72e-16  2.899e-04    3.854  0.000  0.523 |     0.523  1.624e-06  4.400e-03
  7 1.0912e-01 2.3816e-02 |  5.402e-16  2.061e-04     8.115  0.000 |  3.27e-16  2.062e-04    4.457  0.000  0.531 |     0.531  4.640e-06  8.430e-03
  8 1.2942e-01 3.3500e-02 |  6.292e-16  1.466e-04     8.782  0.000 |  3.74e-16  1.467e-04    4.694  0.000  0.625 |     0.625  2.339e-05  1.188e-02
  9 1.5349e-01 4.7121e-02 |  6.952e-16  1.044e-04    11.518  0.000 |  4.17e-16  1.045e-04    6.047  0.000  0.648 |     0.648  1.481e-04  1.285e-02
 10 1.8204e-01 6.6280e-02 |  7.947e-16  7.495e-05     9.615  0.000 |  4.64e-16  7.508e-05    5.059  0.000  0.680 |     0.680  3.660e-04  2.057e-02
 11 2.1590e-01 9.3229e-02 |  9.434e-16  5.805e-05     9.668  0.000 |  5.50e-16  5.887e-05    5.151  0.000  0.703 |     0.703  7.566e-04  1.895e-02
 12 2.5606e-01 1.3114e-01 |  1.115e-15  7.465e-05    10.146  0.000 |  6.55e-16  8.703e-05    5.374  0.000  0.750 |     0.750  1.076e-03  2.855e-02
 13 3.0369e-01 1.8445e-01 |  1.329e-15  2.289e-04     8.710  0.000 |  7.91e-16  2.298e-04    4.621  0.000  0.781 |     0.781  2.420e-03  3.731e-02
 14 3.6018e-01 2.5945e-01 |  1.554e-15  2.216e-04     8.085  0.000 |  9.54e-16  2.270e-04    4.274  0.000  0.836 |     0.836  3.261e-03  4.058e-02
 15 4.2717e-01 3.6495e-01 |  1.825e-15  2.027e-04     8.488  0.000 |  1.14e-15  2.116e-04    4.513  0.000  0.883 |     0.883  4.247e-03  4.418e-02
 16 5.0662e-01 5.1333e-01 |  2.084e-15  2.827e-04     5.594  0.000 |  1.28e-15  2.905e-04    3.008  0.000  0.906 |     0.906  5.664e-03  6.964e-02
 17 6.0085e-01 7.2205e-01 |  2.303e-15  6.262e-04     4.440  0.000 |  1.48e-15  6.415e-04    2.420  0.000  0.938 |     0.938  3.813e-03  7.224e-02
 18 7.1261e-01 1.0156e+00 |  2.352e-15  1.781e-03     4.086  0.000 |  1.55e-15  1.850e-03    2.259  0.000  0.844 |     0.844  3.133e-03  6.696e-02
