# H1: Jacobian validity as a covariance.  ckpt = /tmp/claude-1005/-home-HTJ-t2-Demo/1edf5ffd-1138-43ae-823b-23d3c5e8c17d/scratchpad/d2sx_N160000_snap.pt   n = 128 held-out D2 samples/point
# Jr = real Jacobian of tweedie_real (what score.jac_batch returns); J = wirtinger(Jr) (what
# ScorePrior hands RouteAClip._matrix_site, after Hermitian symmetrisation).
# TRUE posterior-mean denoiser => Jr symmetric PSD, and nu*Herm(J) = Cov(h|q) >= 0.

=== diffusion ===
  k      sigma         nu |   asym(Jr)   lmin(Jr)  lmax(Jr)    f<0 |   herm(J)    lmin(J)  lmax(J)    f<0    f>1 |  clipfrac  shift_med  shift_max
  0 3.3062e-02 2.1862e-03 |  1.831e-01 -1.512e-01     1.413  1.000 |  7.40e-02 -8.149e-02    1.160  0.977  0.781 |     1.000  6.089e-01  1.770e+04
  1 3.9212e-02 3.0751e-03 |  1.991e-01 -1.732e-01     1.612  1.000 |  8.13e-02 -9.736e-02    1.170  1.000  0.773 |     1.000  8.329e-01  1.962e+08
  2 4.6505e-02 4.3255e-03 |  2.117e-01 -1.821e-01     1.848  1.000 |  8.74e-02 -1.113e-01    1.242  1.000  0.781 |     1.000  1.274e+00  3.587e+03
  3 5.5155e-02 6.0842e-03 |  2.239e-01 -1.735e-01     2.109  1.000 |  9.21e-02 -1.047e-01    1.373  1.000  0.773 |     1.000  2.013e+00  7.906e+03
  4 6.5414e-02 8.5579e-03 |  2.391e-01 -1.907e-01     2.784  1.000 |  9.83e-02 -1.161e-01    1.754  1.000  0.766 |     1.000  2.555e+00  6.572e+03
  5 7.7581e-02 1.2038e-02 |  2.535e-01 -2.213e-01     2.989  1.000 |  1.04e-01 -1.363e-01    1.944  1.000  0.766 |     1.000  3.422e+00  2.532e+04
  6 9.2011e-02 1.6932e-02 |  2.630e-01 -2.339e-01     2.797  1.000 |  1.08e-01 -1.372e-01    1.756  1.000  0.781 |     1.000  6.562e+00  2.040e+04
  7 1.0912e-01 2.3816e-02 |  2.787e-01 -3.378e-01     4.394  1.000 |  1.15e-01 -2.087e-01    2.418  1.000  0.820 |     1.000  7.802e+00  1.046e+04
  8 1.2942e-01 3.3500e-02 |  2.847e-01 -3.622e-01     4.685  1.000 |  1.18e-01 -2.482e-01    2.654  1.000  0.867 |     1.000  9.962e+00  8.752e+04
  9 1.5349e-01 4.7121e-02 |  2.856e-01 -4.250e-01     4.266  1.000 |  1.18e-01 -1.667e-01    2.411  0.977  0.883 |     1.000  7.216e+00  9.987e+04
 10 1.8204e-01 6.6280e-02 |  2.860e-01 -4.758e-01     5.608  1.000 |  1.21e-01 -1.948e-01    3.065  0.984  0.891 |     1.000  1.185e+01  3.385e+05
 11 2.1590e-01 9.3229e-02 |  2.726e-01 -4.064e-01     4.501  1.000 |  1.17e-01 -2.534e-01    2.589  0.766  0.898 |     1.000  4.724e+00  6.532e+07
 12 2.5606e-01 1.3114e-01 |  2.626e-01 -3.156e-01     4.736  0.992 |  1.15e-01 -1.131e-01    2.494  0.672  0.945 |     1.000  2.812e+00  5.952e+06
 13 3.0369e-01 1.8445e-01 |  2.435e-01 -2.217e-01     5.333  0.922 |  1.05e-01 -1.112e-01    2.995  0.414  0.945 |     1.000  3.413e-03  6.001e+04
 14 3.6018e-01 2.5945e-01 |  2.300e-01 -1.862e-01     4.113  0.898 |  1.00e-01 -9.490e-02    2.342  0.445  0.953 |     0.992  4.174e-03  2.736e+07
 15 4.2717e-01 3.6495e-01 |  2.111e-01 -1.049e-01     3.428  0.781 |  9.34e-02 -3.574e-02    2.016  0.281  0.969 |     1.000  2.141e-03  2.152e+04
 16 5.0662e-01 5.1333e-01 |  1.930e-01 -5.586e-02     2.942  0.750 |  8.84e-02 -3.364e-02    1.908  0.203  0.961 |     0.984  1.178e-03  6.351e+03
 17 6.0085e-01 7.2205e-01 |  1.820e-01 -5.064e-02     2.703  0.742 |  8.56e-02 -3.336e-02    1.692  0.281  0.930 |     0.977  1.597e-03  9.045e+03
 18 7.1261e-01 1.0156e+00 |  1.701e-01 -3.750e-02     2.469  0.422 |  8.21e-02 -2.046e-02    1.596  0.086  0.891 |     0.922  6.456e-04  6.933e+01
 19 8.4516e-01 1.4286e+00 |  1.562e-01 -4.003e-02     2.392  0.359 |  7.97e-02 -2.130e-02    1.518  0.094  0.867 |     0.891  4.341e-04  4.169e+03

=== GMM-exact(b*=kron,K=512) ===
  k      sigma         nu |   asym(Jr)   lmin(Jr)  lmax(Jr)    f<0 |   herm(J)    lmin(J)  lmax(J)    f<0    f>1 |  clipfrac  shift_med  shift_max
  0 3.3062e-02 2.1862e-03 |  2.012e-16  1.854e-03     6.103  0.000 |  1.24e-16  1.855e-03    3.408  0.000  0.430 |     0.430  0.000e+00  1.228e-03
  1 3.9212e-02 3.0751e-03 |  2.277e-16  1.320e-03     4.134  0.000 |  1.39e-16  1.322e-03    2.396  0.000  0.430 |     0.430  0.000e+00  1.508e-03
  2 4.6505e-02 4.3255e-03 |  2.560e-16  9.422e-04     5.087  0.000 |  1.53e-16  9.467e-04    2.833  0.000  0.430 |     0.430  0.000e+00  1.767e-03
  3 5.5155e-02 6.0842e-03 |  2.961e-16  6.798e-04     7.243  0.000 |  1.82e-16  6.924e-04    3.948  0.000  0.461 |     0.461  0.000e+00  2.063e-03
  4 6.5414e-02 8.5579e-03 |  3.358e-16  5.134e-04     5.157  0.000 |  2.12e-16  5.484e-04    2.990  0.000  0.469 |     0.469  0.000e+00  2.614e-03
