# H1: Jacobian validity as a covariance.  ckpt = /tmp/claude-1005/-home-HTJ-t2-Demo/1edf5ffd-1138-43ae-823b-23d3c5e8c17d/scratchpad/d2sx_N160000_late.pt   n = 128 held-out D2 samples/point
# Jr = real Jacobian of tweedie_real (what score.jac_batch returns); J = wirtinger(Jr) (what
# ScorePrior hands RouteAClip._matrix_site, after Hermitian symmetrisation).
# TRUE posterior-mean denoiser => Jr symmetric PSD, and nu*Herm(J) = Cov(h|q) >= 0.

=== diffusion ===
  k      sigma         nu |   asym(Jr)   lmin(Jr)  lmax(Jr)    f<0 |   herm(J)    lmin(J)  lmax(J)    f<0    f>1 |  clipfrac  shift_med  shift_max
  0 3.3062e-02 2.1862e-03 |  1.964e-01 -1.528e-01     1.471  1.000 |  7.71e-02 -6.362e-02    1.125  0.883  0.719 |     1.000  1.005e+00  3.160e+03
  1 3.9212e-02 3.0751e-03 |  2.138e-01 -1.885e-01     1.763  1.000 |  8.45e-02 -9.318e-02    1.239  1.000  0.719 |     1.000  3.587e+00  1.228e+05
  2 4.6505e-02 4.3255e-03 |  2.278e-01 -1.997e-01     2.024  1.000 |  9.07e-02 -1.060e-01    1.373  1.000  0.719 |     1.000  3.258e+00  8.459e+03
  3 5.5155e-02 6.0842e-03 |  2.428e-01 -2.116e-01     2.291  1.000 |  9.76e-02 -1.096e-01    1.516  1.000  0.719 |     1.000  5.416e+00  1.278e+04
  4 6.5414e-02 8.5579e-03 |  2.552e-01 -2.315e-01     2.492  1.000 |  1.03e-01 -1.087e-01    1.627  1.000  0.727 |     1.000  7.197e+00  7.542e+04
  5 7.7581e-02 1.2038e-02 |  2.686e-01 -2.626e-01     2.959  1.000 |  1.10e-01 -1.122e-01    1.812  1.000  0.766 |     1.000  7.236e+00  2.025e+06
  6 9.2011e-02 1.6932e-02 |  2.805e-01 -3.105e-01     2.885  1.000 |  1.15e-01 -1.385e-01    1.910  1.000  0.797 |     1.000  9.684e+00  2.484e+08
  7 1.0912e-01 2.3816e-02 |  2.894e-01 -3.371e-01     4.233  1.000 |  1.20e-01 -1.522e-01    2.314  1.000  0.828 |     1.000  1.635e+01  1.306e+05
  8 1.2942e-01 3.3500e-02 |  3.003e-01 -3.680e-01     5.038  1.000 |  1.25e-01 -2.195e-01    2.776  1.000  0.852 |     1.000  1.431e+01  1.376e+06
  9 1.5349e-01 4.7121e-02 |  2.931e-01 -3.828e-01     4.610  1.000 |  1.24e-01 -2.589e-01    2.629  0.992  0.875 |     1.000  2.061e+01  6.538e+04
 10 1.8204e-01 6.6280e-02 |  2.943e-01 -4.044e-01     4.453  0.992 |  1.27e-01 -2.394e-01    2.426  0.969  0.914 |     1.000  1.593e+01  1.455e+07
 11 2.1590e-01 9.3229e-02 |  2.735e-01 -3.702e-01     4.740  0.992 |  1.19e-01 -1.612e-01    2.613  0.750  0.922 |     1.000  6.843e+00  2.387e+05
 12 2.5606e-01 1.3114e-01 |  2.663e-01 -4.208e-01     4.426  0.945 |  1.17e-01 -1.994e-01    2.488  0.578  0.969 |     1.000  6.673e-01  4.298e+05
 13 3.0369e-01 1.8445e-01 |  2.466e-01 -2.163e-01     5.428  0.828 |  1.07e-01 -1.431e-01    3.033  0.297  0.969 |     1.000  2.811e-03  1.436e+07
 14 3.6018e-01 2.5945e-01 |  2.320e-01 -1.790e-01     4.070  0.734 |  1.02e-01 -1.170e-01    2.240  0.266  0.961 |     1.000  1.796e-03  3.681e+04
 15 4.2717e-01 3.6495e-01 |  2.110e-01 -1.067e-01     3.357  0.688 |  9.39e-02 -5.371e-02    1.946  0.195  0.969 |     1.000  1.130e-03  9.490e+02
 16 5.0662e-01 5.1333e-01 |  1.928e-01 -5.812e-02     3.034  0.688 |  8.91e-02 -2.220e-02    1.925  0.203  0.961 |     0.992  1.245e-03  4.975e+03
 17 6.0085e-01 7.2205e-01 |  1.728e-01 -3.374e-02     2.770  0.375 |  8.13e-02 -1.557e-02    1.743  0.086  0.930 |     0.953  8.767e-04  5.784e+03
 18 7.1261e-01 1.0156e+00 |  1.612e-01 -3.242e-02     2.484  0.359 |  7.90e-02 -1.305e-02    1.631  0.070  0.898 |     0.922  5.527e-04  6.164e+01
 19 8.4516e-01 1.4286e+00 |  1.547e-01 -4.317e-02     2.453  0.570 |  7.83e-02 -2.299e-02    1.528  0.211  0.883 |     0.914  1.398e-03  4.652e+04

=== GMM-exact(b*=kron,K=512) ===
  k      sigma         nu |   asym(Jr)   lmin(Jr)  lmax(Jr)    f<0 |   herm(J)    lmin(J)  lmax(J)    f<0    f>1 |  clipfrac  shift_med  shift_max
  0 3.3062e-02 2.1862e-03 |  2.012e-16  1.854e-03     6.103  0.000 |  1.24e-16  1.855e-03    3.408  0.000  0.430 |     0.430  0.000e+00  1.228e-03
  1 3.9212e-02 3.0751e-03 |  2.277e-16  1.320e-03     4.134  0.000 |  1.39e-16  1.322e-03    2.396  0.000  0.430 |     0.430  0.000e+00  1.508e-03
  2 4.6505e-02 4.3255e-03 |  2.560e-16  9.422e-04     5.087  0.000 |  1.53e-16  9.467e-04    2.833  0.000  0.430 |     0.430  0.000e+00  1.767e-03
  3 5.5155e-02 6.0842e-03 |  2.961e-16  6.798e-04     7.243  0.000 |  1.82e-16  6.924e-04    3.948  0.000  0.461 |     0.461  0.000e+00  2.063e-03
  4 6.5414e-02 8.5579e-03 |  3.358e-16  5.134e-04     5.157  0.000 |  2.12e-16  5.484e-04    2.990  0.000  0.469 |     0.469  0.000e+00  2.614e-03
