
# ===== 2026-09-20 12:48:38 KST  L1 attempt 1  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'mlp', 'param': 've', 'domain': 'pixel', 'width': 256, 'depth': 4, 'emb': 128, 'lr': 0.0002, 'ema': 0.999, 'batch': 256}  params=658240
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
epoch    1 | train 9.873170e-01 | val 9.901699e-01 |   0.708 s | best 9.901699e-01 @1 *
epoch    2 | train 9.557875e-01 | val 9.887146e-01 |   0.279 s | best 9.887146e-01 @2 *
epoch    3 | train 9.130602e-01 | val 9.864615e-01 |   0.273 s | best 9.864615e-01 @3 *
epoch    4 | train 8.632852e-01 | val 9.837567e-01 |   0.279 s | best 9.837567e-01 @4 *
epoch    5 | train 8.413131e-01 | val 9.808714e-01 |   0.278 s | best 9.808714e-01 @5 *
epoch    6 | train 8.237930e-01 | val 9.778748e-01 |   0.273 s | best 9.778748e-01 @6 *
epoch    7 | train 8.112302e-01 | val 9.747975e-01 |   0.281 s | best 9.747975e-01 @7 *
epoch    8 | train 8.102766e-01 | val 9.716696e-01 |   0.272 s | best 9.716696e-01 @8 *
epoch    9 | train 8.113411e-01 | val 9.685041e-01 |   0.275 s | best 9.685041e-01 @9 *
epoch   10 | train 8.044520e-01 | val 9.652970e-01 |   0.276 s | best 9.652970e-01 @10 *
epoch   11 | train 8.023531e-01 | val 9.620602e-01 |   0.280 s | best 9.620602e-01 @11 *
epoch   12 | train 7.982750e-01 | val 9.587902e-01 |   0.275 s | best 9.587902e-01 @12 *
epoch   13 | train 8.002647e-01 | val 9.554766e-01 |   0.277 s | best 9.554766e-01 @13 *
epoch   14 | train 8.007512e-01 | val 9.521345e-01 |   0.276 s | best 9.521345e-01 @14 *
epoch   15 | train 7.980334e-01 | val 9.487717e-01 |   0.276 s | best 9.487717e-01 @15 *
epoch   16 | train 7.927456e-01 | val 9.453673e-01 |   0.275 s | best 9.453673e-01 @16 *
epoch   17 | train 8.037269e-01 | val 9.419373e-01 |   0.276 s | best 9.419373e-01 @17 *
epoch   18 | train 7.981215e-01 | val 9.384800e-01 |   0.275 s | best 9.384800e-01 @18 *
epoch   19 | train 8.037577e-01 | val 9.350029e-01 |   0.278 s | best 9.350029e-01 @19 *
