
# ===== 2026-09-20 13:02:58 KST  L2 attempt 3  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'mlp', 'param': 'vp', 'domain': 'pixel', 'width': 512, 'depth': 6, 'emb': 128, 'lr': 0.0003, 'ema': 0.999, 'batch': 256}  params=3546688
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
epoch    1 | train 9.580907e-01 | val 9.893185e-01 |   0.722 s | best 9.893185e-01 @1 *
epoch    2 | train 8.599072e-01 | val 9.861448e-01 |   0.301 s | best 9.861448e-01 @2 *
epoch    3 | train 8.198434e-01 | val 9.823653e-01 |   0.304 s | best 9.823653e-01 @3 *
epoch    4 | train 8.151890e-01 | val 9.783149e-01 |   0.305 s | best 9.783149e-01 @4 *
epoch    5 | train 8.103827e-01 | val 9.741210e-01 |   0.307 s | best 9.741210e-01 @5 *
epoch    6 | train 8.080051e-01 | val 9.697999e-01 |   0.309 s | best 9.697999e-01 @6 *
epoch    7 | train 8.082054e-01 | val 9.653565e-01 |   0.316 s | best 9.653565e-01 @7 *
epoch    8 | train 8.047365e-01 | val 9.607990e-01 |   0.308 s | best 9.607990e-01 @8 *
epoch    9 | train 8.052660e-01 | val 9.561700e-01 |   0.317 s | best 9.561700e-01 @9 *
epoch   10 | train 8.025771e-01 | val 9.514662e-01 |   0.310 s | best 9.514662e-01 @10 *
epoch   11 | train 8.013313e-01 | val 9.466911e-01 |   0.312 s | best 9.466911e-01 @11 *
epoch   12 | train 7.997362e-01 | val 9.418594e-01 |   0.310 s | best 9.418594e-01 @12 *
epoch   13 | train 8.058932e-01 | val 9.369747e-01 |   0.306 s | best 9.369747e-01 @13 *
epoch   14 | train 8.008268e-01 | val 9.320565e-01 |   0.308 s | best 9.320565e-01 @14 *
epoch   15 | train 7.989327e-01 | val 9.271045e-01 |   0.308 s | best 9.271045e-01 @15 *
