
# ===== 2026-09-20 13:28:53 KST  L4 attempt 2  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'conv', 'param': 'vp', 'domain': 'pixel', 'base': 'L2', 'width': 64, 'depth': 4, 'emb': 128, 'lr': 0.001, 'ema': 0.9995, 'batch': 256}  params=310210  base-selection {'gate_scores': {'L1': 4.6252948083069985, 'L2': 4.51099737885951, 'L3': 4.792587523318085}, 'base': 'L2', 'note': 'chosen BY GATE SCORE (04_SPEC §4), never by BLER'}
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
epoch    1 | train 8.488037e-01 | val 9.875309e-01 |   0.700 s | best 9.875309e-01 @1 *
epoch    2 | train 7.959356e-01 | val 9.836547e-01 |   0.363 s | best 9.836547e-01 @2 *
epoch    3 | train 7.828893e-01 | val 9.800435e-01 |   0.354 s | best 9.800435e-01 @3 *
epoch    4 | train 7.880384e-01 | val 9.765556e-01 |   0.356 s | best 9.765556e-01 @4 *
epoch    5 | train 7.810600e-01 | val 9.731209e-01 |   0.356 s | best 9.731209e-01 @5 *
epoch    6 | train 7.846040e-01 | val 9.697537e-01 |   0.356 s | best 9.697537e-01 @6 *
epoch    7 | train 7.817647e-01 | val 9.665037e-01 |   0.358 s | best 9.665037e-01 @7 *
epoch    8 | train 7.785662e-01 | val 9.633033e-01 |   0.359 s | best 9.633033e-01 @8 *
epoch    9 | train 7.697130e-01 | val 9.601590e-01 |   0.355 s | best 9.601590e-01 @9 *
epoch   10 | train 7.645713e-01 | val 9.570563e-01 |   0.357 s | best 9.570563e-01 @10 *
epoch   11 | train 7.601637e-01 | val 9.539945e-01 |   0.358 s | best 9.539945e-01 @11 *
epoch   12 | train 7.542177e-01 | val 9.509130e-01 |   0.355 s | best 9.509130e-01 @12 *
epoch   13 | train 7.542219e-01 | val 9.477941e-01 |   0.357 s | best 9.477941e-01 @13 *
epoch   14 | train 7.551347e-01 | val 9.446809e-01 |   0.355 s | best 9.446809e-01 @14 *
epoch   15 | train 7.515455e-01 | val 9.415402e-01 |   0.356 s | best 9.415402e-01 @15 *
epoch   16 | train 7.500629e-01 | val 9.383821e-01 |   0.358 s | best 9.383821e-01 @16 *
epoch   17 | train 7.537234e-01 | val 9.352028e-01 |   0.356 s | best 9.352028e-01 @17 *
epoch   18 | train 7.477860e-01 | val 9.320291e-01 |   0.357 s | best 9.320291e-01 @18 *
epoch   19 | train 7.466509e-01 | val 9.288510e-01 |   0.357 s | best 9.288510e-01 @19 *
epoch   20 | train 7.523973e-01 | val 9.256675e-01 |   0.355 s | best 9.256675e-01 @20 *
epoch   21 | train 7.488491e-01 | val 9.224666e-01 |   0.355 s | best 9.224666e-01 @21 *
epoch   22 | train 7.492677e-01 | val 9.192747e-01 |   0.351 s | best 9.192747e-01 @22 *
epoch   23 | train 7.442416e-01 | val 9.160872e-01 |   0.355 s | best 9.160872e-01 @23 *
epoch   24 | train 7.479292e-01 | val 9.128886e-01 |   0.357 s | best 9.128886e-01 @24 *
epoch   25 | train 7.483146e-01 | val 9.097229e-01 |   0.353 s | best 9.097229e-01 @25 *
epoch   26 | train 7.467125e-01 | val 9.065839e-01 |   0.354 s | best 9.065839e-01 @26 *
epoch   27 | train 7.468765e-01 | val 9.034313e-01 |   0.357 s | best 9.034313e-01 @27 *
epoch   28 | train 7.487848e-01 | val 9.002934e-01 |   0.358 s | best 9.002934e-01 @28 *
epoch   29 | train 7.446446e-01 | val 8.971806e-01 |   0.358 s | best 8.971806e-01 @29 *
epoch   30 | train 7.526533e-01 | val 8.940766e-01 |   0.357 s | best 8.940766e-01 @30 *
epoch   31 | train 7.480965e-01 | val 8.909987e-01 |   0.357 s | best 8.909987e-01 @31 *
epoch   32 | train 7.423858e-01 | val 8.879295e-01 |   0.355 s | best 8.879295e-01 @32 *
epoch   33 | train 7.490600e-01 | val 8.849058e-01 |   0.350 s | best 8.849058e-01 @33 *
epoch   34 | train 7.482809e-01 | val 8.819011e-01 |   0.355 s | best 8.819011e-01 @34 *
epoch   35 | train 7.501556e-01 | val 8.788961e-01 |   0.356 s | best 8.788961e-01 @35 *
epoch   36 | train 7.448240e-01 | val 8.759783e-01 |   0.357 s | best 8.759783e-01 @36 *
epoch   37 | train 7.486664e-01 | val 8.730894e-01 |   0.354 s | best 8.730894e-01 @37 *
epoch   38 | train 7.501431e-01 | val 8.702334e-01 |   0.353 s | best 8.702334e-01 @38 *
epoch   39 | train 7.468977e-01 | val 8.674164e-01 |   0.354 s | best 8.674164e-01 @39 *
epoch   40 | train 7.407999e-01 | val 8.646429e-01 |   0.355 s | best 8.646429e-01 @40 *
epoch   41 | train 7.442378e-01 | val 8.618857e-01 |   0.347 s | best 8.618857e-01 @41 *
epoch   42 | train 7.479031e-01 | val 8.591524e-01 |   0.349 s | best 8.591524e-01 @42 *
epoch   43 | train 7.412128e-01 | val 8.564832e-01 |   0.357 s | best 8.564832e-01 @43 *
epoch   44 | train 7.374854e-01 | val 8.537958e-01 |   0.355 s | best 8.537958e-01 @44 *
epoch   45 | train 7.471275e-01 | val 8.511490e-01 |   0.356 s | best 8.511490e-01 @45 *
epoch   46 | train 7.486263e-01 | val 8.485604e-01 |   0.349 s | best 8.485604e-01 @46 *
epoch   47 | train 7.436954e-01 | val 8.460267e-01 |   0.355 s | best 8.460267e-01 @47 *
epoch   48 | train 7.465471e-01 | val 8.435168e-01 |   0.358 s | best 8.435168e-01 @48 *
epoch   49 | train 7.458067e-01 | val 8.410445e-01 |   0.355 s | best 8.410445e-01 @49 *
epoch   50 | train 7.472602e-01 | val 8.386130e-01 |   0.356 s | best 8.386130e-01 @50 *
epoch   51 | train 7.430640e-01 | val 8.362132e-01 |   0.357 s | best 8.362132e-01 @51 *
epoch   52 | train 7.439208e-01 | val 8.338404e-01 |   0.357 s | best 8.338404e-01 @52 *
epoch   53 | train 7.497930e-01 | val 8.315476e-01 |   0.358 s | best 8.315476e-01 @53 *
epoch   54 | train 7.441814e-01 | val 8.292887e-01 |   0.357 s | best 8.292887e-01 @54 *
epoch   55 | train 7.478679e-01 | val 8.270801e-01 |   0.357 s | best 8.270801e-01 @55 *
epoch   56 | train 7.436486e-01 | val 8.248658e-01 |   0.354 s | best 8.248658e-01 @56 *
epoch   57 | train 7.424846e-01 | val 8.227128e-01 |   0.356 s | best 8.227128e-01 @57 *
epoch   58 | train 7.432850e-01 | val 8.205627e-01 |   0.354 s | best 8.205627e-01 @58 *
epoch   59 | train 7.494575e-01 | val 8.184615e-01 |   0.356 s | best 8.184615e-01 @59 *
epoch   60 | train 7.425243e-01 | val 8.163894e-01 |   0.357 s | best 8.163894e-01 @60 *
epoch   61 | train 7.463461e-01 | val 8.143802e-01 |   0.358 s | best 8.143802e-01 @61 *
epoch   62 | train 7.421548e-01 | val 8.123841e-01 |   0.356 s | best 8.123841e-01 @62 *
epoch   63 | train 7.403044e-01 | val 8.104083e-01 |   0.358 s | best 8.104083e-01 @63 *
epoch   64 | train 7.417196e-01 | val 8.084635e-01 |   0.358 s | best 8.084635e-01 @64 *
epoch   65 | train 7.463226e-01 | val 8.065957e-01 |   0.354 s | best 8.065957e-01 @65 *
epoch   66 | train 7.410607e-01 | val 8.047286e-01 |   0.358 s | best 8.047286e-01 @66 *
epoch   67 | train 7.445018e-01 | val 8.029120e-01 |   0.356 s | best 8.029120e-01 @67 *
epoch   68 | train 7.405469e-01 | val 8.011210e-01 |   0.356 s | best 8.011210e-01 @68 *
epoch   69 | train 7.456364e-01 | val 7.993533e-01 |   0.355 s | best 7.993533e-01 @69 *
epoch   70 | train 7.458919e-01 | val 7.975965e-01 |   0.354 s | best 7.975965e-01 @70 *
epoch   71 | train 7.385156e-01 | val 7.958860e-01 |   0.354 s | best 7.958860e-01 @71 *
epoch   72 | train 7.434258e-01 | val 7.941950e-01 |   0.353 s | best 7.941950e-01 @72 *
epoch   73 | train 7.481287e-01 | val 7.925498e-01 |   0.356 s | best 7.925498e-01 @73 *
epoch   74 | train 7.442340e-01 | val 7.909275e-01 |   0.352 s | best 7.909275e-01 @74 *
epoch   75 | train 7.396357e-01 | val 7.893371e-01 |   0.353 s | best 7.893371e-01 @75 *
epoch   76 | train 7.420399e-01 | val 7.877813e-01 |   0.355 s | best 7.877813e-01 @76 *
epoch   77 | train 7.445630e-01 | val 7.862601e-01 |   0.356 s | best 7.862601e-01 @77 *
epoch   78 | train 7.433537e-01 | val 7.847617e-01 |   0.356 s | best 7.847617e-01 @78 *
epoch   79 | train 7.401428e-01 | val 7.832927e-01 |   0.355 s | best 7.832927e-01 @79 *
epoch   80 | train 7.381626e-01 | val 7.818506e-01 |   0.357 s | best 7.818506e-01 @80 *
epoch   81 | train 7.461541e-01 | val 7.804538e-01 |   0.357 s | best 7.804538e-01 @81 *
epoch   82 | train 7.418184e-01 | val 7.790729e-01 |   0.367 s | best 7.790729e-01 @82 *
epoch   83 | train 7.411742e-01 | val 7.777262e-01 |   0.362 s | best 7.777262e-01 @83 *
epoch   84 | train 7.348012e-01 | val 7.764146e-01 |   0.353 s | best 7.764146e-01 @84 *
epoch   85 | train 7.437401e-01 | val 7.751257e-01 |   0.353 s | best 7.751257e-01 @85 *
epoch   86 | train 7.399144e-01 | val 7.738656e-01 |   0.358 s | best 7.738656e-01 @86 *
epoch   87 | train 7.429127e-01 | val 7.726253e-01 |   0.310 s | best 7.726253e-01 @87 *
epoch   88 | train 7.425642e-01 | val 7.714068e-01 |   0.159 s | best 7.714068e-01 @88 *
epoch   89 | train 7.442492e-01 | val 7.702190e-01 |   0.193 s | best 7.702190e-01 @89 *
epoch   90 | train 7.422735e-01 | val 7.690610e-01 |   0.311 s | best 7.690610e-01 @90 *
epoch   91 | train 7.384010e-01 | val 7.679309e-01 |   0.349 s | best 7.679309e-01 @91 *
epoch   92 | train 7.442229e-01 | val 7.668324e-01 |   0.354 s | best 7.668324e-01 @92 *
epoch   93 | train 7.413091e-01 | val 7.657596e-01 |   0.355 s | best 7.657596e-01 @93 *
epoch   94 | train 7.399285e-01 | val 7.647192e-01 |   0.355 s | best 7.647192e-01 @94 *
epoch   95 | train 7.399868e-01 | val 7.636969e-01 |   0.356 s | best 7.636969e-01 @95 *
epoch   96 | train 7.438286e-01 | val 7.626858e-01 |   0.360 s | best 7.626858e-01 @96 *
epoch   97 | train 7.419875e-01 | val 7.617162e-01 |   0.357 s | best 7.617162e-01 @97 *
epoch   98 | train 7.370691e-01 | val 7.607520e-01 |   0.357 s | best 7.607520e-01 @98 *
epoch   99 | train 7.382098e-01 | val 7.598085e-01 |   0.356 s | best 7.598085e-01 @99 *
epoch  100 | train 7.431346e-01 | val 7.588963e-01 |   0.357 s | best 7.588963e-01 @100 *
epoch  101 | train 7.426277e-01 | val 7.579930e-01 |   0.357 s | best 7.579930e-01 @101 *
epoch  102 | train 7.353557e-01 | val 7.571220e-01 |   0.356 s | best 7.571220e-01 @102 *
epoch  103 | train 7.386464e-01 | val 7.562748e-01 |   0.357 s | best 7.562748e-01 @103 *
epoch  104 | train 7.400844e-01 | val 7.554620e-01 |   0.354 s | best 7.554620e-01 @104 *
epoch  105 | train 7.391241e-01 | val 7.546517e-01 |   0.354 s | best 7.546517e-01 @105 *
epoch  106 | train 7.382271e-01 | val 7.538700e-01 |   0.358 s | best 7.538700e-01 @106 *
epoch  107 | train 7.401572e-01 | val 7.531131e-01 |   0.357 s | best 7.531131e-01 @107 *
epoch  108 | train 7.401196e-01 | val 7.523848e-01 |   0.356 s | best 7.523848e-01 @108 *
epoch  109 | train 7.391649e-01 | val 7.516822e-01 |   0.359 s | best 7.516822e-01 @109 *
epoch  110 | train 7.380613e-01 | val 7.509938e-01 |   0.357 s | best 7.509938e-01 @110 *
epoch  111 | train 7.399967e-01 | val 7.503203e-01 |   0.356 s | best 7.503203e-01 @111 *
epoch  112 | train 7.392402e-01 | val 7.496775e-01 |   0.352 s | best 7.496775e-01 @112 *
epoch  113 | train 7.389283e-01 | val 7.490474e-01 |   0.356 s | best 7.490474e-01 @113 *
epoch  114 | train 7.438519e-01 | val 7.484258e-01 |   0.357 s | best 7.484258e-01 @114 *
epoch  115 | train 7.361108e-01 | val 7.478185e-01 |   0.353 s | best 7.478185e-01 @115 *
epoch  116 | train 7.418815e-01 | val 7.472405e-01 |   0.357 s | best 7.472405e-01 @116 *
epoch  117 | train 7.413155e-01 | val 7.466689e-01 |   0.352 s | best 7.466689e-01 @117 *
