
# ===== 2026-09-20 13:54:27 KST  L4u attempt 2  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'unet', 'param': 'vp', 'domain': 'pixel', 'width': 32, 'depth': 4, 'emb': 128, 'lr': 0.001, 'ema': 0.9995, 'batch': 256}  params=1058914
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
epoch    1 | train 8.662571e-01 | val 9.889683e-01 |   1.476 s | best 9.889683e-01 @1 *
epoch    2 | train 7.873085e-01 | val 9.855861e-01 |   0.896 s | best 9.855861e-01 @2 *
epoch    3 | train 7.839417e-01 | val 9.816505e-01 |   0.894 s | best 9.816505e-01 @3 *
epoch    4 | train 7.727879e-01 | val 9.773389e-01 |   0.894 s | best 9.773389e-01 @4 *
epoch    5 | train 7.721668e-01 | val 9.727178e-01 |   0.897 s | best 9.727178e-01 @5 *
epoch    6 | train 7.690869e-01 | val 9.678199e-01 |   0.894 s | best 9.678199e-01 @6 *
epoch    7 | train 7.636143e-01 | val 9.626567e-01 |   0.885 s | best 9.626567e-01 @7 *
epoch    8 | train 7.645239e-01 | val 9.572718e-01 |   0.889 s | best 9.572718e-01 @8 *
epoch    9 | train 7.585923e-01 | val 9.516987e-01 |   0.903 s | best 9.516987e-01 @9 *
epoch   10 | train 7.581340e-01 | val 9.459474e-01 |   0.893 s | best 9.459474e-01 @10 *
epoch   11 | train 7.575905e-01 | val 9.400880e-01 |   0.895 s | best 9.400880e-01 @11 *
epoch   12 | train 7.494840e-01 | val 9.341471e-01 |   0.894 s | best 9.341471e-01 @12 *
epoch   13 | train 7.590019e-01 | val 9.281485e-01 |   0.893 s | best 9.281485e-01 @13 *
