
# ===== 2026-09-20 13:57:55 KST  L5 attempt 3  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'conv', 'param': 'rf', 'domain': 'pixel', 'base': 'L4', 'width': 512, 'depth': 6, 'emb': 128, 'lr': 0.0003, 'ema': 0.999, 'batch': 256}  params=28665346  base-selection {'gate_scores': {'L3': 4.792587523318085, 'L4': 2.109171518826029, 'L1': 4.6252948083069985, 'L2': 4.51099737885951}, 'base': 'L4', 'note': 'chosen BY GATE SCORE (04_SPEC §4), never by BLER'}
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
epoch    1 | train 1.250634e+00 | val 1.477572e+00 |   0.915 s | best 1.477572e+00 @1 *
epoch    2 | train 1.185073e+00 | val 1.462487e+00 |   0.518 s | best 1.462487e+00 @2 *
epoch    3 | train 1.146101e+00 | val 1.447148e+00 |   0.528 s | best 1.447148e+00 @3 *
epoch    4 | train 1.129905e+00 | val 1.431967e+00 |   0.527 s | best 1.431967e+00 @4 *
epoch    5 | train 1.123882e+00 | val 1.417221e+00 |   0.533 s | best 1.417221e+00 @5 *
epoch    6 | train 1.112494e+00 | val 1.403465e+00 |   0.524 s | best 1.403465e+00 @6 *
epoch    7 | train 1.102622e+00 | val 1.390919e+00 |   0.527 s | best 1.390919e+00 @7 *
epoch    8 | train 1.093185e+00 | val 1.378956e+00 |   0.526 s | best 1.378956e+00 @8 *
epoch    9 | train 1.087149e+00 | val 1.367551e+00 |   0.530 s | best 1.367551e+00 @9 *
epoch   10 | train 1.082880e+00 | val 1.356894e+00 |   0.522 s | best 1.356894e+00 @10 *
epoch   11 | train 1.077379e+00 | val 1.346804e+00 |   0.519 s | best 1.346804e+00 @11 *
epoch   12 | train 1.073537e+00 | val 1.337211e+00 |   0.519 s | best 1.337211e+00 @12 *
epoch   13 | train 1.074099e+00 | val 1.328047e+00 |   0.517 s | best 1.328047e+00 @13 *
epoch   14 | train 1.074056e+00 | val 1.319249e+00 |   0.518 s | best 1.319249e+00 @14 *
epoch   15 | train 1.068752e+00 | val 1.310738e+00 |   0.517 s | best 1.310738e+00 @15 *
epoch   16 | train 1.069126e+00 | val 1.302338e+00 |   0.526 s | best 1.302338e+00 @16 *
epoch   17 | train 1.068446e+00 | val 1.294301e+00 |   0.533 s | best 1.294301e+00 @17 *
epoch   18 | train 1.063538e+00 | val 1.286534e+00 |   0.529 s | best 1.286534e+00 @18 *
epoch   19 | train 1.063540e+00 | val 1.278776e+00 |   0.514 s | best 1.278776e+00 @19 *
epoch   20 | train 1.066841e+00 | val 1.271167e+00 |   0.515 s | best 1.271167e+00 @20 *
epoch   21 | train 1.068089e+00 | val 1.263693e+00 |   0.513 s | best 1.263693e+00 @21 *
epoch   22 | train 1.061207e+00 | val 1.256357e+00 |   0.511 s | best 1.256357e+00 @22 *
epoch   23 | train 1.065776e+00 | val 1.249129e+00 |   0.514 s | best 1.249129e+00 @23 *
epoch   24 | train 1.060261e+00 | val 1.241966e+00 |   0.515 s | best 1.241966e+00 @24 *
epoch   25 | train 1.061738e+00 | val 1.234900e+00 |   0.516 s | best 1.234900e+00 @25 *
epoch   26 | train 1.063273e+00 | val 1.227963e+00 |   0.512 s | best 1.227963e+00 @26 *
epoch   27 | train 1.062586e+00 | val 1.221161e+00 |   0.517 s | best 1.221161e+00 @27 *
epoch   28 | train 1.061499e+00 | val 1.214408e+00 |   0.531 s | best 1.214408e+00 @28 *
epoch   29 | train 1.062158e+00 | val 1.207760e+00 |   0.512 s | best 1.207760e+00 @29 *
epoch   30 | train 1.058690e+00 | val 1.201298e+00 |   0.518 s | best 1.201298e+00 @30 *
epoch   31 | train 1.061754e+00 | val 1.194974e+00 |   0.512 s | best 1.194974e+00 @31 *
epoch   32 | train 1.060179e+00 | val 1.188793e+00 |   0.517 s | best 1.188793e+00 @32 *
epoch   33 | train 1.061462e+00 | val 1.182737e+00 |   0.513 s | best 1.182737e+00 @33 *
epoch   34 | train 1.058910e+00 | val 1.176744e+00 |   0.513 s | best 1.176744e+00 @34 *
epoch   35 | train 1.058296e+00 | val 1.170930e+00 |   0.513 s | best 1.170930e+00 @35 *
epoch   36 | train 1.056510e+00 | val 1.165203e+00 |   0.511 s | best 1.165203e+00 @36 *
epoch   37 | train 1.059077e+00 | val 1.159669e+00 |   0.545 s | best 1.159669e+00 @37 *
epoch   38 | train 1.057243e+00 | val 1.154247e+00 |   0.543 s | best 1.154247e+00 @38 *
epoch   39 | train 1.061834e+00 | val 1.149038e+00 |   0.513 s | best 1.149038e+00 @39 *
epoch   40 | train 1.055804e+00 | val 1.143967e+00 |   0.521 s | best 1.143967e+00 @40 *
epoch   41 | train 1.057739e+00 | val 1.139065e+00 |   0.510 s | best 1.139065e+00 @41 *
epoch   42 | train 1.054521e+00 | val 1.134345e+00 |   0.524 s | best 1.134345e+00 @42 *
epoch   43 | train 1.059965e+00 | val 1.129819e+00 |   0.513 s | best 1.129819e+00 @43 *
epoch   44 | train 1.058647e+00 | val 1.125486e+00 |   0.519 s | best 1.125486e+00 @44 *
epoch   45 | train 1.059553e+00 | val 1.121342e+00 |   0.533 s | best 1.121342e+00 @45 *
epoch   46 | train 1.056083e+00 | val 1.117341e+00 |   0.512 s | best 1.117341e+00 @46 *
epoch   47 | train 1.057378e+00 | val 1.113604e+00 |   0.512 s | best 1.113604e+00 @47 *
epoch   48 | train 1.056008e+00 | val 1.109959e+00 |   0.507 s | best 1.109959e+00 @48 *
epoch   49 | train 1.058346e+00 | val 1.106498e+00 |   0.519 s | best 1.106498e+00 @49 *
epoch   50 | train 1.053426e+00 | val 1.103158e+00 |   0.510 s | best 1.103158e+00 @50 *
epoch   51 | train 1.057106e+00 | val 1.099957e+00 |   0.512 s | best 1.099957e+00 @51 *
epoch   52 | train 1.050403e+00 | val 1.096946e+00 |   0.507 s | best 1.096946e+00 @52 *
epoch   53 | train 1.055797e+00 | val 1.094079e+00 |   0.510 s | best 1.094079e+00 @53 *
epoch   54 | train 1.055827e+00 | val 1.091372e+00 |   0.522 s | best 1.091372e+00 @54 *
epoch   55 | train 1.053949e+00 | val 1.088703e+00 |   0.505 s | best 1.088703e+00 @55 *
epoch   56 | train 1.053979e+00 | val 1.086206e+00 |   0.510 s | best 1.086206e+00 @56 *
epoch   57 | train 1.050616e+00 | val 1.083865e+00 |   0.510 s | best 1.083865e+00 @57 *
epoch   58 | train 1.050846e+00 | val 1.081610e+00 |   0.515 s | best 1.081610e+00 @58 *
epoch   59 | train 1.056723e+00 | val 1.079458e+00 |   0.508 s | best 1.079458e+00 @59 *
epoch   60 | train 1.052829e+00 | val 1.077407e+00 |   0.509 s | best 1.077407e+00 @60 *
epoch   61 | train 1.057412e+00 | val 1.075521e+00 |   0.526 s | best 1.075521e+00 @61 *
epoch   62 | train 1.054583e+00 | val 1.073746e+00 |   0.503 s | best 1.073746e+00 @62 *
epoch   63 | train 1.051865e+00 | val 1.072014e+00 |   0.539 s | best 1.072014e+00 @63 *
epoch   64 | train 1.054017e+00 | val 1.070369e+00 |   0.502 s | best 1.070369e+00 @64 *
epoch   65 | train 1.051843e+00 | val 1.068862e+00 |   0.504 s | best 1.068862e+00 @65 *
epoch   66 | train 1.053687e+00 | val 1.067421e+00 |   0.503 s | best 1.067421e+00 @66 *
epoch   67 | train 1.053027e+00 | val 1.066044e+00 |   0.503 s | best 1.066044e+00 @67 *
epoch   68 | train 1.052263e+00 | val 1.064795e+00 |   0.501 s | best 1.064795e+00 @68 *
epoch   69 | train 1.056346e+00 | val 1.063587e+00 |   0.505 s | best 1.063587e+00 @69 *
epoch   70 | train 1.054008e+00 | val 1.062476e+00 |   0.508 s | best 1.062476e+00 @70 *
epoch   71 | train 1.050920e+00 | val 1.061375e+00 |   0.508 s | best 1.061375e+00 @71 *
epoch   72 | train 1.051376e+00 | val 1.060358e+00 |   0.501 s | best 1.060358e+00 @72 *
epoch   73 | train 1.048413e+00 | val 1.059402e+00 |   0.507 s | best 1.059402e+00 @73 *
epoch   74 | train 1.046450e+00 | val 1.058528e+00 |   0.510 s | best 1.058528e+00 @74 *
epoch   75 | train 1.051181e+00 | val 1.057710e+00 |   0.518 s | best 1.057710e+00 @75 *
epoch   76 | train 1.047886e+00 | val 1.056927e+00 |   0.516 s | best 1.056927e+00 @76 *
epoch   77 | train 1.048325e+00 | val 1.056172e+00 |   0.520 s | best 1.056172e+00 @77 *
epoch   78 | train 1.049357e+00 | val 1.055462e+00 |   0.533 s | best 1.055462e+00 @78 *
epoch   79 | train 1.048684e+00 | val 1.054824e+00 |   0.514 s | best 1.054824e+00 @79 *
epoch   80 | train 1.042415e+00 | val 1.054209e+00 |   0.510 s | best 1.054209e+00 @80 *
epoch   81 | train 1.047674e+00 | val 1.053608e+00 |   0.518 s | best 1.053608e+00 @81 *
epoch   82 | train 1.043348e+00 | val 1.053071e+00 |   0.510 s | best 1.053071e+00 @82 *
epoch   83 | train 1.044297e+00 | val 1.052575e+00 |   0.511 s | best 1.052575e+00 @83 *
epoch   84 | train 1.040632e+00 | val 1.052106e+00 |   0.510 s | best 1.052106e+00 @84 *
epoch   85 | train 1.034559e+00 | val 1.051629e+00 |   0.512 s | best 1.051629e+00 @85 *
epoch   86 | train 1.041833e+00 | val 1.051251e+00 |   0.511 s | best 1.051251e+00 @86 *
epoch   87 | train 1.035161e+00 | val 1.050876e+00 |   0.512 s | best 1.050876e+00 @87 *
epoch   88 | train 1.037868e+00 | val 1.050513e+00 |   0.510 s | best 1.050513e+00 @88 *
epoch   89 | train 1.039332e+00 | val 1.050220e+00 |   0.510 s | best 1.050220e+00 @89 *
epoch   90 | train 1.036797e+00 | val 1.049926e+00 |   0.511 s | best 1.049926e+00 @90 *
epoch   91 | train 1.035980e+00 | val 1.049680e+00 |   0.512 s | best 1.049680e+00 @91 *
epoch   92 | train 1.034259e+00 | val 1.049440e+00 |   0.513 s | best 1.049440e+00 @92 *
epoch   93 | train 1.033870e+00 | val 1.049260e+00 |   0.511 s | best 1.049260e+00 @93 *
epoch   94 | train 1.033531e+00 | val 1.049101e+00 |   0.517 s | best 1.049101e+00 @94 *
epoch   95 | train 1.028397e+00 | val 1.049001e+00 |   0.509 s | best 1.049001e+00 @95 *
epoch   96 | train 1.030772e+00 | val 1.048915e+00 |   0.511 s | best 1.048915e+00 @96 *
epoch   97 | train 1.034367e+00 | val 1.048870e+00 |   0.502 s | best 1.048870e+00 @97 *
epoch   98 | train 1.024764e+00 | val 1.048833e+00 |   0.514 s | best 1.048833e+00 @98 *
epoch   99 | train 1.026032e+00 | val 1.048807e+00 |   0.514 s | best 1.048807e+00 @99 *
epoch  100 | train 1.022366e+00 | val 1.048803e+00 |   0.543 s | best 1.048803e+00 @100 *
epoch  101 | train 1.025385e+00 | val 1.048855e+00 |   0.505 s | best 1.048803e+00 @100
epoch  102 | train 1.019885e+00 | val 1.048934e+00 |   0.503 s | best 1.048803e+00 @100
epoch  103 | train 1.020408e+00 | val 1.049042e+00 |   0.514 s | best 1.048803e+00 @100
epoch  104 | train 1.013254e+00 | val 1.049143e+00 |   0.502 s | best 1.048803e+00 @100
epoch  105 | train 1.016169e+00 | val 1.049249e+00 |   0.510 s | best 1.048803e+00 @100
epoch  106 | train 1.016526e+00 | val 1.049458e+00 |   0.500 s | best 1.048803e+00 @100
epoch  107 | train 1.014508e+00 | val 1.049709e+00 |   0.503 s | best 1.048803e+00 @100
epoch  108 | train 1.001384e+00 | val 1.050004e+00 |   0.502 s | best 1.048803e+00 @100
epoch  109 | train 1.006525e+00 | val 1.050325e+00 |   0.502 s | best 1.048803e+00 @100
epoch  110 | train 1.001463e+00 | val 1.050690e+00 |   0.504 s | best 1.048803e+00 @100
epoch  111 | train 9.991501e-01 | val 1.051093e+00 |   0.502 s | best 1.048803e+00 @100
