
# ===== 2026-09-21 23:19:56 KST  D1V3160000 attempt 1  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=144000 n_val=16000 split_hash=c55ca8380705f89d E||H||_F^2/(NrNt)=0.999828 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'dit', 'param': 'vp', 'domain': 'angle', 'lr': 0.002238046051591068, 'ema': 0.999, 'batch': 256, 'emb': 256, 'width': 64, 'depth': 6, 'heads': 8, 'patch': 1}  params=479426
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
# jac_reg     : V3, loss += 1.0 * E_v||(J-J^T)v||^2, J = d tweedie_real/dx, 1 Rademacher probe/sample, lambda FIXED (10_SPEC_stageC §3b, never tuned). val loss / early stopping unchanged (pure DSM).
epoch    1 | train 8.042606e-01 | val 8.930764e-01 |  96.672 s | best 8.930764e-01 @1 * | asym_reg 1.509969e-03
epoch    2 | train 7.870489e-01 | val 8.334264e-01 |  96.294 s | best 8.334264e-01 @2 * | asym_reg 2.336143e-03
epoch    3 | train 7.772412e-01 | val 8.175167e-01 | 101.143 s | best 8.175167e-01 @3 * | asym_reg 7.453003e-03
epoch    4 | train 7.665957e-01 | val 8.023926e-01 |  92.497 s | best 8.023926e-01 @4 * | asym_reg 7.597649e-03
epoch    5 | train 7.661199e-01 | val 8.071020e-01 |  95.796 s | best 8.023926e-01 @4 | asym_reg 8.101953e-03
epoch    6 | train 7.632335e-01 | val 7.984617e-01 | 102.147 s | best 7.984617e-01 @6 * | asym_reg 6.981891e-03
epoch    7 | train 7.638480e-01 | val 7.851718e-01 |  96.977 s | best 7.851718e-01 @7 * | asym_reg 8.427484e-03
epoch    8 | train 7.661810e-01 | val 7.724448e-01 |  89.828 s | best 7.724448e-01 @8 * | asym_reg 7.549340e-03
epoch    9 | train 7.734148e-01 | val 7.794273e-01 |  97.887 s | best 7.724448e-01 @8 | asym_reg 1.181409e-02
epoch   10 | train 7.629691e-01 | val 7.746503e-01 |  94.832 s | best 7.724448e-01 @8 | asym_reg 7.229271e-03
epoch   11 | train 7.646230e-01 | val 7.692068e-01 |  92.840 s | best 7.692068e-01 @11 * | asym_reg 7.368787e-03
epoch   12 | train 7.657100e-01 | val 7.658129e-01 | 105.152 s | best 7.658129e-01 @12 * | asym_reg 8.010412e-03
epoch   13 | train 7.730096e-01 | val 7.669109e-01 |  93.785 s | best 7.658129e-01 @12 | asym_reg 1.102291e-02
epoch   14 | train 7.666635e-01 | val 7.680781e-01 |  92.960 s | best 7.658129e-01 @12 | asym_reg 7.808786e-03
epoch   15 | train 7.697255e-01 | val 7.698213e-01 |  93.875 s | best 7.658129e-01 @12 | asym_reg 9.967813e-03
epoch   16 | train 7.666594e-01 | val 7.671173e-01 |  90.836 s | best 7.658129e-01 @12 | asym_reg 7.492666e-03
epoch   17 | train 7.729415e-01 | val 7.690756e-01 |  96.965 s | best 7.658129e-01 @12 | asym_reg 9.114065e-03
epoch   18 | train 7.757473e-01 | val 7.733948e-01 |  99.577 s | best 7.658129e-01 @12 | asym_reg 6.573125e-03
epoch   19 | train 7.708063e-01 | val 7.710656e-01 |  91.343 s | best 7.658129e-01 @12 | asym_reg 7.533710e-03
epoch   20 | train 7.692393e-01 | val 7.790478e-01 | 100.542 s | best 7.658129e-01 @12 | asym_reg 7.231769e-03
