# conf/ckpt/ inventory -- 04_SPEC §7 / 00_GOAL §4 item 3.
# The .pt files are NOT committed (*.pt is git-ignored); their existence, size and hash are.
checkpoint                      MB  sha256[:16]
B3_dscore_D2.pt                7.8  a76dacca132859ac
L10_a1_D1.pt                  80.5  ca436055d651af06
L10_a2_D1.pt                  80.5  7e5aca2483f94ced
L10_a3_D1.pt                  24.3  219c6bec62593a88
L1_a1_D1.pt                   10.6  bf7ae4719538170c
L1_a2_D1.pt                   10.6  a56d1b3178a776c2
L1_a3_D1.pt                   56.8  e98c0ae0fa7b51c2
L2_a1_D1.pt                   10.6  907b87a487735bca
L2_a2_D1.pt                   10.6  f1e79c548f9cfc64
L2_a3_D1.pt                   56.8  d98933de5e6ecef2
L3_a1_D1.pt                   10.6  a613c6faf88397f6
L3_a2_D1.pt                   10.6  74569a6b01dafa6d
L3_a3_D1.pt                   56.8  8f83b857f01872b6
L4_a1_D1.pt                    5.0  995c4e51cad6cf2e
L4_a2_D1.pt                    5.0  34dc9a812ef9d3e6
L4_a3_D1.pt                   16.4  411cc1c6375cc586
L4u_a1_D1.pt                  67.2  0601cf7a7f630605
L4u_a2_D1.pt                  17.1  1d3cd3d3ebd7e908
L4u_a3_D1.pt                 180.8  8ebccb6be0e5f427
L5_a1_D1.pt                   77.3  109eb74096064707
L5_a2_D1.pt                   77.3  058f0bdd9d0420cb
L5_a3_D1.pt                  458.7  5e4461f2edd4e1c8
L6_a1_D1.pt                    5.3  080b48468b8976f9
L6_a2_D1.pt                    5.3  d0fe4babb8b5b689
L6_a3_D1.pt                   27.0  d7175eb7733cad26
L7_a1_D1.pt                    5.0  88d85e02613b5642
L7_a2_D1.pt                    5.0  f9e2ad50ce5b2797
L7_a3_D1.pt                   16.4  2e3b044fd7ff9070
L8_a1_D1.pt                   20.2  88bdff6b903fae0b
L8_a2_D1.pt                   20.2  c6b302e8aadf441a
L8_a3_D1.pt                    7.7  a160f7379daec663
L9_a1_D1.pt                   17.7  a16930e63fa6249e
L9_a2_D1.pt                   17.7  871707e574be2829
L9_a3_D1.pt                    6.4  8a22a2d956213511
sx_N10000_D1.pt                7.8  9c4e13f7a0cdbfae
sx_N160000_D1.pt               7.8  9a38b0c9535d64a5
sx_N2500_D1.pt                 7.8  162b4332c7a285ff
sx_N40000_D1.pt                7.8  9e195dfc2d8ecee7
total 38 files, 1517 MB
