# ============================================================================================
# H1 DIAGNOSTIC -- is the learned denoiser's Jacobian a valid covariance?
# date        : 2026-09-21 KST        testbed D2, prior S2, 8x4 (N = Nr*Nt = 32, 2N = 64)
# checkpoint  : conf/ckpt/d2sx_N10000_a1.pt   (FIXED -- nothing retrained, no threshold changed)
# samples     : 64 held-out D2 channels (common.train_rng stream 10, never trained on) per grid point,
#               q = h + sqrt(nu) * eps with the SAME eps as the gates (score.SEED_GATE)
# grid        : the FROZEN measured D2 sigma grid, results/sigma_grid_D2.npz
# code        : conf/code/jacobian_psd.py      raw -> results/diag/jacobian-psd_D2.npz
#
# WHAT IS MEASURED
#   Jr = d/dx [ tweedie_real(model, x, sigma) ]   (64x64 real Jacobian; score.jac_batch, the exact path
#        ScorePrior._eval uses)
#   J  = wirtinger(Jr)                            (32x32 complex; what ScorePrior hands the receiver, after
#        Hermitian symmetrisation -- score.py ScorePrior._eval: "J = 0.5 * (J + J.conj().T)")
#   For a TRUE posterior-mean denoiser under real Gaussian noise of std sigma:
#        Jr = Cov_real(h|q) / sigma^2   ->  SYMMETRIC and PSD,  and  nu*Herm(J) = Cov(h|q) >= 0.
#   asym(Jr) = ||Jr - Jr^T||_F / ||Jr||_F ; lmin/lmax = extreme eigenvalue of the symmetric/Hermitian part;
#   f<0 = fraction of samples with lmin < 0 ; f>1 = fraction with lmax > 1.
#   clipfrac / shift = RouteAClip._matrix_site (Demo/t2_gmm.py:112-122) replayed verbatim on these samples:
#        SigH = nu*Herm(J);  Lam = SigH^-1 - I/nu;  eta = SigH^-1 hH - q/nu;
#        eigenvalues of Lam floored at LAM_MIN = 1e-6;  shift = ||mu - hH||^2/||hH||^2 with
#        mu = (Lam_clipped + I/nu)^-1 (eta + q/nu).   NOTE clip='eta': eta is NOT recomputed after the floor.
#   lmax > 1 is NOT by itself invalid (Cov(h|q) <= nu I is not required for a non-Gaussian prior) -- it is
#   reported as a scale sanity check, and the GMM reference row shows it is benign.
# ============================================================================================


=== diffusion ===
  k      sigma         nu |   asym(Jr)   lmin(Jr)  lmax(Jr)    f<0 |   herm(J)    lmin(J)  lmax(J)    f<0    f>1 |  clipfrac  shift_med  shift_max
  0 3.3062e-02 2.1862e-03 |  1.774e-01 -1.175e-01     1.336  1.000 |  6.68e-02 -7.632e-02    1.139  0.844  1.000 |     1.000  1.928e-01  2.379e+06
  1 3.9212e-02 3.0751e-03 |  1.944e-01 -1.527e-01     1.453  1.000 |  7.41e-02 -9.605e-02    1.182  0.922  1.000 |     1.000  2.797e-01  4.744e+03
  2 4.6505e-02 4.3255e-03 |  2.072e-01 -1.895e-01     1.562  1.000 |  8.03e-02 -1.190e-01    1.215  0.969  1.000 |     1.000  4.038e-01  6.597e+01
  3 5.5155e-02 6.0842e-03 |  2.196e-01 -2.022e-01     1.674  1.000 |  8.57e-02 -1.120e-01    1.320  0.969  1.000 |     1.000  1.060e+00  1.030e+03
  4 6.5414e-02 8.5579e-03 |  2.351e-01 -2.411e-01     2.026  1.000 |  9.29e-02 -1.389e-01    1.446  0.984  1.000 |     1.000  7.467e-01  7.069e+01
  5 7.7581e-02 1.2038e-02 |  2.500e-01 -2.631e-01     1.820  1.000 |  9.93e-02 -1.526e-01    1.291  0.984  1.000 |     1.000  1.151e+00  3.543e+05
  6 9.2011e-02 1.6932e-02 |  2.586e-01 -2.610e-01     2.519  1.000 |  1.02e-01 -1.512e-01    1.679  0.969  0.984 |     1.000  1.813e+00  2.126e+03
  7 1.0912e-01 2.3816e-02 |  2.735e-01 -2.978e-01     3.115  1.000 |  1.09e-01 -1.681e-01    1.867  0.984  0.969 |     1.000  2.458e+00  4.735e+03
  8 1.2942e-01 3.3500e-02 |  2.819e-01 -3.187e-01     2.745  1.000 |  1.14e-01 -1.723e-01    1.757  1.000  0.969 |     1.000  2.162e+00  2.414e+06
  9 1.5349e-01 4.7121e-02 |  2.830e-01 -3.128e-01     3.829  1.000 |  1.17e-01 -1.570e-01    2.262  0.984  0.984 |     1.000  4.103e+00  9.893e+02
 10 1.8204e-01 6.6280e-02 |  2.881e-01 -3.223e-01     3.295  1.000 |  1.24e-01 -1.575e-01    1.930  0.984  0.984 |     1.000  3.823e+00  1.563e+04
 11 2.1590e-01 9.3229e-02 |  2.777e-01 -2.656e-01     3.939  1.000 |  1.22e-01 -1.220e-01    2.240  0.859  0.984 |     1.000  3.015e+00  9.406e+04
 12 2.5606e-01 1.3114e-01 |  2.703e-01 -2.551e-01     4.375  0.984 |  1.23e-01 -1.346e-01    2.438  0.703  0.969 |     1.000  2.275e+00  1.149e+04
 13 3.0369e-01 1.8445e-01 |  2.639e-01 -2.307e-01     4.967  1.000 |  1.20e-01 -1.230e-01    2.741  0.609  0.969 |     1.000  8.167e-01  2.475e+03
 14 3.6018e-01 2.5945e-01 |  2.494e-01 -1.424e-01     2.937  0.984 |  1.11e-01 -9.376e-02    1.827  0.719  0.969 |     1.000  1.104e+00  2.923e+03
 15 4.2717e-01 3.6495e-01 |  2.420e-01 -1.225e-01     2.771  0.953 |  1.08e-01 -7.758e-02    1.736  0.438  0.938 |     1.000  2.941e-03  2.138e+03
