# date        : 2026-09-22 00:22:12 KST
# git commit  : f6062a0
# versions    : python 3.12.14  numpy 2.5.2  scipy 1.18.1  torch 2.14.0+cu130 (cuda_available=True)
# device      : CPU (192 cores) | dtype: complex128 / float64 | deterministic: yes (fixed seeds, no GPU in the receiver)
# testbed     : D2
# seed rule   : default_rng([20260926, TBID[testbed], PID[prior], Nr, T, Tp, int(snr)+100])  (trials of a point = ONE stream)
# code        : rate-1/2 conv (133,171)_8 nu=6 terminated, QPSK, outer iterations = 16 for EVERY arm
# Demo/ hashes: t2_route_a.py=95a5408901ec125c  t2_trellis.py=31cd0ee9c68e972b  t2_gmm.py=d064e58c7510c769
# content     : (F3) Module H divergence guard firings, DIVERGE_NMSE = 10.0 (reused from code/bigamp.py, NOT re-chosen)
# raw         : raw_C
# rule        : a trial fires the guard if NMSE > 10.0 or non-finite at ANY of the 16 iterations.
# status      : DETECTION AND CLASSIFICATION ONLY -- no arm's trajectory is altered, so every
#               number recorded before this guard existed remains valid.
# read-only   : the raw files are not rewritten.

cell    SNR arm                        fired     of    rate  worst NMSE seen
------------------------------------------------------------------------------
C1       -3 M-ours-bstar                   2   2560   0.001  11.12
C1       -3 M-ours-dscore-C-V0          2560   2560   1.000  7.406e+21
C1       -3 M-ours-dscore-C-V1          2560   2560   1.000  3.518e+24
C1       -3 M-ours-dscore-C-V4          2560   2560   1.000  6.72e+35
C1       -3 M-ours-dscore-C-V4b         2560   2560   1.000  1.125e+21
C1       +0 M-ours-bstar                   2   2560   0.001  11.81
C1       +0 M-ours-dscore-C-V0          2432   2560   0.950  1.713e+14
C1       +0 M-ours-dscore-C-V1             1   2560   0.000  12.41
C1       +0 M-ours-dscore-C-V4b         2560   2560   1.000  8.922e+20
C1       +3 M-ours-dscore-C-V0          2480   2560   0.969  6.162e+14
C1       +3 M-ours-dscore-C-V1            49   2560   0.019  4624
C1       +3 M-ours-dscore-C-V4b         2560   2560   1.000  9.968e+20
C1       +6 M-ours-bstar                   2   2560   0.001  10.67
C1       +6 M-ours-dscore-C-V0          2511   2560   0.981  2.069e+16
C1       +6 M-ours-dscore-C-V1           203   2560   0.079  2262
